Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	333	15654	31349	1143	1509	2959	1356	5815	0
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	1730	15395	15810	643	2423	5093	644	8180	362
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	2448	3625	5736	340	3380	3409	1364	2916	6524
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	213	17484	21777	1577	1610	2649	1189	5992	0
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	736	13229	15434	1925	1383	2545	1099	4070	59
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	1867	15616	16118	920	2558	5256	839	8019	389
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	1039	1814	2823	716	1286	1698	484	1307	1060
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	1364	23532	30054	1990	1408	2968	1312	3512	141
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	1830	15031	15579	731	2227	5029	531	7762	261
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	1693	15597	15764	708	2389	5054	682	8269	321
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	60	7	0	3	23	10	17	0	15
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	253	19297	22015	1915	1589	2855	1218	6158	0
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	1878	15320	16014	1634	2355	5359	724	8529	311
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	2173	3686	5349	1893	3355	3251	1001	2311	3245
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	1388	22060	28337	1985	1336	3018	1456	4193	86
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	2062	15260	16056	2069	2183	5755	796	8891	363
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	1862	3532	5188	1512	2782	3196	1017	2406	2443
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	485	15454	16350	2530	1493	3274	1505	5079	0
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	1590	16134	16284	1349	2365	5336	758	9245	296
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	1428	2579	3866	612	1642	2051	491	1756	2556
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	934	15024	18613	2180	1679	2810	1303	4285	44
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	1796	17318	17595	2192	2237	5811	1154	9522	558
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	2057	3453	5490	1852	3004	3646	997	2373	3789
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	876	20585	22158	2017	1429	2990	1261	5475	0
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	1948	15272	16077	1920	2224	5542	751	7786	385
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	2576	3662	7390	30	3387	3384	1426	2933	6551
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	1837	1840	2826	7602	886	2899	2003	1317	4514
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	4543	2588	2713	3064	3883	7722	1267	1173	4473
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1979	651	1050	671	2386	3323	282	420	1207
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	888	7346	11389	2038	2263	1969	537	3628	1237
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	1611	2859	2041	1228	2035	1225	217	370	943
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	1700	853	882	2032	3045	6956	584	444	801
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	1786	338	168	1454	2813	2547	272	212	1260
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	1252	227	158	602	878	1312	74	219	186
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	2906	7781	3743	3059	5193	4803	1080	1859	2106
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	2304	2574	4256	3395	3813	4180	356	980	366
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	1	0	0	35	113	32	0	0	0
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	2117	1407	3248	2305	942	2501	526	1178	1012
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	770	3837	4816	2265	2250	2575	1170	3083	412
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	3944	566	527	2470	1619	3808	279	503	2091
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	3521	935	7101	7242	9144	4499	31082	2716	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	3385	3575	9083	1285	2511	7551	276	2594	1024
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	4428	5988	6167	1587	13324	2851	55468	4711	441
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	1905	2484	2779	1898	2211	3607	523	1482	540
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	803	1664	1849	638	1128	574	4	2427	341
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	4105	9241	8974	5334	4759	3437	1001	2503	1545
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	822	4334	3909	3428	1633	1922	735	2740	798
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	2706	979	1488	3784	1786	2763	999	447	1507
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	2131	1550	7052	14716	350	4932	2146	3360	2203
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	2135	3912	3831	2807	4037	2538	1412	1428	894
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	3766	1541	524	1890	10111	3878	28084	463	576
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	4681	21465	8522	0	12886	999	24558	4360	21
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	1782	0	183	947	1624	1960	0	53	2000
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	2034	1693	2130	1721	1786	1946	711	1162	637
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	1253	30080	3342	7723	983	1921	2402	3727	1751
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	1735	5993	3814	1486	986	1262	859	6136	631
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	1762	3091	3826	1101	4811	5252	435	1695	1894
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	1127	29031	3034	7735	1076	1533	1966	3379	1617
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	1692	4246	4322	2326	3262	2867	924	2953	1139
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	2563	5271	1741	5541	1314	1250	964	510	1082
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	1393	29978	3254	8991	1141	1903	2742	3963	1739
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	2490	3464	4459	4219	4261	5525	1073	1570	800
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	836	29261	2639	6212	1300	2592	1812	3606	1843
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	3463	2355	2768	4678	2158	2197	915	1490	384
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	1929	950	3354	7852	2112	6313	1011	138	0
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	1270	29158	3237	6487	1188	1841	2000	3536	1551
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	3111	2512	4393	2179	3477	3114	334	827	827
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	3098	814	1774	11123	2156	3865	1761	1168	2796
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	1085	28966	3196	6333	1361	1580	1941	3575	1568
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	1167	3018	781	3379	835	972	1231	1282	4123
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	700	79	356	621	1387	1387	166	157	319
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	1253	29274	3344	7553	1036	1948	2659	3766	1649
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	1108	29007	3231	6802	1149	1627	2001	3483	1609
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	1998	8126	5066	4597	1591	3109	1197	2606	516
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	1891	7111	4949	3753	1230	2803	1052	2222	498
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	540	4076	3799	3860	1003	5881	871	1838	4244
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	2426	8170	5412	4633	1615	3379	1153	2005	501
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	1238	5509	4206	2883	901	1809	969	1797	407
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	1627	8391	6039	3726	1729	1621	1757	6436	391
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	1851	6565	4776	3771	1578	2688	951	2238	444
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	2070	12790	3313	4604	1297	2498	1770	2441	498
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	1662	8389	5953	3531	1765	1413	1714	6359	397
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	2304	5727	4840	3615	1754	2769	958	1839	465
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	1759	8026	4513	4161	1360	2618	1495	2369	460
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	625	4861	6340	944	1283	1565	428	2969	241
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	1917	12419	3379	4706	1224	2550	2153	2662	577
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	2059	7833	5375	4306	1594	3137	1396	2319	575
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	2123	8373	5134	4597	1524	2895	1598	2610	550
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	2206	5699	5327	3315	1842	3124	855	2187	473
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	2197	7703	5402	4782	1598	3392	1489	2692	613
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	77	2965	3515	229	269	332	230	1725	0
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	1916	6829	5360	4045	1413	2996	1400	2453	556
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	571	4037	3825	4004	1102	6046	887	1791	4256
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	2409	2054	8042	2022	6355	5100	308	1277	1158
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	3387	14476	53920	4389	1871	6648	248	0	195
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	627	3710	3722	723	903	616	328	1320	217
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	3422	5777	3087	263	2855	2479	138	2657	2275
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	4050	1125	3346	130	2707	4610	166	1467	993
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	1270	2886	2942	1300	2763	2415	194	1032	0
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	1732	2764	3127	985	2626	4291	718	1258	1355
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	3047	23482	14215	3335	3479	4302	1475	4940	189
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	2529	947	1438	3635	1807	2707	1003	449	1494
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	0	3662	1012	12713	1122	2672	1820	207	10349
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	0	36439	6796	10699	346	0	2054	5601	6938
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	1514	3860	2855	6340	2708	2573	1266	1557	1470
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	2422	6236	5170	3278	2182	1913	810	3624	1788
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	2233	2256	2969	3348	764	1270	832	1906	1081
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	1763	23732	13067	3290	984	2807	1128	7709	1051
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	3163	595	752	525	2751	2058	486	317	1518
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	800	8328	7406	1916	2270	3427	896	4479	1135
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	2196	497	793	5010	963	1780	940	915	809
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2517	889	1906	601	2073	7286	294	558	1423
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	1755	5985	4150	2939	4594	4605	637	5498	57
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	1746	3461	2537	2155	4278	4213	399	2512	182
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	1704	5541	3879	2801	4318	4518	645	5008	53
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	400	1895	1698	771	1120	1461	119	2032	0
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	1429	6651	8051	3457	4586	4745	963	8192	0
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	451	7634	15291	3422	4115	4431	1658	12793	0
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	1111	7431	6632	3285	4349	4653	898	8110	0
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	1429	6200	6631	3276	4379	4699	925	7438	0
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	1309	5892	6387	3124	4341	4531	807	7222	0
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	1252	5968	6441	3226	4156	4518	877	7230	0
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	60	264	152	125	154	237	0	184	0
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	1583	6880	7584	3597	4448	4759	938	8116	0
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	1417	5229	4966	2886	4440	4478	672	5912	15
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	1403	6121	6583	3181	4354	4642	886	7328	0
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	1356	5196	5720	2822	3601	4036	608	6425	0
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	1095	7203	8707	3397	4238	4527	990	8731	0
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	122187	2084	3924	36576	21715	2149	11902	655	1955
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	2129	20227	11950	733	1832	152	632	6843	2347
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	0	126	106	2572	208	910	220	13	1585
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	1350	12072	6778	5351	1413	3832	1442	5230	2593
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	2058	2472	3203	3439	4268	5674	1382	2575	598
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	57	3860	0	261	130	22	0	268	151
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	24287	5867	5189	10385	5702	4024	2768	458	2252
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	1204	754	1206	1105	1482	1946	1034	826	950
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	1589	3289	3635	3074	2503	2624	975	1746	385
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	51752	424	467	15427	9054	736	4631	0	639
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	1830	1254	1079	3680	3308	3577	639	318	1482
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	493	3298	4806	1412	632	1726	746	2856	3503
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	2033	6486	7757	13670	1743	7838	4559	1230	1538
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	4019	1562	2178	1047	2228	2003	388	878	547
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	41654	384	433	13396	6708	1823	3677	441	1160
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	3432	1129	1899	1015	2695	2544	386	1224	934
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	6647	559	438	2177	2428	4973	1986	472	446
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	2113	5651	8227	3619	857	1745	883	3917	1220
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	15910	7165	4186	5407	4429	1802	1707	5499	816
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	2091	2214	4399	2330	1637	1682	968	2287	2009
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	1111	47	0	1262	1464	1256	309	43	481
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	768	16277	20301	2968	2517	2741	1489	9645	1111
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	132	5	10	134	103	72	10	0	92
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	42	2	0	33	4	0	14	0	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	1066	26	32	1270	1654	1965	544	43	549
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	3751	5719	4951	1042	3882	4021	1670	1942	2109
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	1087	46	0	1268	1644	1141	435	83	438
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	1078	39	0	1168	1678	1142	443	50	446
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	1061	40	0	1355	1632	1062	461	87	486
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	975	55	5	1163	1436	867	393	67	486
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	3733	5638	4791	881	3794	3978	1667	1843	1938
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	1103	10881	15444	244	1942	1777	513	3742	883
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	2177	548	389	4412	2805	7272	1225	1159	228
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	2267	764	1418	1930	4055	4784	191	208	808
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	2669	3492	3234	8842	1435	2518	1531	1848	664
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	464	107	0	513	347	443	84	76	227
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	1929	3184	936	2845	901	1370	460	1338	1571
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	3818	3468	5707	1349	2620	2660	344	1136	995
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	736	10468	8629	5249	2972	2045	1983	3786	2902
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	1145	128	284	1351	1865	1205	186	8	396
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	1622	1333	1473	2988	1674	2517	472	939	1190
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	6283	5737	5475	3567	4414	4261	403	3805	2647
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	743	4341	5668	2941	1588	2317	710	1177	3260
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	3520	16802	6089	4356	1808	708	1441	3646	1256
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	158	6842	15359	1604	784	1436	1408	12005	0
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	1098	10420	14072	2112	1514	1567	800	5705	468
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	4979	12704	11562	2468	2733	2811	1074	4055	1081
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	2578	1062	2428	3317	938	2062	845	1789	659
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	8615	208	3587	5251	0	822	36612	637	3071
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	2999	8372	7067	4959	2444	3863	3110	5173	394
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	2322	44	103	2635	1040	1037	457	222	1069
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	2003	2277	3157	2288	2260	5736	704	1037	848
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	641	659	462	680	812	665	86	260	335
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	2755	1840	1080	20	3778	1714	386	1234	4465
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	2870	1600	1452	7938	1695	3500	989	493	1553
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	542	1204	1131	559	735	770	66	230	153
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	861	13872	18712	1492	3459	3288	512	9624	307
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1926	919	954	1884	2326	3215	285	170	473
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	2204	33580	23352	4018	2388	1063	1220	6817	1039
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	1469	5653	7411	6436	2678	3321	1934	3323	1122
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	4348	3342	9865	980	3000	3984	855	2804	1236
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1411	479	1192	1374	2569	1751	128	32	359
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	1920	935	1511	3012	1024	1580	984	747	1118
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	14532	1527	454	0	1046	4739	2331	1242	5689
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	1222	3020	3860	2640	2578	3452	1338	1750	1015
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	1986	1337	2394	5018	1559	3984	1944	464	1092
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	1916	9859	9939	3828	2025	1948	918	3436	982
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	0	809	951	5561	492	2283	2433	0	7210
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	2033	953	647	2735	3528	3412	1415	778	1505
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	1253	184	161	729	1245	1101	114	46	257
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	0	64137	60102	0	0	0	0	18647	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1233	1040	1188	774	1412	1227	153	157	269
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	2572	1959	2040	176	4405	4344	0	161	1027
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	993	296	120	1841	2021	1638	632	543	706
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	3288	3962	6121	548	2432	3727	527	1721	1149
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	2104	1469	1701	1537	2913	3661	298	638	812
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	2320	1091	1062	3630	3037	3731	490	342	809
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1453	881	1259	1210	2565	2003	467	435	422
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	1014	807	341	1254	1331	747	50	577	114
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	2401	4143	7959	1633	1809	3542	810	3669	815
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	2636	9228	14669	773	3500	4016	2132	9068	1059
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	2747	91	108	2208	1314	1342	222	0	495
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	1082	2017	4759	1294	1023	1273	366	911	360
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	2464	427	997	1590	3988	3858	68	733	760
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	2124	3147	1850	3940	1858	6616	3906	2395	1680
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	677774	1324	8859	159415	155325	0	72103	1587	807
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	407	8517	9452	2828	2728	2920	1537	1554	605
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	3728	754	1271	7070	1321	3265	696	914	282
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	4151	1093	2100	1132	4109	3770	0	1216	1870
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	2315	9618	5123	3885	2191	5590	1661	4214	864
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	366	10202	7212	2471	782	952	550	4174	933
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	1541	2515	2208	1075	3204	1338	116	306	234
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	3231	2167	1997	2644	2767	2799	1147	746	1688
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	2658	2027	3692	1243	5679	3342	0	717	487
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	843	272	558	505	1550	1242	28	180	200
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	0	3051	0	174	12652	2488	39368	2820	1094
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	1695	1947	1819	2181	2139	2450	642	232	555
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	1585	5895	4562	2188	3066	4572	819	2194	730
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	1692	52008	46360	1822	1331	1829	918	4662	713
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	674951	2349	6789	162439	156161	749	76504	2369	1626
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	2302	4031	2496	5698	2706	4411	2430	1199	1462
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	1677	1063	1847	2012	2013	3748	1353	780	579
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	1189	6364	4858	2047	2308	1693	883	863	2105
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	1522	1562	458	2221	2966	2346	314	136	513
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	1175	13591	16984	1119	2409	4522	750	6541	499
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	2044	230	142	1488	1039	1056	586	341	437
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	10419	1536	7760	5940	20367	6784	45172	3207	0
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	1616	3498	2486	3330	1256	1934	1392	1030	1291
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	1135	204	266	1549	1293	695	389	214	510
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	3348	3961	5926	3875	2115	3703	729	1979	1346
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	916	341	572	592	891	595	92	173	112
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	2457	1617	2742	2752	1496	2472	843	957	1138
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3585	0	3985	289	2024	4410	1437	870	2295
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1560	829	898	1205	2608	2972	0	0	928
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1980	879	1405	2300	2021	2022	290	348	505
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	573	96	89	1171	2049	146	161	10	193
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	1943	2731	9700	3611	1156	2187	569	2785	1246
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	1616	1001	1176	2940	2760	2097	1078	604	754
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	846	7698	2191	1162	708	401	124	1805	70
