NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
244	1599.966	9.118	248.041	7.991	0.016	0.989	70000.0
245	1596.852	9.097	247.376	7.971	0.016	0.989	80000.0
246	1596.489	9.1	247.124	7.952	0.016	0.989	90000.0
247	1600.757	9.116	248.701	8.011	0.016	0.988	110000.0
248	1606.19	9.159	248.759	8.0	0.016	0.989	90000.0
249	1600.131	9.114	247.712	7.972	0.015	0.989	110000.0
250	1604.954	9.144	248.846	7.992	0.016	0.989	60000.0
251	1598.409	9.125	247.282	7.949	0.016	0.989	50000.0
252	1596.828	9.11	247.338	7.942	0.016	0.989	50000.0
253	1604.966	9.124	248.525	7.976	0.015	0.989	100000.0
254	1597.601	9.107	247.124	7.942	0.015	0.989	90000.0
255	1607.941	9.131	249.187	7.986	0.015	0.989	70000.0
256	1603.411	9.153	247.881	7.98	0.016	0.989	60000.0
257	1608.054	9.162	249.081	8.026	0.016	0.989	100000.0
258	1597.77	9.118	247.94	7.959	0.016	0.989	100000.0
259	1597.096	9.112	247.057	7.98	0.016	0.989	80000.0
260	1604.319	9.135	248.919	7.988	0.016	0.989	50000.0
261	1597.415	9.085	247.654	7.947	0.016	0.989	90000.0
262	1602.899	9.118	248.631	7.96	0.016	0.989	80000.0
263	1594.918	9.068	246.803	7.932	0.015	0.989	70000.0
264	1593.61	9.037	246.724	7.902	0.015	0.989	90000.0
265	1600.457	9.138	248.109	7.974	0.016	0.988	70000.0
266	1602.631	9.167	247.886	7.993	0.016	0.989	130000.0
267	1600.974	9.153	247.959	7.994	0.016	0.989	110000.0
268	1605.15	9.154	248.302	7.995	0.016	0.989	50000.0
269	1600.002	9.115	248.274	7.99	0.016	0.989	80000.0
270	1593.102	9.134	247.185	7.985	0.016	0.989	90000.0
271	1603.53	9.112	247.767	7.949	0.015	0.989	90000.0
272	1604.105	9.163	248.259	8.014	0.016	0.988	80000.0
273	1595.282	9.133	247.283	7.965	0.016	0.989	80000.0
274	1600.022	9.076	248.232	7.936	0.015	0.989	120000.0
275	1603.661	9.138	248.815	8.007	0.016	0.989	70000.0
276	1607.909	9.151	249.875	8.015	0.016	0.989	110000.0
277	1603.812	9.122	247.899	7.978	0.015	0.989	80000.0
278	1598.382	9.115	248.362	7.987	0.015	0.989	110000.0
279	1609.627	9.22	249.523	8.054	0.016	0.988	90000.0
280	1604.101	9.194	248.619	8.007	0.016	0.989	70000.0
281	1597.613	9.134	247.446	7.955	0.016	0.989	60000.0
282	1600.985	9.109	248.55	7.979	0.016	0.989	110000.0
283	1605.794	9.156	248.746	8.007	0.016	0.989	80000.0
284	1601.359	9.131	247.963	7.97	0.016	0.989	60000.0
285	1602.609	9.135	248.322	7.99	0.015	0.989	80000.0
286	1598.191	9.137	247.346	7.973	0.016	0.989	80000.0
287	1609.122	9.188	249.405	8.041	0.016	0.989	60000.0
288	1612.036	9.179	250.375	8.039	0.015	0.989	70000.0
289	1601.857	9.111	248.116	7.966	0.015	0.989	60000.0
290	1603.981	9.153	247.68	7.976	0.016	0.989	90000.0
291	1596.994	9.085	247.763	7.965	0.016	0.989	70000.0
292	1600.542	9.136	248.016	8.007	0.016	0.989	100000.0
293	1598.993	9.139	247.99	8.001	0.016	0.989	90000.0
294	1600.108	9.082	248.25	7.975	0.015	0.989	60000.0
295	1603.917	9.158	248.739	7.993	0.016	0.989	80000.0
296	1600.597	9.112	247.871	7.964	0.016	0.989	90000.0
297	1605.031	9.178	248.753	8.036	0.016	0.988	60000.0
298	1600.632	9.151	248.213	7.985	0.016	0.989	110000.0
299	1595.495	9.113	247.099	7.949	0.016	0.989	80000.0
300	1605.834	9.138	249.021	7.981	0.015	0.989	80000.0
301	1597.282	9.111	246.903	7.977	0.016	0.989	80000.0
302	1602.696	9.173	247.725	8.003	0.016	0.988	60000.0
303	1594.499	9.13	247.263	7.985	0.016	0.988	80000.0
304	1597.334	9.116	247.505	7.975	0.016	0.989	50000.0
305	1596.103	9.107	247.159	7.92	0.016	0.989	40000.0
306	1599.785	9.135	247.746	7.986	0.016	0.989	80000.0
307	1600.166	9.114	247.804	7.973	0.016	0.989	110000.0
308	1600.607	9.181	248.177	8.068	0.016	0.988	60000.0
309	1604.737	9.172	248.779	8.001	0.016	0.989	60000.0
310	1600.122	9.154	247.498	7.998	0.016	0.988	60000.0
311	1601.653	9.165	247.877	8.016	0.016	0.988	70000.0
312	1599.061	9.131	245.114	7.901	0.016	0.989	80000.0
313	1604.962	9.157	249.761	8.037	0.016	0.989	80000.0
314	1605.672	9.164	248.813	8.012	0.016	0.989	100000.0
315	1605.295	9.104	249.02	7.963	0.015	0.989	60000.0
316	1604.815	9.15	248.139	8.0	0.015	0.989	80000.0
317	1605.564	9.16	249.467	8.012	0.016	0.989	60000.0
318	1607.236	9.199	248.694	8.018	0.016	0.989	70000.0
319	1601.132	9.123	248.108	7.991	0.015	0.989	50000.0
320	1599.102	9.108	247.157	7.953	0.016	0.989	50000.0
321	1603.826	9.171	248.559	8.029	0.016	0.988	80000.0
322	1608.654	9.122	249.348	7.998	0.015	0.989	190000.0
323	1603.382	9.095	248.844	7.956	0.015	0.989	50000.0
324	1604.664	9.153	249.138	7.992	0.016	0.989	60000.0
325	1601.978	9.189	248.444	8.045	0.016	0.988	60000.0
326	1597.057	9.152	246.731	7.98	0.016	0.989	60000.0
327	1596.623	9.171	247.115	7.982	0.016	0.989	80000.0
328	1609.013	9.218	248.94	8.046	0.016	0.988	80000.0
329	1598.089	9.144	247.406	8.003	0.016	0.989	50000.0
330	1603.729	9.114	248.647	7.964	0.015	0.989	90000.0
331	1598.348	9.078	247.834	7.954	0.015	0.989	120000.0
332	1603.703	9.125	248.299	7.961	0.016	0.989	70000.0
333	1597.973	9.111	247.854	7.963	0.016	0.989	60000.0
334	1604.344	9.187	248.237	8.048	0.016	0.988	70000.0
335	1601.092	9.159	247.688	7.996	0.016	0.989	70000.0
336	1604.829	9.139	249.417	8.005	0.016	0.989	60000.0
337	1596.45	9.158	247.693	8.026	0.016	0.988	60000.0
338	1595.446	9.074	247.224	7.958	0.015	0.989	60000.0
339	1601.106	9.16	247.842	8.012	0.016	0.989	70000.0
340	1596.555	9.085	247.514	7.947	0.015	0.989	90000.0
341	1599.386	9.118	247.52	7.946	0.015	0.989	100000.0
342	1610.947	9.199	249.485	8.037	0.016	0.988	110000.0
343	1599.097	9.063	247.263	7.927	0.015	0.989	80000.0
344	1610.268	9.179	249.073	8.041	0.016	0.988	90000.0
345	1605.558	9.143	248.425	7.998	0.015	0.989	60000.0
346	1605.676	9.169	247.823	8.009	0.016	0.989	80000.0
347	1610.674	9.144	249.499	7.987	0.015	0.989	60000.0
348	1596.26	9.092	248.127	7.958	0.016	0.989	40000.0
349	1604.649	9.153	248.438	7.989	0.016	0.989	80000.0
350	1601.256	9.122	248.591	7.981	0.016	0.989	50000.0
351	1604.444	9.141	248.406	7.99	0.016	0.989	60000.0
352	1607.679	9.201	249.778	8.068	0.016	0.988	80000.0
353	1601.47	9.12	247.305	7.96	0.016	0.989	100000.0
354	1609.435	9.213	249.324	8.054	0.016	0.988	60000.0
355	1606.355	9.121	249.202	8.007	0.015	0.989	70000.0
356	1593.372	9.128	246.904	7.968	0.016	0.989	100000.0
357	1608.142	9.186	249.387	8.029	0.016	0.989	80000.0
358	1600.086	9.15	247.852	8.012	0.016	0.988	60000.0
359	1605.594	9.144	248.802	7.986	0.016	0.989	110000.0
360	1597.481	9.088	247.619	7.956	0.015	0.989	50000.0
361	1604.719	9.166	249.293	8.006	0.016	0.989	60000.0
362	1593.925	9.101	246.701	7.939	0.016	0.989	80000.0
363	1602.339	9.121	248.019	7.968	0.015	0.989	80000.0
364	1604.586	9.191	249.009	8.036	0.016	0.989	80000.0
365	1603.62	9.087	248.527	7.968	0.016	0.989	70000.0
366	1601.232	9.141	247.891	8.008	0.016	0.988	60000.0
367	1602.445	9.142	248.372	7.984	0.016	0.989	100000.0
368	1603.535	9.128	248.933	8.003	0.016	0.988	50000.0
369	1604.541	9.123	248.663	8.003	0.016	0.988	100000.0
370	1597.557	9.117	247.797	7.984	0.016	0.989	100000.0
371	1607.005	9.17	249.049	8.028	0.016	0.989	60000.0
372	1600.73	9.138	247.058	7.945	0.016	0.989	80000.0
373	1599.776	9.12	248.335	7.974	0.016	0.989	70000.0
374	1601.551	9.125	248.074	7.983	0.015	0.989	80000.0
375	1600.266	9.121	247.761	7.969	0.015	0.989	120000.0
376	1605.507	9.143	248.993	8.008	0.016	0.989	60000.0
377	1604.866	9.131	248.324	8.008	0.015	0.989	70000.0
378	1597.812	9.12	247.284	7.97	0.016	0.989	80000.0
379	1601.262	9.12	248.132	7.972	0.016	0.989	90000.0
380	1596.676	9.117	247.598	7.955	0.016	0.989	40000.0
381	1604.98	9.152	249.204	8.013	0.016	0.989	80000.0
382	1601.895	9.165	245.255	7.965	0.016	0.988	90000.0
383	1604.523	9.114	248.327	7.99	0.016	0.989	70000.0
384	1598.829	9.13	248.038	7.973	0.016	0.989	50000.0
385	1607.203	9.169	249.414	8.023	0.016	0.989	60000.0
386	1597.838	9.118	248.373	7.996	0.016	0.989	60000.0
387	1598.306	9.172	247.469	8.008	0.016	0.988	70000.0
388	1600.11	9.101	248.004	7.958	0.015	0.989	50000.0
389	1602.026	9.088	248.617	7.973	0.015	0.989	70000.0
390	1603.932	9.15	248.604	8.007	0.016	0.989	70000.0
391	1599.05	9.136	247.261	7.975	0.016	0.989	90000.0
392	1596.556	9.108	246.991	7.955	0.016	0.989	70000.0
393	1603.626	9.154	247.908	8.006	0.016	0.989	80000.0
394	1604.075	9.106	248.723	7.948	0.015	0.989	100000.0
395	1600.788	9.13	248.444	8.002	0.015	0.989	90000.0
396	1598.83	9.082	247.426	7.922	0.015	0.989	50000.0
397	1599.778	9.148	248.272	8.007	0.016	0.989	90000.0
398	1602.276	9.167	247.599	7.996	0.016	0.989	80000.0
399	1601.217	9.097	248.83	7.974	0.015	0.989	80000.0
400	1601.043	9.118	247.96	7.982	0.015	0.989	100000.0
401	1605.221	9.148	248.618	8.002	0.016	0.989	60000.0
402	1602.608	9.088	248.623	7.961	0.015	0.989	80000.0
403	1600.075	9.136	247.938	7.98	0.016	0.989	80000.0
404	1597.748	9.103	247.72	7.971	0.016	0.989	70000.0
405	1611.9	9.208	249.277	8.057	0.016	0.988	110000.0
406	1592.611	9.139	246.502	7.998	0.016	0.988	90000.0
407	1602.64	9.151	248.572	8.011	0.016	0.989	70000.0
408	1603.274	9.13	248.499	7.977	0.016	0.989	100000.0
409	1595.183	9.129	247.307	7.967	0.016	0.989	70000.0
410	1600.515	9.086	248.016	7.964	0.015	0.989	90000.0
411	1602.475	9.139	248.227	7.98	0.015	0.989	80000.0
412	1604.096	9.157	248.898	8.019	0.016	0.989	70000.0
413	1606.148	9.161	248.858	7.998	0.016	0.988	70000.0
