Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	0	7129	871	1173	3128	429	3130
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	738	3047	1111	347	1684	391	1289
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1570	2716	6364	1520	2147	1464	1412
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	244	136	6	18	9	265
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	5528	2541	948	14470	2234	234	3873
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	0	1620	1114	418	3440	0	3490
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	640	4917	3885	1685	4044	1140	2260
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	1327	792	771	1740	463	16	524
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1616	9361	1071	2009	3328	750	3475
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2654	4767	4309	2297	9538	316	2595
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	13610	5785	638	9228	5277	2919	1646
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	301	1016	496	256	560	140	126
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	7705	0	5436	2746	5338	695	10809
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	11855	4659	3574	6081	5404	399	2505
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	4412	2037	1842	564	2408	46	1346
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	11110	4452	3852	810	5231	713	4169
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	26960	4857	2369	8520	6101	122	1702
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	9336	1698	3200	23328	4911	1197	1362
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	8818	1510	2882	2234	3778	195	722
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	309	1218	1732	0	1489	544	2586
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1193	3567	1043	851	2786	133	1255
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	22482	854	18015	7398	1393	0	0
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	5603	2534	1758	4317	2369	292	2558
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	39973	1548	987	19192	7653	427	840
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	920	3064	4881	1182	3722	201	1286
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	0	3208	1429	1220	535	347	4659
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1502	1194	3518	580	1120	375	1338
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1352	757	1249	436	1988	0	245
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	242	5117	1207	583	2100	417	1379
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	12299	5170	4104	13978	3016	0	1802
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	8463	6894	5820	10184	3634	325	3278
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	15873	2630	2795	22545	2496	266	1953
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	119	3107	2734	716	1932	198	1575
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	1673	1732	2435	759	1891	592	1176
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	5503	6912	3441	11693	4004	882	1643
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	14495	940	2556	2477	3377	427	0
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	5089	1092	2786	988	3609	217	1926
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	78	1877	1743	273	1015	44	868
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	10365	3015	1354	3030	1689	300	1029
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	9119	1598	3044	10157	2447	167	733
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	2385	4689	476	1460	1897	678
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	6810	2988	2508	2725	3633	598	861
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	4730	1863	887	2853	808	448	435
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	8141	8758	0	3078	3358	20039	2486
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	9985	878	3359	96	2363	591	2701
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1633	3548	2442	1151	2901	637	2089
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	3696	7600	6106	4620	3522	531	1254
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	2713	4075	1225	2381	3182	665	1889
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	3915	3559	2559	3172	2177	539	1475
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	15063	6103	3465	2379	4442	1329	2318
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	4917	6868	672	3924	2250	564	1002
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	2361	2382	1502	1163	3737	191	880
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	2935	2741	6808	1639	3392	5468	1237
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	12992	2496	4045	2905	1986	140	838
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	4889	2925	2050	1087	2946	564	1024
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	8778	1321	3757	2684	8813	382	767
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	5280	3457	2646	2509	2294	861	1321
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	19705	2031	1338	13965	2338	294	902
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	29240	5742	0	38399	3339	2257	1916
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	7599	4277	1485	1866	3415	430	2784
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	5524	4888	7169	270	4466	0	8604
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	33	3220	8497	3829	5994	4340	1390
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	19905	154	3104	22024	1577	0	326
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	0	663	2721	42	80	2	481
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	17870	1493	3458	0	2138	304	28
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	2572	3644	4669	5200	2797	426	2338
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	1202	2214	4189	5593	965	613	3454
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	3035	4399	1873	6435	2912	2460	1989
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	451	1048	882	88	1013	0	237
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	3670	4006	2457	2850	2259	575	1515
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	2770	3144	5455	1279	5891	847	931
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	3408	2702	3943	1117	3848	822	1783
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	1020	785	814	164	463	11	289
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	15380	3234	1540	1107	3085	339	2421
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	761	2577	2524	444	5169	605	985
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	4748	2421	1975	4059	3124	103	894
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	16434	2649	2170	3846	2393	1325	1166
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	387	3366	5160	305	4818	432	1360
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	16155	3102	2856	3435	6078	826	1768
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	17316	2633	2911	10775	2177	1126	2606
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	12653	2122	1348	10703	2241	588	2042
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	9927	3766	3058	5093	8929	806	2529
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	4	9	25	0	0	1	5
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2755	2745	3342	576	3495	171	530
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	10810	4435	3729	5917	3447	105	1442
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	30684	2350	2062	2143	1943	5	1609
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	3704	3347	3693	664	3264	153	2114
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	12513	2664	3128	2671	3896	61	1245
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	35587	0	3447	12708	2742	0	554
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1974	1278	3346	595	3441	116	206
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	1073	1059	1606	288	1081	106	479
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	11535	4134	3417	4937	9032	120	2077
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	577	1560	3300	258	3787	0	748
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	44686	0	1261	21635	1765	439	325
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	2345	2304	1152	556	660	0	127
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	10640	1694	2364	5595	2143	0	415
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	7	100	135	0	20	4	7
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	2537	634	734	1206	975	0	289
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	19271	5333	6394	5418	7410	979	2130
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	4432	1950	2093	14925	1630	1676	2231
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	141	1842	3648	406	3241	1268	601
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	651	5668	794	1084	3126	772	1349
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	9518	7513	1141	7181	4279	213	2905
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	13555	3112	1488	22483	5429	0	3010
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	1325	2567	6100	912	5354	327	850
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	205	7770	7141	13869	7950	135098	11311
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	11153	5402	5065	5087	4039	21	2167
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	537	1450	1674	352	1161	74	359
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	27844	4908	4374	8223	5862	1867	3850
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	18169	3139	4089	4562	6533	0	1140
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	14514	4455	1287	2328	2425	471	1371
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1773	1089	1361	705	2267	280	443
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	19360	3711	4139	10951	3367	1403	837
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	7803	5883	2677	2561	2573	0	885
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	5250	3216	3660	2629	3240	0	2239
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	3784	1303	1576	1278	1755	96	74
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	0	3866	709	293	1088	333	2488
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	67432	13692	0	12870	315	5923	2956
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	313	217	27609	1512	0	31936	0
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	35439	0	0	15008	1935	619	8075
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	9882	2747	4723	11088	772	1561	1899
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	904	3996	3078	697	9345	690	2271
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	1069	2592	1277	481	2891	334	1488
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	10365	5745	3318	3474	6937	348	2066
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	2925	6481	3586	3828	4198	676	2826
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	2120	2979	20020	0	2455	38093	0
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	3390	3154	2158	1285	4571	262	1210
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	4859	2315	2848	1737	1321	25	240
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	4851	4219	4224	2584	2981	115	1632
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	2855	3832	3440	616	1823	370	1728
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2813	3628	3343	667	1800	395	1644
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	11107	8499	2245	10647	4000	899	1940
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	7954	1030	1460	4537	1648	294	384
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	469	2947	3105	1125	3686	550	646
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	1891	845	877	903	1250	47	66
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	13279	4018	4660	3911	4504	1248	2591
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	1603	3146	4665	953	2567	556	597
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	6773	2687	3603	2717	3698	226	438
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	264	2262	2703	478	3524	719	1048
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	2268	4402	4436	962	4131	414	2117
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	6447	8401	1628	3089	2760	2068	1513
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	25775	3297	1451	8254	1531	0	5910
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	2017	3592	2506	1059	2599	804	700
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	8561	8069	1930	670	3347	597	2370
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	8590	7890	1866	800	3343	595	2258
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	45768	0	0	18995	2210	894	10776
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	283	1604	774	201	372	14	107
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	5037	2609	5193	993	5625	682	1143
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	25845	2387	474	13582	1345	246	2245
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	7504	4479	2272	4355	4428	689	1352
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	18654	1881	3149	7736	2987	940	1968
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	0	3870	1213	501	1035	551	1764
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	25057	4187	3588	19617	4907	2242	3597
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	10723	11620	221	79213	13674	2308	2468
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	3538	1701	1181	1151	1301	101	746
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	2992	2452	3623	1207	3432	208	2415
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	2678	3122	2263	632	1571	308	1643
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	8084	2871	5620	3774	2586	877	1959
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1524	3456	3140	508	2995	216	616
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	885	6511	2791	1644	3151	553	2008
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	17560	8187	997	9173	4427	381	2763
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1123	2641	2458	502	3555	440	728
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	173	1223	1375	216	1183	134	267
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	523	3237	3351	815	5171	222	932
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	7977	2369	3387	4020	4621	119	3424
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	8592	5597	2783	12920	2264	648	2057
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	1186	1957	2004	271	2139	408	1691
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1750	1651	1389	0	1292	360	1630
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	988	1667	1027	171	1149	351	3539
