Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	3554	7285	1006	2076	4303	1529	5971
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	4090	5036	5132	2246	8582	834	5506
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1628	1698	3082	419	3549	178	1415
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	17396	1579	2922	5273	2437	233	1455
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2824	1628	2667	2849	1336	173	1052
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	1122	2542	3590	905	7929	107	1102
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	206	2088	3568	431	2788	292	1477
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	293	1436	1181	211	1447	54	286
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	5798	3395	6482	8066	5401	909	2479
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	5847	3884	4785	2175	4979	59	495
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	3	138	0	33	7	0
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	4839	3503	1391	789	3057	225	1432
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	8153	2414	2676	2975	3171	1095	694
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	808	4956	2445	535	4311	12	2740
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	9185	9286	9293	261	6273	31812	130
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	13573	3177	3250	1455	8393	0	1436
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	9724	3933	13553	5386	3487	57795	1087
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	4411	2854	2772	2094	4171	328	799
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4067	1492	1531	1031	613	140	554
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	12932	6266	6206	8634	4272	660	1929
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	6521	3428	1951	4016	2621	552	1232
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	1763	4991	2378	1068	3484	726	2049
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	9312	14870	41	1351	8082	882	3902
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	5660	3217	5068	3668	2981	1354	1046
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	62	3125	11130	2148	4370	29227	771
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	13958	0	14879	22056	319	26280	0
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	190	1776	2191	0	2052	0	2340
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	3391	2899	2384	1362	2271	627	886
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	5287	5290	426	34558	3236	1793	2592
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	9028	3677	1420	4910	1501	1068	1298
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	6109	1307	5959	2399	5662	322	2109
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	4669	5174	581	33512	2788	1383	2391
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	7434	2901	4108	3551	3335	907	1495
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	1759	6141	1661	6317	2097	653	1608
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	5107	6572	570	34648	3408	2114	2685
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	6344	4780	5206	3138	6599	683	1111
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	4539	3606	853	33558	3741	1221	2583
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	4009	6656	2908	2286	2975	745	829
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	3338	7541	2506	1249	8595	0	430
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	5245	4276	780	33335	2929	1460	2243
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	6161	3515	4606	1865	3493	174	960
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	1485	11567	2626	1608	5977	1097	4195
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	5245	3985	990	33116	2594	1449	2226
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	1417	3248	1088	3424	1368	1121	5122
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	503	852	1731	34	1538	147	367
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	5340	5239	508	33599	3254	2066	2476
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	5156	4387	706	33242	2747	1459	2320
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	7741	5014	1911	8266	4146	732	996
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	7462	4269	1502	7060	3688	619	909
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	5704	2894	986	3862	7111	195	5360
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	7798	5186	2002	8328	4442	602	936
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	6331	3093	1087	5386	2452	658	712
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	11816	5105	2122	7476	2295	1835	1068
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	7247	4261	1929	6488	3524	591	822
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	5165	4827	1404	14153	3420	1340	972
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	11678	4954	2182	7482	2009	1831	1047
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	7115	4416	2235	5530	3550	613	812
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	6881	4481	1582	8293	3537	1093	894
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	10333	1123	1621	3616	1858	322	383
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	5375	4882	1264	13697	3513	1749	1107
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	8011	4723	1940	7851	4143	907	1019
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	7820	5119	1836	8535	3901	1151	1042
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	8041	4153	2331	5269	3899	516	819
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	8220	5375	1940	7689	4508	991	1145
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	5812	300	339	2275	426	179	11
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	8126	4568	1721	6633	3953	958	1009
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	5690	3001	1099	3838	7317	195	5379
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	11417	2119	8046	378	5580	124	1061
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	68277	66	2364	6165	8262	0	0
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	5740	763	1155	3222	748	271	267
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	5932	2498	3988	5240	2356	230	2709
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	5548	3056	3876	7	4806	23	1278
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	4418	1530	3402	2590	2715	147	0
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	4849	1633	3254	2257	4717	518	1628
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	21521	3217	4230	23172	5144	878	302
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	1716	4715	2382	1032	3404	745	2015
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	0	7608	854	5382	4855	1482	13376
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	10912	5308	0	41413	965	1408	8867
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	3826	6008	3203	4369	3696	952	2089
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	8936	4388	2944	5580	2378	758	2439
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	4786	4726	1152	1851	1838	669	1637
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	21859	3394	1103	23222	3616	649	1688
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	1271	2459	3808	361	1985	544	1737
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	12569	1875	2729	7214	4039	676	1555
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	898	6167	1263	789	2704	673	1409
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2801	1969	2549	426	7959	0	1843
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	8813	4016	5634	5206	5369	749	433
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	4767	2777	5271	3150	4793	400	325
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	8132	3809	5291	4837	5270	722	406
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	3514	1244	1367	1482	1728	109	52
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	15840	4952	5661	4547	5711	1017	346
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	28767	5709	5105	2980	5592	1611	31
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	13868	4562	5309	5836	5614	955	325
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	13431	4674	5387	4503	5634	986	362
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	12988	4414	5334	4232	5420	888	337
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	13042	4478	5091	4323	5441	929	364
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	306	147	180	249	280	0	14
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	15132	5196	5505	4960	5754	978	380
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	10227	3857	5436	4035	5261	796	403
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	13303	4585	5361	4436	5559	938	316
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	11598	4190	4454	3696	4844	656	326
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	17090	4868	5217	4934	5532	992	255
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	3346	131287	39647	2073	239	18644	7911
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	20320	1430	2438	19108	0	719	2830
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	0	1757	164	261	1426	36	2096
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	11690	5086	1556	12016	5042	998	3673
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	5498	4130	5243	1961	6742	1124	971
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	0	0	77	4483	20	0	169
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	6133	27711	9466	5910	4465	3473	3774
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	1996	1734	1854	514	2216	985	1208
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	5595	3412	3173	2959	3312	735	634
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	0	55471	16560	471	0	7503	3125
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	1123	3764	4088	1562	4351	415	1864
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	8173	1361	883	2177	2011	568	4299
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	9104	11680	1892	7183	11531	2618	2846
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	3414	3897	3184	1083	2045	481	746
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	0	45731	12659	577	1434	5827	3448
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	3320	3347	3755	571	2639	434	1192
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	647	7187	3373	521	5409	2044	945
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	13126	4790	1256	4153	2448	619	1840
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	8686	18386	7143	6253	1679	2790	1984
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	7134	3515	2272	1221	2037	869	2569
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	1674	1879	73	1465	279	603
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	33192	2719	3160	12423	3527	1155	1641
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	0	195	140	14	86	10	113
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	68	9	2	2	14	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	1613	2051	66	2265	465	689
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	7851	2793	5281	4972	4269	1446	2475
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	0	1651	2093	86	1329	443	540
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	1540	2137	68	1309	454	536
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	0	1695	2083	81	1256	468	601
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	0	1497	1841	96	1016	406	591
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	7592	2665	5160	4916	4203	1457	2270
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	22949	0	2622	8107	1965	75	811
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	486	5507	3125	862	8748	751	736
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1773	2655	5048	695	5326	10	918
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	4163	9626	1750	4055	4212	933	1494
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	0	759	456	145	525	70	306
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	1730	3781	1233	3491	1803	360	2136
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	8272	3450	3783	2404	2865	143	1180
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	13247	3763	3477	10056	2896	1702	3629
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	222	1679	2397	218	1402	184	466
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	2171	3549	2151	1326	3151	237	1623
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	9576	7466	6289	4688	4677	404	3492
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	7985	1884	1948	3758	2892	386	3892
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	9744	5481	2370	17784	1188	1271	1788
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	28636	4131	1171	1927	2040	1419	272
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	22306	2369	1973	7782	2057	543	726
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	17761	5089	3963	11206	3194	801	1453
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	3982	5140	1370	600	2732	669	1185
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	3716	12649	0	0	1860	35834	4744
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	12034	6801	2978	7593	5003	2881	1091
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	0	3989	1522	187	1392	370	1469
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	4517	3091	2751	1902	6631	217	1201
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	703	927	1044	669	764	78	415
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	2477	1210	5181	1422	1307	627	5048
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	1028	8714	2108	2387	5057	377	2419
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	1580	673	925	1137	885	14	176
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	31355	1822	4378	9781	3809	395	587
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1117	2675	2913	995	3687	132	633
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	34783	2255	2898	32419	1706	499	1121
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	11094	6199	3149	5007	4671	1479	1748
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	15015	3786	4364	814	4297	602	1536
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1447	1745	3257	410	1961	120	355
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	2079	3973	1378	891	2123	815	1572
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	2591	10723	4100	246	4255	2293	7352
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	5901	2725	3098	2551	4149	1108	1343
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	2684	5442	1829	1502	5237	1409	1675
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	14961	3930	2570	8822	2668	564	1336
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	277	2876	441	1524	3392	2166	9063
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	1003	3300	4416	1081	3976	1344	1886
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	168	1435	1624	219	1198	128	318
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	87926	0	0	54960	0	0	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1594	1304	1826	951	1348	128	302
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	2888	1103	5597	1666	4436	0	994
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	231	2091	2503	433	1974	643	915
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	9269	2506	3379	2662	3965	317	1377
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	2489	2442	3672	1296	4073	174	987
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	1131	4333	3817	1341	4537	228	1125
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1819	1728	3239	751	2222	467	469
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	647	1796	1705	897	895	100	195
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	12860	3358	2459	2226	4076	587	1215
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	25663	3240	4687	5262	4401	2191	1637
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	0	3904	1883	177	1634	176	753
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	6796	1567	1382	1136	1576	179	449
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	1654	2752	5072	228	4199	87	893
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	3308	5077	2013	3183	8006	3370	2559
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	5349	680161	256879	0	0	109875	24930
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	13144	1161	3168	7732	3703	1032	608
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	1255	9200	1825	1172	4706	164	979
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	3619	3650	5613	458	3871	29	2201
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	8936	4938	2516	9525	6766	1239	1541
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	12012	1987	889	9635	1419	355	1345
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	3038	1281	4083	2445	1395	184	111
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	2832	4198	3671	2097	3216	1053	2119
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	5378	2011	7310	1391	3460	0	295
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	805	849	1953	193	1331	49	198
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	0	0	13055	4131	2623	40659	1179
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	2245	2627	2670	2028	2918	464	708
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	7174	2383	3682	5554	5291	547	980
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	60728	0	659	47893	2055	0	0
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	4905	680591	257925	0	0	114301	26215
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	3174	6062	3179	4564	5683	1958	2115
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	2657	2766	2440	845	4398	1112	854
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	6754	1369	2920	6262	2014	617	2374
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	370	2442	3679	1952	2736	255	604
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	26772	1221	2952	10450	5197	307	691
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	223	2916	1456	286	1250	577	655
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	10616	11517	23399	498	7689	47466	0
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	3478	3688	1546	3651	2573	1140	1757
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	288	2033	1694	297	887	390	666
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	8706	5488	2924	3127	4547	302	1888
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	814	1100	1181	270	659	114	146
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	3914	4028	2045	1282	3043	602	1560
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	4361	3215	2720	0	4568	1312	2719
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1043	1571	3232	859	3244	0	1051
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1804	3148	2615	849	2436	202	696
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	0	1043	2627	222	167	286	143
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	14421	4322	1719	615	2979	137	1735
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	1521	3324	3431	1123	2623	1014	990
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	3884	1268	835	8191	542	100	185
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	2966	2861	3076	707	2115	229	1411
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	20214	1287	2355	16855	3008	763	773
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	1068	1380	3076	737	949	607	333
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	16079	1421	4830	16693	2547	0	1631
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	9004	263	1338	8039	980	254	306
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	4221	3569	2728	2634	2378	918	1015
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	0	39	33	4	4	21	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	80	638	641	31	90	0	24
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	22012	2272	3713	9226	1856	983	774
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	841	1706	3588	2942	1552	440	1443
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	5629	6096	5256	1511	4977	943	3263
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	9199	4476	2765	1376	3735	1208	1687
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	4679	1115	1525	11320	1884	543	1015
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	889	10674	1437	2721	4794	747	5215
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	25668	8000	87	16166	103	2963	3623
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	3155	2669	2867	2304	4110	611	1392
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	5868	2573	1131	1473	2344	398	638
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1934	2358	8221	614	3341	529	1274
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	1629	4646	525	6039	1399	698	2030
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2519	1225	1224	295	1268	14	136
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	3458	1096	1343	764	921	398	290
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	954	0	9801	1955	5706	30123	1312
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	167	1484	3422	0	1568	667	338
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	700	1152	3132	187	2344	268	3804
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	22	89	16	0	0	43	5
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	8698	3935	3865	4941	8148	285	802
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	30306	2554	4372	7048	3368	28	885
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	13191	2721	2813	9278	1446	848	3698
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	2183	0	3041	1941	9091	182	17822
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	10	119	28	0	0	65	7
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	2069	2413	3369	1004	1741	607	399
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	5960	1039	1390	4415	1041	267	140
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	9614	4261	1367	2259	2185	912	1731
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	0	170	160	6	6	40	2
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	3594	1397	2095	2361	916	308	524
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	12539	4637	3222	0	4176	463	1097
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	13326	4277	3439	10367	3097	721	2853
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	6131	1288	1165	3230	1356	162	497
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	10904	1323	6858	2731	6362	0	207
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	3331	777	1005	6599	314	66	149
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	15409	10606	3226	3476	5842	1058	2501
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	4830	3966	6167	3826	3835	1407	509
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	26737	791	2186	23356	1805	445	1092
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	2739	1677	1959	2611	2048	512	648
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	5159	1327	4437	1803	2351	479	0
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	392	402	104	617	55	183	50
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	385	2192	1789	345	2433	930	956
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	975	2229	2871	461	2162	673	591
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	1988	1612	2399	594	1371	478	1511
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	3883	1890	4281	2465	3206	433	565
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	69	935	976	51	574	33	152
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	2069	2824	3670	1075	3883	906	762
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	15253	6804	1074	10274	4181	1541	3403
