Samples	SBS96A	SBS96B	SBS96C	SBS96D
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	38982	442	5816	4777
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	15965	2785	4236	5820
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	14420	2242	3739	5108
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	8524	0	9648	7940
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	16116	2727	4181	6270
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	11538	1936	2889	3356
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	18684	5021	4815	3197
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	13533	2726	3592	5011
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	19900	2479	3875	5027
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	18511	5094	4721	2857
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	12371	3154	3645	5101
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	15229	2798	3787	4947
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	12783	1999	1657	2817
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	19653	2779	4158	4997
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	15718	2911	4154	5811
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	16352	3227	4393	5432
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	12872	3021	3543	5592
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	15835	3140	4679	6214
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	7539	687	474	642
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	14565	2872	4103	5428
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	8503	0	9744	8272
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	9478	6921	3006	9320
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	67833	2625	3213	11463
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	8276	1471	1096	1323
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	9918	3364	5596	4075
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	4635	3275	3499	7185
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	6360	3137	655	4650
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	6264	2475	3273	6844
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	42932	4062	2760	8710
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	2579	3260	5573	4597
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	5055	710	23859	3933
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	50375	0	17306	1192
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	7999	4548	6416	5180
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	13426	3986	6535	3476
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	6396	2774	5353	2136
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	43548	1200	5331	5452
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	1230	3754	3797	3384
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	18235	2596	3870	5956
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	1838	3163	5583	3319
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2732	274	3441	11100
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	12982	5911	2674	8653
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	7160	4814	1696	7813
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	12029	5520	2492	8426
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	4671	1442	726	2657
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	18701	7040	3436	8897
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	28981	8592	4076	8146
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	18308	6298	3072	8791
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	16520	6508	3171	8778
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	15802	6324	2994	8493
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	16003	6153	3075	8437
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	532	127	81	436
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	18568	6848	3564	8925
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	13019	5954	2675	8367
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	16335	6437	3040	8686
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	14115	5333	2835	7481
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	20315	6709	3336	8528
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	7940	114930	80277	0
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	36372	2893	6401	1179
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	235	19	4124	1362
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	22805	1879	8874	6503
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	6706	5441	3360	10162
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	4352	0	219	178
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	12754	21796	20035	6347
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	2170	2459	2726	3152
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	8004	3901	2812	5103
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	1474	48208	33448	0
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	2407	3753	4566	6441
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	8733	728	7855	2156
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	16769	4416	10785	14884
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	4094	4273	3083	3400
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	1487	37798	29394	997
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	3299	4156	3534	4269
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	1199	6474	4560	7893
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	16245	2980	6135	2872
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	15207	16280	12591	2843
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	7303	3385	6228	2701
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	2025	1658	2290
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	41894	4867	5847	5209
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	10	158	263	127
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	3	57	35	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	2087	1695	3367
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	11388	5345	5505	6849
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	1	2409	1551	2181
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	2401	1481	2162
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	1	2439	1681	2063
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	26	2144	1582	1695
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	11139	5262	5096	6766
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	27926	2609	2570	3424
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	1352	3035	3113	12715
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1976	3853	2362	8234
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	8738	4679	7596	5220
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	140	550	832	739
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	5178	1731	5328	2297
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	9526	4059	3883	4629
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	21402	4728	8345	4295
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	318	2412	1443	2395
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	3249	2261	4324	4374
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	12867	6905	9562	7258
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	10204	1476	7401	3664
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	27151	4041	5976	2458
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	28291	5156	4145	2004
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	27820	3354	3572	3010
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	27266	5349	5631	5221
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	4424	3071	4720	3463
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	4206	40622	13975	0
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	19282	6732	5430	6937
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	202	2527	4372	1828
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	5959	1786	3175	9390
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	1244	1038	1091	1227
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	2812	3851	7930	2679
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	3714	3510	8379	6487
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	2514	834	620	1422
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	37332	5147	3471	6177
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1929	2606	2026	5591
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	63559	3252	4777	4093
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	15304	5329	6335	6379
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	13784	5238	4969	6423
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1495	3085	1308	3407
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	2845	2699	4602	2685
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	2424	6700	17166	5270
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	7695	3619	3537	6024
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	4157	3312	5367	6942
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	22387	3635	4818	4011
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	1519	604	14809	2807
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	1769	4854	4355	6028
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	318	1717	1089	1966
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	140275	0	884	1727
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	2286	1844	1072	2251
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	3706	3802	1874	7302
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	548	2853	2326	3063
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	10642	3221	3631	5981
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	3312	3064	2521	6236
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	2302	3729	3658	6823
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	2171	3299	1479	3746
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	1472	2015	1135	1613
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	13742	3291	4093	5655
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	27756	7223	5479	6623
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	181	2792	3134	2420
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	7167	1829	1821	2268
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	1390	4311	2446	6738
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	6485	4109	6317	10605
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	14018	678614	384562	0
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	19275	3408	2057	5808
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	2770	3870	6332	6329
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	3202	4872	5114	6253
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	18247	2901	4822	9491
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	20469	1282	3820	2071
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	4766	3824	839	3108
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	4489	4510	5368	4819
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	5464	6275	1431	6675
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	779	1717	621	2261
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	4003	51203	1339	5102
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	4020	2869	2301	4470
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	11889	3073	2669	7980
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	104276	0	1415	5644
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	13650	683121	387166	0
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	7741	4872	6279	7843
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	3207	3029	2521	6315
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	11663	2573	4714	3360
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	2180	3399	1909	4550
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	34300	2778	2833	7679
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	513	2550	2456	1844
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	9473	73649	4345	13718
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	6955	2735	4751	3392
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	514	2251	2028	1462
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	11052	3571	6061	6298
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	958	1423	743	1160
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	4827	2885	4609	4153
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3562	3267	5792	6274
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1571	2259	2196	4974
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	2424	3001	2561	3764
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	115	2717	699	957
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	13522	2940	5851	3615
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	2387	4377	3112	4150
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	11894	816	1034	1261
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	3120	3217	3651	3377
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	34971	2454	2800	5030
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	1491	3427	1157	2075
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	30153	3624	4107	5317
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	15920	1227	1081	1956
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	6449	3901	3475	3638
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	4	72	10	15
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	88	773	338	305
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	28565	5217	3546	3508
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	3387	3248	2982	2895
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	6206	5991	8204	7274
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	9586	4446	5304	5110
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	15522	1064	2202	3293
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	3875	3205	14356	5041
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	40182	5205	11223	0
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	5036	2713	3357	6002
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	6912	1852	2536	3125
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1750	7120	2923	6478
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	8003	1752	5710	1501
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2513	1358	851	1959
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	3768	1870	1142	1490
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	2607	37227	1440	8577
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	0	3641	1070	2935
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	497	1899	5980	3211
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	24	101	50	0
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	12971	2976	2853	11874
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	33574	5190	4404	5393
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	20269	3355	7970	2401
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	2615	0	23816	7829
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	11	155	63	0
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	2695	4015	1754	3138
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	9768	1666	962	1856
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	11051	3172	5464	2642
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	3	251	80	50
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	5392	2395	1623	1785
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	11055	4575	4426	6078
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	22043	4000	7251	4786
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	8720	1345	1698	2066
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	11698	5299	1019	10369
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	9595	906	738	1002
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	18010	6519	10119	7470
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	7915	7234	2661	6730
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	47026	2036	3576	3774
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	5032	2140	1827	3195
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	5987	4468	697	4404
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	1043	393	282	85
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	646	2480	2447	3457
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	1214	3331	1893	3524
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	2107	2474	3133	2239
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	5617	3986	1725	5395
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	83	1073	641	993
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	2789	4039	2386	5975
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	24640	3317	9697	4876
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	9114	5630	2156	5200
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	4485	2642	1485	2706
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	20209	1082	2584	7299
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	123540	10635	4662	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	8344	2126	14157	6225
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	3637	5569	3550	9315
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	7882	3787	3379	5294
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	6392	1401	3630	5565
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	68565	126023	1041	18770
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	5389	4084	3964	6542
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	6008	1289	10401	9679
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	7496	7024	6242	4783
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	5197	2692	3837	4148
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	15513	3734	8165	5682
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	20487	0	6996	22428
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	5266	752	2642	848
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	7050	2825	3862	5900
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	7053	6025	6944	8510
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	788	4406	478	10346
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	9209	2006	2032	4513
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	871	4143	1817	5719
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	2074	1322	846	2120
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	7029	2659	4531	4011
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	2813	3321	2565
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	3027	3133	2755	4437
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	3409	5185	5275	5968
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	14339	4001	8221	4660
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	337	3233	3406	5735
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	2	2649	1753	2052
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	107	986	1558	1966
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	800	2172	2765	2881
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	3828	3261	2327	1896
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	71	986	400	363
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	830	1330	5050	8990
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3935	986	797	2313
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	1227	3010	4438	4105
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	3721	54997	6281	5322
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	4	119	48	0
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	20347	2621	6958	8130
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	12944	3129	5546	4559
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	38144	3027	2542	4676
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	785	1900	1476	1064
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	2074	1593	5486	3287
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1678	4230	16562	5269
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2556	3071	2469	3874
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	6734	2833	5303	1368
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	5320	2046	6296	9658
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	5450	3014	4957	10052
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	1	113	16	1
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	880	0	1393	12647
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	2287	1172	1312	1375
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	2423	1771	2306	2666
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	6957	2285	5225	3459
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	2456	1107	745	1531
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	7201	3232	4663	7077
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	12855	0
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	647	1642	1140	1383
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	2831	1823	1386	2362
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	15176	702645	394979	0
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	5298	1614	1302	2161
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	4020	3796	4322	9101
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	8566	4053	3434	4666
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	157	2250	1395	3792
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	7582	4020	1845	5799
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	9005	1208	1659	1840
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	5994	1498	1491	5258
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	709	2268	827	1975
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	730	991	559	780
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	2092	3695	1938	4283
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	1148	806	779	1317
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	218	1785	515	2441
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	46662	2972	6310	15884
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	9129	1878	895	3197
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	5437	2575	2272	2685
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	9640	1557	1412	7800
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	4988	2089	837	2062
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	382	730	624	840
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	5460	3473	3184	5020
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	5310	1564	1394	3890
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	14734	6111	1501	6820
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	8005	5147	4942	12263
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	25669	2386	2308	3638
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	4528	4086	2276	6507
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	7126	1925	1643	3255
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	11300	2600	2120	6583
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	4772	3594	865	2918
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	3897	1777	2142	2511
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	24248	4676	2075	5773
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	964	1867	450	1976
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	84142	2562	3666	7651
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	3041	2765	1504	2325
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	9207	1638	1602	2418
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	29832	2257	5610	6303
