Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	2670	3095	2114	2445	20	1976	440	2159
LP6005334-DNA_B01_vs_SM-4JPUU__pv	550	732	555	2934	1591	3588	309	1642
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	3412	2418	3521	5712	2291	5745	175	878
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	367	7402	683	885	513	2509	883	2618
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	636	3151	246	1056	601	1416	451	1050
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1384	3456	1302	5792	628	2005	1303	1323
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	271	0	119	16	8	23	241
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	5783	3185	12865	877	957	2080	496	3585
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	124	2301	275	1115	0	3192	0	3075
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	1073	5642	1163	3665	0	3588	1441	1999
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	1172	814	1593	688	441	430	22	473
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1928	10245	1368	1188	556	2424	1096	2805
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2498	4584	1972	4065	1200	9077	845	2235
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	8709	1584	9902	295	10874	5254	1816	669
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	258	897	204	453	312	500	185	86
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	5317	0	3457	4571	3476	5594	383	9931
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	9927	4577	6204	3204	2734	5018	621	2192
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	3503	1711	853	1615	1313	2294	166	1200
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	7836	1548	1947	3117	6138	5355	740	3656
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	21085	1526	10197	1595	8681	6069	182	1296
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	9071	1924	21014	2978	2833	4829	1168	1215
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	7642	1770	2606	2604	633	3582	542	760
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	64	481	0	1494	1151	1599	654	2435
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1315	3573	609	993	284	2477	499	1078
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	16689	0	8980	15443	7069	1961	0	0
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	4636	1437	4250	1408	2373	2417	553	2357
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	29210	0	21327	0	12919	7162	0	2
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	771	2930	963	4430	1102	3585	316	1159
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	0	4788	1002	1375	0	192	104	3937
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	1172	1325	596	3146	654	1131	327	1276
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1163	769	450	1177	339	1924	0	205
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	409	5153	268	1164	645	1680	643	1083
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	10939	4805	13008	3573	3309	2841	251	1643
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	8205	7422	9086	5236	1330	3263	954	3102
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	14086	1750	21060	2281	4600	2594	362	1825
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	136	2833	483	2454	893	1818	356	1408
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	1314	1628	759	2205	870	1813	612	1057
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	5212	7375	10262	3267	2387	3453	883	1239
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	12092	1225	3437	2278	1462	3181	597	0
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	4089	811	1321	2486	1281	3566	347	1806
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	135	1699	132	1556	420	962	191	803
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	7899	1955	3680	1043	3702	1589	146	768
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	9042	2118	9309	2719	0	2338	797	942
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	3035	317	4295	421	1286	1647	584
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	5627	2790	2890	2264	1726	3382	737	707
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	3391	876	3018	686	2745	821	240	247
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	5599	6049	3543	0	6292	2849	19913	1615
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	7432	0	1184	2703	3083	2511	546	2514
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1472	3371	969	2223	943	2690	872	1861
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	2889	6747	4074	5444	3495	3210	542	928
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	2295	3590	2169	1117	1577	2914	886	1582
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	3528	3403	2906	2288	1139	1991	802	1339
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	11267	4826	3547	2983	5584	4076	1042	1774
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	4652	6799	3441	663	1155	1702	1038	747
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	2051	2090	1112	1395	846	3541	445	736
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	2383	2752	1564	6252	1476	3294	5350	1149
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	10474	1155	3721	3347	3385	2080	377	863
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	3454	1973	1450	1779	2787	2823	466	753
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	6989	843	3199	3488	2342	8561	497	583
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	3728	1601	2735	2179	3829	2366	859	1071
LP6005500-DNA_E02_vs_LP6005499-DNA_E02__pv	16302	1018	14080	947	4968	2315	190	753
LP6005500-DNA_E03_vs_LP6005499-DNA_E03__pv	19390	0	37120	0	20793	3439	0	151
LP6005500-DNA_F01_vs_LP6005499-DNA_F01__pv	5716	3213	2338	1213	3365	3209	467	2335
LP6005500-DNA_F02_vs_LP6005499-DNA_F02__pv	4588	4724	487	6253	1770	4476	517	8106
LP6005500-DNA_F03_vs_LP6005499-DNA_F03__pv	464	4551	3063	7972	306	5591	4113	1243
LP6005500-DNA_G01_vs_LP6005499-DNA_G01__pv	18574	0	20865	2531	2004	1776	608	732
LP6005500-DNA_G02_vs_LP6005499-DNA_G02__pv	17	963	0	2403	0	101	0	505
LP6005500-DNA_G03_vs_LP6005499-DNA_G03__pv	16815	1799	193	3164	379	1958	650	333
LP6005500-DNA_H01_vs_LP6005499-DNA_H01__pv	2555	3283	4523	4159	1387	2766	750	2223
LP6005500-DNA_H02_vs_LP6005499-DNA_H02__pv	1644	3699	4629	3874	0	810	412	3162
LP6005500-DNA_H03_vs_LP6005499-DNA_H03__pv	2745	4380	5679	1808	1898	2580	2404	1609
LP6005501-DNA_A01_vs_LP6005499-DNA_A01__pv	380	894	64	803	352	967	60	199
LP6005501-DNA_B01_vs_LP6005499-DNA_B01__pv	3268	3753	2596	2192	1294	2047	840	1342
LP6005501-DNA_C01_vs_LP6005499-DNA_C01__pv	2095	2568	1275	4984	1925	5741	950	779
LP6005501-DNA_D01_vs_LP6005499-DNA_D01__pv	2470	2467	1272	3579	1911	3682	719	1523
LP6005501-DNA_E01_vs_LP6005499-DNA_E01__pv	719	541	236	701	643	458	4	244
LP6005501-DNA_F01_vs_LP6005499-DNA_F01__pv	11111	882	2738	1033	6261	3114	24	1943
LP6005690-DNA_A02_vs_LP6005689-DNA_A02__pv	499	2030	384	2370	1261	4977	767	777
LP6005690-DNA_B01_vs_LP6005689-DNA_B01__pv	4353	2299	3798	1788	865	2958	430	833
LP6005690-DNA_B03_vs_LP6005777-DNA_A01__pv	11734	683	5309	1694	6911	2416	536	700
LP6005690-DNA_C02_vs_LP6005689-DNA_C02__pv	475	3443	87	4752	574	4591	668	1238
LP6005690-DNA_C03_vs_LP6005689-DNA_C03__pv	12923	1172	4542	2310	4472	6025	1204	1572
LP6005690-DNA_D02_vs_LP6005689-DNA_D02__pv	13658	866	11199	2280	6110	2316	836	2279
LP6005690-DNA_D03_vs_LP6005689-DNA_D03__pv	11545	2625	10254	1151	1021	2038	1047	2016
LP6005690-DNA_E01_vs_LP6005689-DNA_E01__pv	8266	3017	5255	2795	2802	8588	1212	2173
LP6005690-DNA_E02_vs_LP6005689-DNA_E02__pv	2	8	0	23	6	0	0	5
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	2082	1629	671	2935	1916	3498	428	455
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	9385	3810	5888	3207	2327	3273	614	1381
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	20827	0	5821	685	10724	1802	0	937
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	2637	1966	886	3175	2708	3315	346	1906
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	10271	1340	3428	2579	2957	3889	503	1211
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	32121	254	14059	2993	655	2732	942	1282
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1502	932	668	3039	1054	3401	183	177
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	866	912	303	1437	500	1057	168	449
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	9404	3118	5298	3079	3463	8689	470	1731
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	313	678	210	3010	1416	3926	0	677
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	34074	0	23635	166	10677	1559	0	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	1831	2006	627	1022	1064	549	0	45
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	9564	2195	5615	2120	578	1982	273	524
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	0	85	0	119	34	20	8	7
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	2038	356	1291	631	835	974	0	250
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	14760	1847	6669	5311	7857	7530	1162	1799
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	4242	1837	13331	1907	2555	1653	1452	1960
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	235	1972	239	3394	290	3098	1368	551
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	656	5295	750	801	1257	2664	1029	992
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	8460	8613	6664	1202	1552	3461	444	2354
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	13772	5511	20175	1652	0	4935	203	2829
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	1033	2484	798	5577	1165	5209	402	767
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	0	0	11326	6692	14168	8280	133772	9106
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	9653	4270	5147	4330	2752	3935	741	2106
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	448	1151	282	1492	579	1137	188	330
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	19236	77	10720	3372	14291	6101	344	2787
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	15167	1862	5535	3503	3567	6463	420	1115
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	11373	3130	3378	917	4194	2216	561	1082
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1314	567	781	1214	1095	2244	343	360
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	13616	863	11902	3403	10206	3500	75	203
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	6115	4613	2799	2256	3491	2344	143	621
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	4430	2223	2605	3225	2280	3340	32	2099
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	3050	994	1434	1392	1116	1689	151	40
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	113	4251	135	675	121	775	554	2153
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	37136	0	21527	0	44461	64	0	0
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	0	665	1096	25359	2918	847	30518	184
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	29957	1333	16435	0	3420	1720	565	7646
