Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	20898	172	13597	2261	8570	6207	0	419
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	6695	2070	3086	3833	2599	3536	909	3536
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	36060	1856	18919	1372	0	3500	1679	473
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	20960	447	13537	2081	9164	6739	0	507
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	6505	1554	2951	3144	2733	3512	871	2668
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	21253	1526	13774	1408	2924	3965	1137	183
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	21244	0	14382	2158	9091	6118	0	364
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	4844	583	2116	1884	2144	2219	406	2785
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	23819	1765	13040	1721	1736	3312	1204	275
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	23049	380	15445	2087	9469	6836	200	717
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	6827	1885	2841	3434	2701	3993	842	4138
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	28719	1225	18202	1353	2420	3588	1080	204
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	20942	656	13526	2179	7594	6426	49	533
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	9088	0	2749	3913	3702	3517	1307	7063
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	3336	8263	1761	1091	742	3560	1814	5157
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	3259	3943	2164	4589	2754	8414	1329	4974
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1227	1161	462	2774	1158	3537	345	1305
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	14361	1768	6170	2483	2521	2279	302	1411
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2709	1757	2583	2392	351	1291	386	1060
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	977	2315	768	3404	914	7627	401	891
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	159	2056	296	3253	682	2697	361	1346
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	167	1006	163	1053	740	1413	145	221
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	5281	3446	7335	5885	1870	5273	1112	2328
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	5201	4304	2138	4394	752	4596	388	451
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	27	0	123	0	31	0	0
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	3919	2842	1014	1184	1689	2854	514	1220
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	6157	1955	3414	2394	2997	2990	816	455
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	528	3589	353	2107	2151	4197	468	2414
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	7978	9497	552	9351	2149	5219	31494	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	10968	1861	2457	2894	3486	8250	153	1215
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	7582	1914	5511	13297	5973	3362	56600	726
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	3501	2271	2165	2503	1923	3995	443	628
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	2429	287	1493	1171	3022	670	0	356
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	11598	6616	8228	5554	1932	3879	1227	1865
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	5140	3240	4038	1763	2443	2359	402	936
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	1725	4816	805	2190	888	3138	1115	1782
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	8188	16032	1315	472	1739	6359	1458	2877
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	4939	3433	3503	4605	1244	2796	1474	1000
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	472	2998	1537	10724	1256	4196	28937	713
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	12711	0	20358	13791	4092	897	25614	29
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	41	1538	0	1987	719	2069	22	2173
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	2665	2238	1417	2101	1733	2173	746	747
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	7631	6697	29899	644	828	2823	2315	2345
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	5407	435	5598	938	7927	1709	200	688
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	4809	1205	2665	5392	1920	5616	292	1968
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	7142	6818	28892	792	399	2368	1904	2183
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	5615	2263	3816	3636	3237	3242	684	1238
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	2553	6726	5131	1622	16	1606	1173	1409
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	7498	8113	29855	825	965	2876	2612	2360
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	5525	5025	3036	4828	1400	6131	981	935
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	6736	4771	29127	987	983	3486	1638	2373
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	3426	6025	2043	2619	2091	2574	1049	581
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	3738	8360	709	2575	0	7604	544	129
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	7418	5429	28936	905	906	2643	1951	2080
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	5372	3315	1942	4116	1179	3327	566	957
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	1922	12634	897	2662	655	4816	1587	3382
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	7362	5218	28756	1094	887	2337	1876	2075
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	1222	3376	3013	981	1279	1226	1112	4579
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	394	859	37	1585	310	1480	176	331
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	7539	6509	29094	708	996	2852	2557	2227
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	7392	5743	28810	860	698	2426	1941	2147
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	6910	4787	7638	1752	2183	3748	1029	759
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	6649	3985	6604	1361	1889	3352	946	723
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	4813	3321	3818	1007	1346	6680	399	4728
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	7282	5131	7606	1840	1525	4009	1126	775
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	5597	3012	5096	982	1387	2194	873	578
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	8285	2867	7859	1712	7186	2224	1093	491
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	6375	4063	6089	1756	1910	3191	840	638
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	5424	4647	12464	1335	1797	3110	1720	784
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	8185	2719	7854	1759	7126	1967	1083	490
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	6321	4204	5207	2018	1675	3221	961	664
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	6252	4309	7595	1467	1901	3184	1365	688
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	8117	568	4204	1338	2761	1819	170	279
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	5457	4660	12109	1220	2037	3187	2050	867
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	7231	4562	7290	1774	1862	3757	1289	829
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	7018	4836	7870	1677	2212	3515	1468	808
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	6900	3777	5129	2087	2097	3596	791	651
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	7241	5024	7178	1772	2376	4080	1318	879
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	4535	0	2596	217	1513	421	60	0
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	7095	4264	6295	1561	2127	3585	1252	789
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	4832	3495	3781	1120	1269	6861	417	4744
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	9597	2981	1179	7275	780	5348	385	1180
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	62705	4228	8160	2404	0	7389	0	248
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	4854	711	3303	987	1017	713	310	271
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	4355	528	5247	3332	4179	2632	199	2481
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	3982	969	524	3285	3467	4931	315	1121
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	3780	1650	2562	3106	897	2604	203	0
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	3928	1194	2386	2943	1628	4645	655	1477
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	19655	3124	21856	3692	3160	4971	1536	470
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	1670	4590	786	2198	837	3070	1102	1756
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	939	11243	3989	1253	0	3758	969	11406
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	12672	8756	36270	0	570	532	1875	8198
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	3714	7007	3751	3072	666	3093	1104	1736
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	6866	3334	5687	2482	4131	2287	603	2033
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	3723	3896	1938	962	2443	1598	783	1316
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	18487	1709	22345	693	6715	3608	584	1390
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	886	1454	338	3335	1614	2100	772	1666
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	9814	1013	7600	2342	4263	3977	388	1260
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	873	5956	487	1222	1193	2213	910	1049
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2171	936	567	2383	1758	7924	212	1596
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	5711	2195	5640	4950	6452	5272	0	0
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	3399	2186	3218	4755	2992	4658	138	137
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	5321	2169	5212	4671	5903	5163	28	0
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	2255	394	1763	1120	2301	1663	0	0
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	10466	2120	5971	4785	9192	5540	0	0
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	19250	1063	6303	3966	13820	5362	31	0
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	8902	1647	6921	4450	9086	5463	0	0
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	8724	2039	5651	4593	8491	5479	0	0
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	8389	1873	5378	4528	8184	5261	0	0
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	8466	1968	5449	4333	8176	5276	0	0
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	210	90	254	157	198	267	0	0
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	9941	2283	6242	4644	9215	5580	0	0
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	6599	1950	4830	4726	6776	5134	0	0
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	8653	1966	5576	4560	8345	5398	0	0
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	7484	1764	4730	3731	7370	4685	0	0
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	11326	1795	6481	4320	9627	5339	0	0
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	0	91627	0	32030	43338	0	30238	5914
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	16703	0	18777	1777	6319	289	366	2614
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	0	2413	205	235	0	1144	8	1735
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	9488	4374	11505	1357	4786	4718	818	3015
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	4008	3473	2191	4775	3112	6413	1034	663
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	95	84	4122	64	105	62	36	181
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	5976	20998	4184	8006	8671	3848	6005	3244
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	1461	1334	616	1678	1221	2144	1004	1049
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	4654	3303	2940	2861	1671	3054	843	494
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	0	39150	0	13419	15237	0	12801	2523
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	1298	4373	1196	3819	205	3978	639	1659
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	6073	741	2838	646	2946	2020	370	3838
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	9472	13405	5955	2086	0	9920	3797	2219
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	2649	2455	1126	2739	2391	2057	772	661
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	0	32708	0	10259	13011	545	10308	2845
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	2307	1942	763	3240	2704	2692	569	1041
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	292	4693	225	3002	3357	5265	2639	653
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	10377	3787	4802	962	3997	2184	641	1482
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	5509	10955	5976	5762	12551	1738	3190	1240
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	5417	2677	1726	1922	2810	1933	878	2254
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	1727	12	1718	252	1356	373	535
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	26158	1234	14239	2435	8429	3452	575	1295
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	8	200	2	126	17	76	25	104
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	60	0	7	8	0	20	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	1679	9	1903	249	2131	573	605
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	6493	1427	4987	4564	3028	4396	1814	2378
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	0	1731	20	1914	269	1226	502	480
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	1627	10	1951	237	1218	516	485
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	0	1815	18	1902	243	1147	525	534
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	0	1587	37	1677	222	930	461	533
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	6291	1285	4917	4461	2953	4338	1829	2189
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	19577	6	9156	2105	2215	1942	479	1049
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	313	5070	612	3079	1739	8118	954	330
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1630	2756	583	4655	570	5115	259	857
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	4081	10001	3340	1762	1316	3318	1380	1035
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	0	697	97	416	203	483	106	259
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	1436	3235	3080	1083	1790	1647	446	1817
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	7062	2505	2653	3226	1955	2831	672	1193
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	11441	4875	9738	3185	2055	2541	1654	3281
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	303	1850	91	2187	138	1293	272	434
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	1818	3411	1206	1968	1153	2886	393	1373
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	7072	4838	4915	5315	6210	4694	546	3002
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	7107	3000	3816	1793	140	2617	637	3635
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	9243	4726	16072	2006	3238	1072	1631	1638
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	19083	0	5414	293	12831	1975	0	0
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	17959	1585	8952	1517	4800	1938	405	600
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	15150	3387	11222	3228	4558	3157	1360	1405
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	2913	4027	786	1174	2667	2457	801	853
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	3175	8960	0	0	3622	1225	37746	4075
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	9331	5021	7679	2611	5745	4651	2737	606
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	27	3576	0	1356	876	1200	626	1268
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	3847	2701	1925	2555	1360	6337	583	1002
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	603	886	602	942	361	723	111	372
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	1483	283	1576	4465	2526	1654	512	4773
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	1678	9377	1587	2118	182	4207	981	1960
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	1456	754	1072	843	148	832	104	181
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	23883	0	11974	3365	8803	3787	0	315
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1121	2622	789	2699	513	3483	377	548
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	31759	3428	31010	2347	2753	1501	1367	1516
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	9338	6738	5077	2951	2256	4024	1576	1387
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	11955	1982	2053	3623	4039	4289	1026	1447
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1394	2051	337	2980	66	1833	257	377
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	1798	3714	782	1260	1062	1854	1030	1331
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	533	1841	268	2513	10278	5246	3944	6937
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	4848	2769	2670	2853	1548	3885	1157	1145
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	2796	5828	1168	1835	222	4633	1908	1388
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	12901	4064	8827	2240	2381	2359	839	1240
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	864	4438	907	583	0	2940	2010	7997
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	784	3233	900	4048	1222	3772	1395	1652
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	164	1235	126	1474	425	1153	226	287
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	79070	0	57227	0	6589	0	0	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1475	1267	871	1655	311	1289	276	309
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	2552	979	1591	5117	819	4513	73	1040
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	131	2146	326	2302	704	1823	593	765
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	7606	1275	3120	2875	2592	3986	699	1322
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	2082	2162	1241	3349	1117	3941	353	888
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	1249	4508	992	3549	555	4166	538	955
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1537	1716	724	2948	652	2135	538	445
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	476	1629	776	1536	798	820	73	127
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	9854	1814	3235	2021	4350	3968	589	950
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	18533	0	7607	3684	10352	4572	1249	1084
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	29	3413	0	1681	813	1462	496	633
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	5808	1691	1494	1204	599	1416	416	457
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	1135	2372	274	4590	1518	4092	128	776
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	2400	3821	3018	1947	3230	7596	3516	1988
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	0	460137	0	213822	203907	0	177877	21451
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	12018	2563	7554	2951	0	3357	1374	731
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	1395	8669	655	1749	1532	3972	746	583
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	2517	2202	673	4907	2940	3964	210	2028
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	7170	3525	9101	2268	4597	6478	1235	1087
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	9849	1610	9527	678	3374	1340	152	1112
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	2873	1702	2235	3695	139	1352	310	231
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	2490	3687	1867	3296	1500	3058	1363	1925
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	4540	2361	1535	6600	973	3423	0	413
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	657	833	196	1777	349	1294	78	194
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	0	0	3605	12802	1987	2724	39449	1080
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	2279	2866	1741	2483	175	2694	756	666
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	6037	2159	5416	3362	2067	5097	639	834
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	59857	0	46245	1092	0	2351	728	1062
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	0	462183	0	214793	202694	0	181766	22501
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	3262	6436	3864	3070	879	5103	2346	1775
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	2193	2449	865	2275	1136	4160	1308	686
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	6445	2162	5832	2637	0	1898	963	2373
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	656	2854	1523	3408	94	2543	396	564
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	21742	232	11773	2394	5493	5107	243	606
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	127	2268	153	1292	1088	1161	739	535
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	8683	10222	736	22061	5510	7128	46845	0
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	3269	3791	3266	1449	844	2282	1394	1538
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	296	2025	176	1539	401	778	457	583
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	7341	4812	3273	2554	2388	4208	765	1641
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	685	970	252	1057	392	621	176	131
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	3321	3532	1285	1822	1429	2804	921	1360
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3827	1406	0	2396	2272	4639	1788	2567
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1065	1801	702	3008	206	3143	82	993
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1666	3133	710	2392	613	2217	416	603
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	80	1477	109	2349	0	122	193	158
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	11704	4124	1730	1411	2425	2593	427	1514
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	1427	3569	919	3177	609	2359	1107	859
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	3569	927	7452	702	1563	560	90	142
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	2275	1879	801	2658	1864	2141	445	1302
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	16191	46	16830	1902	6526	3088	165	507
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	872	1505	670	2785	535	909	550	324
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	14306	2226	15828	4287	2378	2505	0	1671
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	8698	791	7492	1162	0	914	632	495
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	3406	3252	2567	2461	1839	2173	942	823
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	0	31	2	30	8	4	26	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	76	563	0	578	173	89	0	25
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	15264	0	10764	2695	9897	1998	0	218
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	1134	2587	2380	3307	0	1400	369	1335
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	3810	4505	1825	4629	4455	4810	886	2755
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	7513	3976	1887	2451	2242	3423	1484	1470
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	4550	863	10233	1360	1572	1913	631	959
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	1396	12433	1876	1650	357	3613	932	4220
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	9376	0	18788	0	27963	0	0	483
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	2673	2114	2186	2597	1442	3997	857	1242
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	4544	2091	1815	987	2005	2154	387	442
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1398	1935	606	7344	1645	3469	574	1300
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	1881	5322	5079	621	710	983	722	1648
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2281	1298	371	1112	73	1164	220	162
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	2858	987	939	1190	685	866	466	279
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	750	0	1767	9541	1502	5619	29519	1153
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	49	1446	0	3100	465	1534	711	341
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	550	1573	188	2831	321	2309	288	3527
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	13	53	0	13	46	0	48	2
