Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP2101140-DNA_A01_vs_LP2101155-DNA_A01__pv	2160	2404	1425	793	2538	4935	1531	4888	496	1580	0	1086	2736	2133	1710	414	1343	637	1556	3745
LP2101141-DNA_A01_vs_LP2101139-DNA_A01__pv	701	104	1465	530	581	1627	516	362	1040	687	0	836	1379	211	667	1483	877	0	551	221
LP2101142-DNA_A01_vs_LP2101143-DNA_A01__pv	247	382	0	1116	12897	845	292	1214	0	10373	4040	3064	0	12583	0	262	64	81	0	363
LP2101144-DNA_A01_vs_LP2101145-DNA_A01__pv	374	350	579	37	601	933	442	217	1875	612	294	207	798	836	290	413	412	60	663	518
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	489	471	1155	220	883	547	2173	1880	2037	588	1334	1012	431	173	711	568	326	810	276	614
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	0	501	1404	358	430	3934	502	496	981	485	731	474	931	419	2080	469	1356	797	381	294
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	1895	1763	127	398	615	2050	749	2376	1975	1078	1008	437	1517	907	1866	1102	1352	929	645	770
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	11026	13288	2212	5747	2035	3190	2026	959	3919	0	2182	2478	1493	2088	3849	904	1380	1445	282	377
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	759	0	0	1302	11756	820	0	1251	0	26031	13582	6879	345	12286	539	198	78	0	413	452
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	5949	6565	969	3080	4421	2177	1061	3921	1765	1246	346	1647	1321	943	726	831	837	1860	616	1260
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	1110	2737	926	1085	1300	1031	1008	635	959	201	516	729	1198	932	555	1314	314	178	509	523
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	267	133	286	61	203	252	139	308	99	0	175	55	55	94	0	123	79	10	26	179
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	195	101	1369	66	909	225	483	0	4	0	0	521	617	1155	536	206	567	291	0	3380
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	718	1159	343	558	733	833	882	1847	2191	129	371	931	259	786	362	630	427	35	319	700
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	247	75	648	64	1106	1140	467	143	1055	332	175	486	1143	382	962	479	745	0	553	372
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	272	53	770	231	184	1159	198	430	199	188	358	348	644	0	143	116	352	253	348	260
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	6899	5672	1025	1767	946	719	408	1218	1787	454	341	631	950	946	1406	493	618	453	411	401
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1883	1049	341	476	1639	689	701	1872	2571	553	168	691	314	623	1059	506	617	400	320	351
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	2035	4620	630	1247	1859	856	816	2146	2284	1128	192	398	753	143	1069	545	823	0	319	607
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	1998	1812	604	580	1141	832	379	1141	783	220	192	729	977	167	700	788	1258	48	449	121
LP6005334-DNA_B01_vs_SM-4JPUU__pv	600	441	224	44	1207	390	1659	1849	1433	200	220	558	237	564	259	950	364	234	157	311
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	3333	2251	644	1777	2887	840	882	3030	2719	783	599	526	974	125	789	694	512	0	226	561
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	558	137	951	358	242	3430	487	503	740	870	258	328	2252	354	187	554	1605	258	1098	690
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	273	325	404	460	447	1319	185	556	710	252	380	260	1149	271	3	237	763	155	336	122
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1037	899	729	536	2910	1019	549	562	2489	750	758	711	506	229	684	732	718	875	126	374
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	0	107	3	43	25	61	0	76	0	0	43	60	0	24	50	172	0	0	14
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	10838	3676	679	2273	500	2123	410	872	650	369	239	506	572	424	283	906	2234	1437	361	476
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	152	173	139	174	567	557	746	1763	839	376	159	0	724	205	0	323	2468	0	137	580
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	865	838	900	0	1595	1756	780	1608	2485	598	599	956	712	546	1179	586	1207	622	447	292
