Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	4132	7660	802	3469	352	1317	1306	783	1165	307	636	0	740	1132	598	297	752	921	172	310
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	830	916	313	517	486	327	564	1023	856	139	211	398	121	246	132	253	78	0	90	418
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	11347	8388	698	8303	1933	825	907	1329	1128	627	586	794	1544	989	954	657	410	1153	478	718
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	3085	4121	822	2390	1017	1749	1748	689	872	557	391	333	1932	67	1039	238	332	82	459	459
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	2858	2991	349	891	1358	1073	2158	1355	1012	441	0	324	1603	824	283	1156	519	37	413	589
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	1539	2067	431	965	674	545	453	816	583	73	314	293	322	44	121	69	65	194	51	247
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	0	83	785	134	253	1573	301	123	664	475	247	69	1151	39	154	369	1507	484	184	182
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	22766	22102	2514	35090	0	1110	1619	49	390	0	3307	328	0	3486	2719	2691	58	4896	0	63
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	831	446	1136	14	13933	0	3617	246	803	20481	3450	4416	976	9002	710	455	113	0	572	386
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	16583	20349	266	8270	72	0	0	1192	1215	792	559	54	0	1059	967	1559	5747	2083	0	309
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	9869	3268	737	6340	1958	0	1686	226	1276	1027	0	747	1210	527	812	1514	200	931	31	313
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	344	495	287	366	1397	2059	674	4352	1946	1251	870	380	1109	431	325	573	1035	1096	716	1275
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	411	783	0	0	442	577	213	882	1516	630	608	0	1560	0	692	748	346	0	217	507
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	4087	5445	669	2874	1483	2060	884	2795	1336	845	389	376	2213	1340	1032	456	1235	708	764	1262
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	2840	2117	862	810	1657	1489	411	1524	2257	588	1090	499	2586	253	1865	646	1763	99	823	341
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	414	58	642	669	11719	1591	0	1691	0	17601	11663	3327	0	15066	0	226	260	0	270	470
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	1454	1907	560	699	729	925	1117	2210	1395	404	438	499	891	459	430	569	290	271	316	467
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	2099	2400	385	1536	1253	415	341	471	1084	307	0	94	1323	445	553	298	133	0	162	46
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	2557	2887	1215	1080	1744	1226	1797	1319	1295	477	279	477	710	342	726	597	761	302	414	401
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	956	1694	380	312	1180	400	3216	661	233	734	114	501	1189	680	788	674	362	0	15	575
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	977	1707	419	253	1160	376	2985	663	211	716	66	514	1119	703	783	661	349	0	63	565
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	8657	7459	930	1982	1219	1247	1182	1365	385	367	1149	761	1592	1281	5660	534	883	1391	674	619
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	4455	4248	242	2189	644	367	517	747	600	167	238	300	71	289	457	152	239	1081	137	167
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	828	297	652	206	1271	1141	668	1588	1159	398	239	731	1174	576	182	379	180	0	289	570
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	979	1049	237	495	382	172	115	564	526	165	163	52	506	27	120	79	40	0	57	151
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	5478	5266	9	5646	1731	1572	1910	1894	1510	673	468	1192	1601	1364	475	1595	483	100	454	790
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	809	1050	604	248	2165	900	349	1020	1439	544	442	417	1422	403	869	474	296	48	338	250
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	3131	3649	699	1776	1541	630	541	1724	1981	488	196	275	909	640	685	443	164	0	391	279
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	281	211	261	152	1123	825	630	1598	1723	401	645	597	540	203	429	350	473	0	212	344
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	937	1378	921	399	1593	1366	2144	1748	2450	736	416	624	874	205	360	951	582	477	112	457
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	2580	4024	2199	767	412	2279	622	340	1760	0	1226	1104	1166	1439	1611	437	567	2549	453	371
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	10589	14144	971	5172	240	532	291	673	0	642	180	0	3103	1286	1718	3790	1417	738	411	321
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	852	849	839	874	976	1062	546	687	1680	620	301	263	763	263	341	391	103	1205	233	429
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	1547	4280	1126	2398	614	4076	846	735	1149	998	86	262	1646	1021	340	572	1049	1605	909	285
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	1562	4486	1107	2213	618	4245	764	681	1121	1046	0	285	1422	986	355	424	1099	1701	892	335
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	21182	26196	183	10516	130	0	0	1425	1103	1097	418	0	347	2056	1776	1784	7906	1821	414	289
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	183	168	752	110	320	213	323	138	181	0	154	41	328	0	116	30	95	0	142	61
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	1426	3068	674	582	2197	989	1257	2578	2201	937	291	690	213	665	714	729	297	417	526	831
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	14164	14269	0	6225	275	171	92	35	0	335	0	142	2967	1786	1913	560	1659	0	1096	435
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	4201	3323	122	2414	831	713	1312	995	1242	316	664	637	999	423	423	397	460	1298	3593	716
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	8935	9350	386	6134	1204	159	401	1000	2616	800	354	679	1049	181	1325	1255	697	0	162	628
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	159	66	660	91	383	1306	685	187	887	248	62	457	593	586	668	242	1022	373	221	38
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	17927	12370	894	9104	1385	1622	717	1832	3373	1160	359	1087	751	1740	1118	1525	1630	3646	436	519
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	55193	7922	40	11028	2338	725	312	7913	0	1840	3576	827	0	0	15908	721	754	9989	802	339
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	1436	1897	300	912	442	519	412	446	622	312	89	94	574	218	426	419	192	0	175	234
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	1420	1455	466	841	1455	747	865	1622	913	617	0	553	1406	522	376	1261	796	0	484	530
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	934	1194	339	901	768	1199	819	448	669	201	217	641	1538	345	188	850	417	0	294	255
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	3844	4308	491	2103	2458	1130	975	831	1943	620	145	734	630	994	968	961	888	1009	265	474
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	418	973	797	186	1218	1013	596	1064	2128	410	132	304	1066	289	265	325	214	585	220	252
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	1004	715	840	389	1245	2988	445	599	1271	1047	784	73	2321	0	497	593	884	425	855	568
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	9432	8703	1312	6234	76	3718	2170	1623	549	1117	250	584	2746	560	0	491	1393	1387	615	528
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	439	759	516	261	985	981	580	1469	1519	446	361	544	871	114	237	196	380	0	292	497
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	166	74	357	114	596	265	312	585	512	98	161	189	311	108	171	124	140	0	212	76
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	512	305	534	169	1312	1021	724	2617	2335	497	139	482	808	614	461	475	279	487	314	166
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	4570	3767	452	2307	1255	596	757	2283	1294	964	231	0	1662	975	714	2608	312	178	202	790
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	10441	5326	1036	2983	1241	1476	1124	791	2138	123	734	694	1251	979	2186	346	1430	227	289	46
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	289	613	283	249	797	594	552	874	952	134	369	421	447	395	433	653	690	377	200	334
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	142	1003	387	324	454	572	393	444	880	170	167	331	305	240	257	785	501	446	59	212
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	134	638	479	180	343	449	250	419	826	193	78	311	369	269	224	983	1903	300	306	238
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	4659	7892	471	2941	726	588	587	1705	1572	327	372	737	706	824	635	789	644	412	245	281
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	3541	2717	536	800	1829	557	768	1881	1313	589	13	506	522	620	692	338	272	0	346	705
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	2015	3061	745	1585	1709	2412	795	2049	1403	1064	301	1011	2485	1085	2978	373	3071	1112	821	664
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	2158	1415	967	550	1529	691	1090	2680	1754	918	0	488	1281	450	815	662	378	582	181	523
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	1592	471	362	337	1535	484	708	1034	921	83	383	630	454	85	200	1339	288	113	329	320
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	653	782	223	490	319	109	200	463	841	197	176	94	108	331	167	621	338	49	41	267
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	8878	7195	40	1541	1482	633	655	1759	744	682	329	406	876	1013	1116	1315	857	1309	196	521
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	3162	2294	438	1178	621	2003	1037	1144	1489	224	699	523	1022	471	558	1079	1805	0	252	257
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3135	2895	995	0	1467	979	699	1109	1104	481	202	548	1159	274	1071	531	430	0	681	366
LP6007591_vs_LP6007590__pv	21143	5651	0	6616	3054	375	1517	1864	1658	1157	0	1657	3817	1568	1682	3929	1185	318	490	630
LP6007592_vs_LP6007590__pv	1112	1223	413	406	1648	424	554	1137	930	135	510	332	702	212	436	361	318	0	246	254
LP6007594_vs_LP6007593__pv	474	279	683	401	2437	1136	774	1663	2744	1286	1359	184	919	0	612	317	186	442	613	806
LP6007595_vs_LP6007593__pv	1611	1963	539	850	888	451	492	1380	1274	461	0	457	286	479	416	107	11	0	414	239
LP6007597_vs_LP6007596__pv	1274	11661	133	9546	1456	976	1450	2071	224	293	509	260	699	2630	167	488	288	0	3295	517
LP6007598_vs_LP6007596__pv	322	4379	133	2064	539	98	321	946	399	99	117	151	503	955	83	240	109	0	547	282
LP6007600_vs_LP6007599__pv	75	135	832	20	738	389	712	423	288	422	49	109	1123	0	109	206	57	0	80	200
LP6007602_vs_LP6007601__pv	32715	13065	364	4423	395	1002	155	0	0	0	480	771	1292	1814	3459	140	1041	3167	505	175
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	11912	13091	156	4434	799	441	371	1212	853	881	60	381	2239	1112	101	187	162	2665	636	452
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	14016	26114	0	6794	740	369	270	1129	355	978	0	304	1588	1104	0	57	162	4505	1032	601
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	13814	13679	908	7902	1106	1153	1157	3146	1827	315	465	1061	565	857	123	713	311	219	410	549
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	3553	4499	231	2180	1608	935	250	1700	2116	882	885	560	1128	1417	505	4705	1706	0	403	479
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	15305	18428	0	6299	772	197	336	1247	529	788	0	419	2295	1226	0	150	196	3234	697	373
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	11515	13171	118	4259	623	381	286	1175	1096	809	0	243	1816	1138	42	159	214	2524	642	269
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	13925	13888	1063	7820	1177	1339	1122	3205	1716	513	319	1191	587	785	29	704	342	528	784	545
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	1741	2332	270	1115	635	332	279	868	1096	370	333	116	650	475	175	800	358	0	69	213
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	20151	25727	152	5017	628	368	346	1180	491	767	0	594	2576	1178	0	105	222	5382	955	442
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	13470	13450	998	7593	1030	1074	1129	3133	1647	331	413	961	581	701	133	612	301	281	646	497
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	14002	13603	898	8025	1096	1132	1161	3156	1680	314	515	1144	658	724	100	697	305	96	666	505
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	6	0	26	0	13	0	7	6	0	28	0	0	30	2	0	12	5	0	0	0
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	16661	18760	0	6416	724	251	392	1244	792	814	0	413	2404	1191	0	51	209	4022	494	462
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	13739	13641	1051	8145	1074	1257	1168	3250	1764	434	287	1005	661	974	239	643	386	543	1397	466
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	3467	4411	602	2076	1774	949	632	1636	2106	769	827	480	1137	605	571	2081	1294	0	372	475
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	18562	23984	445	5309	689	649	295	1119	106	846	0	425	1649	953	0	80	170	6803	1298	477
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	13739	13351	1034	8477	939	1381	1344	3256	1626	227	427	1281	415	759	114	776	298	328	3146	517
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	3365	4238	330	2031	1415	872	445	1592	1989	763	727	333	1170	849	457	1872	714	0	363	413
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	13328	13773	0	5114	669	673	206	1388	747	1023	0	494	1963	1280	0	176	175	3061	1542	558
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	14515	13861	784	8736	1073	1280	1150	3207	1647	383	436	1060	904	1045	125	757	290	324	1216	564
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	2455	3184	360	1460	782	412	254	1024	1365	547	219	111	656	688	360	1843	769	0	197	295
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	13061	15861	85	4660	781	554	355	1244	939	958	0	410	2274	1218	69	182	179	3052	603	387
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	15496	14787	1102	9110	1002	1644	1051	3357	1597	600	386	1172	466	1035	108	868	470	641	2704	587
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	3341	4419	288	1970	1502	959	558	1826	1948	739	660	429	1463	1160	459	2490	1376	0	494	580
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	17098	18825	319	5858	717	477	428	1135	273	753	0	518	1747	522	0	0	187	6533	873	528
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	13626	13636	1241	7660	978	1532	1047	3170	1660	447	135	1203	308	681	143	653	395	524	2246	620
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	3667	5837	362	2370	1646	806	225	1693	1886	947	924	559	1034	1327	517	4773	1676	13	567	510
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	1591	2245	1310	1379	468	2301	799	1534	687	629	1298	898	2090	497	1273	771	3848	540	592	974
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	1991	2486	1044	924	1794	1016	3065	4159	3171	1224	126	1130	973	1025	504	1318	2871	1053	333	1219
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	569	814	421	301	1318	345	773	1819	1078	619	291	141	785	224	257	849	364	345	229	427
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	6854	9748	182	3625	1013	478	555	741	2360	159	306	600	1178	778	633	825	698	0	222	340
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2458	1869	582	487	1118	367	608	721	649	350	0	493	947	163	464	569	455	0	163	66
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	737	605	0	308	1674	1085	652	4165	1412	1277	549	96	1831	109	359	579	288	507	373	691
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	301	74	937	206	1565	596	512	1296	955	277	180	561	856	183	97	670	727	60	233	564
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	194	137	464	184	496	220	501	732	536	269	120	21	392	26	159	97	131	0	83	146
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	6550	3486	618	1794	2891	2093	1195	2235	2407	1423	549	745	1688	410	362	1255	963	635	297	934
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	2351	3664	590	1021	2209	710	841	2322	2130	1045	465	83	1845	36	1435	289	335	133	339	381
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	0	5	1	68	11	0	22	16	6	0	14	21	0	5	5	3	0	4	0
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	1350	2689	383	1085	399	1484	1052	1258	873	665	122	324	888	417	380	446	532	0	580	309
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	3473	4035	564	2766	1201	890	67	1145	2167	881	789	195	612	0	478	421	315	457	315	407
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	335	477	618	287	764	1675	2013	1779	1389	808	384	235	1418	47	300	854	964	670	180	610
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	1092	4671	3925	1775	4267	0	0	2644	4271	6039	16095	10744	4512	3779	299	0	134	1993	0	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	3574	7492	495	2571	1203	1213	1674	4367	1056	973	55	436	2084	1187	239	858	306	0	356	1145
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	4601	4671	3397	3878	7929	0	0	1180	1587	23016	23101	11508	966	4717	0	118	94	3106	492	604
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	2244	2365	779	1389	1128	906	629	2070	1284	665	214	529	1297	153	369	440	306	0	234	428
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	1569	1483	323	2037	595	233	416	271	509	264	0	175	774	0	194	421	121	0	0	43
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	8035	7974	1425	2693	2680	2537	1327	1293	2807	1542	446	504	2221	384	1376	922	913	589	566	665
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	3858	3287	230	2209	809	571	480	914	939	354	35	494	1529	1032	1312	441	606	462	357	402
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	757	1314	971	366	804	1959	969	1249	1683	638	498	810	1113	0	746	612	849	368	331	422
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	1716	5073	402	1915	141	3626	0	2725	159	565	983	160	5014	3570	5371	891	1748	1935	1632	814
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	3384	3394	1044	1226	1933	726	653	976	3118	486	323	1446	936	314	874	842	261	248	573	237
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	948	285	554	259	6571	0	181	1623	4680	14308	14140	2866	835	1014	577	193	188	1345	264	2
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	17936	8403	2566	4388	8199	0	1576	858	0	12957	7754	4694	0	5529	0	273	209	1938	0	212
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	12	82	487	0	877	643	435	1095	751	343	169	95	1147	0	63	1254	698	143	64	191
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	1500	1777	628	917	895	771	742	775	1364	719	109	262	832	453	359	517	190	301	410	299
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	24768	4914	1213	3667	594	2667	236	924	2285	1028	1040	866	0	786	3568	318	1674	1497	512	625
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	5415	3097	403	5007	382	475	1187	505	754	655	255	442	1930	588	281	796	185	103	236	206
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	2840	3169	716	1592	2609	360	652	2963	1800	723	0	889	799	621	519	1371	790	0	624	830
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	23917	4595	1030	3321	667	2285	456	781	2036	645	866	886	25	959	3723	119	1725	1434	514	514
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	3780	3714	658	2518	1594	505	906	1164	2632	524	323	855	1110	365	617	755	618	290	279	524
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	4431	1784	1423	534	735	948	443	470	1012	460	641	577	2146	0	2418	476	815	0	534	389
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	24657	4835	1265	3691	641	2556	382	892	3081	965	1355	857	0	934	4168	137	1864	1902	485	437
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	3086	3853	988	1404	2213	1478	720	2868	3303	858	711	809	1301	343	1362	611	480	209	558	706
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	24307	4242	661	3643	634	1909	355	1330	2198	1025	434	1079	1142	732	2558	473	1631	391	593	764
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	1874	2339	1610	1082	1161	1875	927	716	1573	786	211	291	1191	605	1420	307	247	1339	377	477
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	1357	1358	765	305	1026	415	154	2519	1131	322	0	765	965	676	1561	297	6	0	9466	571
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	24132	4706	915	3498	702	2046	423	1014	2004	819	882	844	306	974	3098	371	1431	1052	600	451
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	2243	3805	867	825	1845	1018	1177	1608	1835	828	0	497	1550	464	643	670	275	379	0	245
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	415	1349	1533	958	1139	6193	849	1434	2056	1294	841	781	1543	244	1320	197	2575	1790	1091	953
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	23913	4681	1010	3522	782	1835	362	820	2114	732	698	949	0	885	3165	379	1447	1227	647	437
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	2422	744	827	987	359	992	127	391	1382	901	283	170	884	424	571	1649	2482	872	57	264
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	86	271	277	147	759	322	234	746	562	165	152	293	311	0	128	240	138	13	124	204
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	24058	4833	859	3537	594	2105	510	841	2601	992	1382	826	65	792	3755	271	1540	1884	477	560
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	23931	4702	932	3461	658	2182	372	922	2163	700	933	933	225	817	3028	274	1577	1353	536	318
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	6545	4347	792	2285	873	1863	706	1508	756	866	232	476	836	520	1193	184	474	2604	1387	359
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	5949	4294	983	2060	597	1584	363	1468	1215	927	0	365	550	518	1021	373	337	1251	1512	142
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	3541	2946	940	1975	543	735	31	3727	0	807	0	477	1074	565	539	1345	3083	843	1854	1087
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	6403	4546	1049	1811	920	1730	749	1678	456	821	119	461	696	464	1139	149	449	3520	1862	272
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	4538	3697	661	1655	461	833	323	888	771	832	16	261	612	268	1066	194	343	1371	739	190
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	7155	5045	1041	5267	894	1492	685	409	1666	1101	386	250	460	969	958	467	357	1985	803	327
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	5374	4171	740	1949	838	1664	618	1364	883	762	112	406	852	644	1113	230	360	1874	592	316
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	9613	3133	1036	1886	855	1972	461	1100	0	954	336	357	0	577	1306	163	338	5681	1224	289
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	7140	5044	1026	5203	909	1563	728	386	1521	1073	333	351	525	981	985	489	329	1910	421	266
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	4788	4271	979	1725	937	1317	797	1493	1179	933	80	377	898	508	1266	198	434	1167	701	223
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	6487	3988	839	2071	737	1671	445	1331	865	1085	201	421	598	563	1266	232	382	2217	1154	208
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	4414	5488	331	2876	635	420	443	892	1213	335	263	324	241	138	420	228	255	140	102	98
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	9285	3217	965	2074	805	2130	517	1102	0	1067	603	506	0	412	1366	92	452	5710	879	405
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	6550	4611	926	2174	813	1906	540	1640	1088	1019	118	601	567	698	1094	375	403	1331	1970	170
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	6748	4449	999	2286	833	1779	633	1458	701	1165	95	529	666	653	1389	257	449	2545	1522	248
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	4812	4667	791	2046	997	1464	889	1799	1010	834	266	432	1043	458	1157	229	411	1134	321	268
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	6264	4533	1035	2334	832	1937	521	1654	889	1196	0	475	805	753	1188	377	428	2455	1870	322
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	2723	3040	96	1640	131	122	82	207	403	142	98	0	36	318	186	84	29	0	0	5
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	5662	4581	773	2202	720	1641	562	1572	1133	1087	259	402	829	532	1097	311	412	1731	1307	155
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	3511	2954	951	1971	622	858	53	3923	0	833	99	469	1005	508	541	1307	3141	841	1949	983
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	1955	6699	946	1602	3444	914	1196	2628	1544	431	0	1800	1093	82	981	876	518	694	285	1037
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	15093	47365	882	152	962	61	272	4174	729	1103	1032	281	4724	983	4956	587	0	616	673	489
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	3307	3269	399	1393	468	191	294	330	407	67	120	398	409	240	259	153	214	0	128	120
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	4978	2872	834	2243	1540	653	1235	1158	1634	1240	0	8	1005	200	688	1961	364	0	0	340
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	1062	2885	438	1289	1335	559	2567	2262	1670	1037	0	379	1065	185	177	625	189	0	178	692
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	2572	2568	706	1060	1514	206	405	1285	1570	183	184	480	532	141	472	177	76	67	327	277
