Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	6.62E+01	4.08E+01	7.99E+00	5.80E+01	7.80E+00	5.51E+00	1.39E+01	4.82E+00	1.43E+01	1.74E+01	1.24E+01	1.05E+01	1.06E+01	1.54E+01	6.15E+00	9.10E+00	3.53E+00	7.03E+01	4.34E+00	1.23E+01
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	6.46E+00	7.06E+00	9.16E+00	6.23E+00	9.19E+00	1.03E+01	9.12E+00	2.92E+01	1.75E+01	1.18E+01	1.55E+01	8.39E+00	1.32E+01	1.63E+01	5.20E+00	5.32E+00	4.96E+00	1.47E+01	6.78E+00	3.18E+01
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	8.61E+00	1.04E+01	3.12E+00	1.01E+00	6.42E+00	7.21E+00	5.91E+00	7.42E+00	1.57E+01	8.95E+00	1.30E+01	2.61E+00	1.46E+01	1.26E+01	6.48E+00	4.12E+00	2.60E+00	1.89E+01	4.56E+00	8.23E+00
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	2.70E+01	3.86E+01	9.24E+00	2.65E+01	8.07E+00	1.29E+01	8.86E+00	2.03E+01	1.69E+01	1.19E+01	1.26E+01	8.89E+00	1.84E+01	1.27E+01	7.22E+00	5.73E+00	5.24E+00	4.80E+01	7.28E+00	2.06E+01
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	1.59E+01	1.94E+01	1.28E+01	1.18E+01	1.09E+01	1.19E+01	8.15E+00	9.04E+00	3.24E+01	1.08E+01	1.50E+01	1.20E+01	3.01E+01	1.97E+01	1.05E+01	6.86E+00	5.50E+00	3.60E+01	7.08E+00	1.23E+01
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	1.44E+01	2.20E+01	3.40E+01	2.21E+01	1.13E+02	1.27E+01	3.93E+01	1.47E+01	7.21E+01	2.50E+02	2.73E+02	1.16E+02	2.34E+01	2.06E+02	8.21E+00	7.82E+00	3.81E+00	2.15E+01	9.27E+00	1.78E+01
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	1.05E+01	1.36E+01	6.76E+00	7.96E+00	5.85E+00	6.37E+00	7.98E+00	1.29E+01	1.13E+01	8.96E+00	7.28E+00	6.72E+00	9.14E+00	9.70E+00	3.96E+00	5.41E+00	2.44E+00	1.42E+01	4.35E+00	1.45E+01
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	1.36E+01	1.94E+01	6.03E+00	1.51E+01	6.35E+00	5.69E+00	5.21E+00	3.82E+00	1.48E+01	8.30E+00	9.12E+00	6.47E+00	1.30E+01	9.30E+00	4.84E+00	3.49E+00	1.83E+00	2.70E+01	3.69E+00	5.61E+00
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	1.64E+01	2.14E+01	8.83E+00	1.23E+01	6.31E+00	8.02E+00	1.02E+01	7.71E+00	1.19E+01	1.41E+01	1.08E+01	7.11E+00	9.08E+00	1.04E+01	4.97E+00	7.10E+00	3.47E+00	2.39E+01	4.81E+00	9.01E+00
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	1.19E+01	1.41E+01	8.92E+00	6.83E+00	6.06E+00	9.18E+00	1.68E+01	1.04E+01	1.59E+01	2.73E+01	1.30E+01	1.07E+01	1.19E+01	1.10E+01	5.48E+00	1.28E+01	2.54E+00	1.89E+01	4.57E+00	1.00E+01
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	1.20E+01	1.44E+01	8.87E+00	6.97E+00	5.85E+00	8.63E+00	1.58E+01	9.93E+00	1.55E+01	2.57E+01	1.28E+01	1.04E+01	1.19E+01	1.09E+01	5.26E+00	1.21E+01	2.66E+00	1.94E+01	4.46E+00	1.02E+01
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	5.52E+01	6.28E+01	1.14E+01	2.54E+01	6.56E+00	1.39E+01	8.02E+00	1.11E+01	1.78E+01	1.16E+01	1.94E+01	9.84E+00	2.15E+01	1.96E+01	1.81E+01	6.56E+00	8.24E+00	7.70E+01	8.71E+00	1.51E+01
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	2.47E+01	3.21E+01	5.12E+00	2.29E+01	3.60E+00	3.94E+00	4.07E+00	4.51E+00	8.38E+00	4.78E+00	6.94E+00	4.95E+00	5.23E+00	8.64E+00	3.98E+00	2.70E+00	1.84E+00	4.13E+01	3.36E+00	6.55E+00
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	5.87E+00	5.89E+00	6.54E+00	3.95E+00	6.85E+00	7.52E+00	7.13E+00	1.13E+01	1.45E+01	7.98E+00	7.60E+00	8.08E+00	1.36E+01	1.05E+01	3.90E+00	4.19E+00	2.26E+00	1.50E+01	4.19E+00	1.18E+01
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	6.83E+00	8.92E+00	3.61E+00	6.38E+00	2.63E+00	2.87E+00	2.41E+00	4.18E+00	6.85E+00	2.75E+00	3.86E+00	3.11E+00	5.82E+00	4.55E+00	2.31E+00	1.50E+00	1.02E+00	1.18E+01	2.08E+00	4.42E+00
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	4.21E+01	5.21E+01	5.90E+00	5.07E+01	8.99E+00	1.11E+01	1.27E+01	1.27E+01	1.81E+01	1.72E+01	1.41E+01	1.11E+01	1.44E+01	1.47E+01	6.68E+00	9.57E+00	4.11E+00	5.98E+01	6.12E+00	1.68E+01
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	7.34E+00	9.21E+00	6.81E+00	4.56E+00	8.00E+00	7.40E+00	5.97E+00	6.16E+00	1.68E+01	7.94E+00	7.62E+00	6.98E+00	1.46E+01	1.12E+01	5.63E+00	3.90E+00	2.68E+00	1.47E+01	4.24E+00	8.13E+00
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	1.83E+01	2.66E+01	7.04E+00	1.80E+01	8.71E+00	6.22E+00	7.85E+00	8.31E+00	1.59E+01	9.35E+00	9.96E+00	8.39E+00	1.51E+01	1.36E+01	5.24E+00	4.34E+00	2.19E+00	3.35E+01	4.77E+00	1.10E+01
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	3.91E+00	4.24E+00	5.80E+00	3.22E+00	6.87E+00	6.39E+00	6.37E+00	9.54E+00	1.54E+01	5.93E+00	7.80E+00	7.72E+00	1.54E+01	1.11E+01	4.65E+00	4.04E+00	2.79E+00	1.52E+01	3.82E+00	1.12E+01
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	8.33E+00	1.05E+01	8.96E+00	6.05E+00	9.76E+00	9.24E+00	1.43E+01	9.61E+00	2.03E+01	1.71E+01	1.24E+01	9.52E+00	1.86E+01	1.83E+01	5.31E+00	9.46E+00	3.41E+00	1.69E+01	4.91E+00	1.26E+01
