Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	2.58E+00	3.00E+00	5.78E+00	2.44E+00	3.36E+00	3.69E+00	3.33E+00	2.10E+00	1.00E+01	3.29E+00	5.41E+00	3.30E+00	8.34E+00	4.92E+00	2.28E+00	1.51E+00	1.20E+00	8.29E+00	2.08E+00	2.44E+00
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	1.58E+01	2.04E+01	7.66E+00	1.04E+01	9.63E+00	7.08E+00	1.04E+01	1.64E+01	1.71E+01	9.97E+00	9.71E+00	1.05E+01	1.40E+01	1.64E+01	5.46E+00	6.48E+00	2.60E+00	2.03E+01	5.05E+00	1.74E+01
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	9.14E+01	1.18E+02	3.07E+00	7.00E+01	5.26E+00	1.04E+01	7.42E+00	5.87E+00	1.31E+01	1.01E+01	1.70E+01	6.64E+00	1.89E+01	2.12E+01	1.00E+01	7.18E+00	6.07E+00	1.66E+02	7.73E+00	1.89E+01
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	2.27E+01	2.91E+01	7.99E+00	2.26E+01	9.67E+00	7.04E+00	9.95E+00	1.17E+01	1.62E+01	1.07E+01	1.50E+01	9.36E+00	1.14E+01	1.31E+01	6.03E+00	4.97E+00	3.03E+00	3.35E+01	1.50E+01	1.17E+01
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	5.29E+01	7.61E+01	9.27E+00	6.17E+01	1.10E+01	7.01E+00	9.05E+00	8.17E+00	2.42E+01	9.12E+00	1.68E+01	1.11E+01	2.25E+01	2.39E+01	9.49E+00	6.45E+00	4.61E+00	1.02E+02	5.37E+00	1.78E+01
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	2.90E+00	3.20E+00	6.24E+00	2.80E+00	4.98E+00	5.77E+00	5.76E+00	3.95E+00	8.13E+00	8.32E+00	7.35E+00	6.10E+00	8.73E+00	7.12E+00	4.46E+00	4.33E+00	3.99E+00	8.42E+00	3.77E+00	5.53E+00
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	9.74E+01	8.85E+01	1.24E+01	9.10E+01	1.51E+01	1.05E+01	1.42E+01	1.07E+01	2.78E+01	1.38E+01	2.19E+01	1.47E+01	2.01E+01	2.94E+01	9.24E+00	8.09E+00	7.09E+00	1.40E+02	7.14E+00	2.64E+01
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	3.12E+02	1.85E+02	2.46E+01	1.98E+02	2.62E+01	3.77E+01	1.92E+01	4.56E+01	5.15E+01	4.79E+01	4.59E+01	3.75E+01	4.62E+01	4.36E+01	4.90E+01	1.97E+01	2.41E+01	3.39E+02	2.05E+01	7.11E+01
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	1.07E+01	1.53E+01	4.68E+00	9.93E+00	3.19E+00	4.08E+00	4.46E+00	3.56E+00	7.64E+00	4.90E+00	4.67E+00	3.38E+00	6.42E+00	6.39E+00	3.44E+00	3.03E+00	1.86E+00	1.91E+01	3.10E+00	4.43E+00
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	1.18E+01	1.48E+01	6.69E+00	1.00E+01	7.30E+00	7.35E+00	8.91E+00	1.18E+01	1.51E+01	1.11E+01	7.98E+00	9.13E+00	1.33E+01	1.40E+01	4.68E+00	6.38E+00	4.72E+00	2.38E+01	4.71E+00	1.20E+01
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	7.46E+00	1.04E+01	5.97E+00	8.79E+00	5.21E+00	8.80E+00	6.38E+00	5.59E+00	1.53E+01	8.46E+00	8.22E+00	7.19E+00	1.31E+01	8.29E+00	4.08E+00	5.12E+00	3.19E+00	1.67E+01	4.73E+00	5.62E+00
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	2.10E+01	2.98E+01	7.22E+00	2.10E+01	9.93E+00	7.18E+00	8.59E+00	6.13E+00	1.68E+01	1.19E+01	1.06E+01	1.02E+01	1.29E+01	1.51E+01	6.12E+00	5.82E+00	4.02E+00	3.55E+01	4.85E+00	1.03E+01
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	6.96E+00	8.87E+00	6.47E+00	4.75E+00	8.87E+00	7.23E+00	8.11E+00	6.00E+00	1.76E+01	8.82E+00	1.07E+01	7.98E+00	1.49E+01	1.63E+01	4.26E+00	4.35E+00	2.41E+00	1.29E+01	4.59E+00	1.02E+01
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	7.43E+00	7.75E+00	9.03E+00	5.62E+00	6.12E+00	1.45E+01	7.97E+00	7.89E+00	2.06E+01	9.39E+00	1.48E+01	7.18E+00	2.01E+01	1.47E+01	6.07E+00	5.30E+00	5.36E+00	1.64E+01	7.85E+00	8.09E+00
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	5.06E+01	6.62E+01	1.31E+01	6.00E+01	5.78E+00	2.04E+01	1.37E+01	1.43E+01	2.11E+01	2.21E+01	1.48E+01	9.13E+00	2.53E+01	2.30E+01	5.86E+00	9.14E+00	7.55E+00	8.58E+01	1.02E+01	2.07E+01
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	5.31E+00	7.14E+00	7.00E+00	5.15E+00	7.47E+00	7.04E+00	6.53E+00	9.93E+00	1.76E+01	5.57E+00	8.66E+00	8.29E+00	1.68E+01	1.13E+01	4.22E+00	3.71E+00	2.55E+00	1.79E+01	4.19E+00	1.06E+01
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	2.20E+00	2.45E+00	3.99E+00	2.12E+00	3.02E+00	3.05E+00	3.21E+00	3.61E+00	6.44E+00	3.36E+00	3.92E+00	3.97E+00	5.83E+00	4.26E+00	2.37E+00	2.02E+00	1.33E+00	6.20E+00	2.43E+00	3.92E+00
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	4.64E+00	5.39E+00	6.51E+00	3.86E+00	9.08E+00	7.36E+00	8.91E+00	1.18E+01	1.69E+01	9.97E+00	9.06E+00	8.19E+00	1.51E+01	1.54E+01	4.76E+00	5.22E+00	2.44E+00	1.44E+01	4.59E+00	1.61E+01
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	2.43E+01	2.87E+01	7.30E+00	2.35E+01	8.17E+00	8.40E+00	1.26E+01	1.69E+01	1.50E+01	1.05E+01	9.13E+00	5.71E+00	1.33E+01	1.24E+01	6.17E+00	1.02E+01	5.61E+00	4.01E+01	5.43E+00	1.68E+01
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	5.17E+01	4.87E+01	8.97E+00	3.55E+01	7.54E+00	7.74E+00	7.61E+00	5.90E+00	1.54E+01	9.61E+00	1.51E+01	8.61E+00	1.41E+01	1.31E+01	8.64E+00	5.32E+00	5.00E+00	7.04E+01	5.40E+00	1.26E+01
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	4.71E+00	5.63E+00	4.81E+00	3.85E+00	4.78E+00	4.35E+00	5.06E+00	5.82E+00	9.07E+00	5.07E+00	5.89E+00	5.82E+00	7.68E+00	6.66E+00	3.41E+00	4.25E+00	3.47E+00	6.67E+00	3.40E+00	6.73E+00
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	5.15E+00	7.11E+00	4.48E+00	4.35E+00	3.88E+00	3.97E+00	4.52E+00	3.55E+00	7.68E+00	4.21E+00	4.81E+00	4.32E+00	6.07E+00	6.51E+00	3.00E+00	4.05E+00	3.25E+00	6.15E+00	2.50E+00	4.91E+00
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	4.23E+00	5.26E+00	5.18E+00	3.46E+00	3.94E+00	4.18E+00	4.54E+00	3.85E+00	8.11E+00	4.40E+00	4.90E+00	4.56E+00	7.14E+00	6.93E+00	3.26E+00	8.56E+00	7.90E+00	6.16E+00	3.49E+00	5.03E+00
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	3.69E+01	5.68E+01	6.82E+00	3.31E+01	6.47E+00	6.17E+00	6.41E+00	8.81E+00	1.31E+01	7.53E+00	1.12E+01	7.37E+00	9.40E+00	1.29E+01	5.39E+00	4.53E+00	3.63E+00	6.35E+01	4.61E+00	1.27E+01
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	2.09E+01	2.45E+01	6.31E+00	1.14E+01	7.17E+00	4.94E+00	6.61E+00	1.30E+01	1.16E+01	1.04E+01	7.53E+00	8.82E+00	8.90E+00	1.09E+01	4.82E+00	4.23E+00	2.13E+00	3.02E+01	4.17E+00	1.28E+01
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	1.60E+01	2.12E+01	9.98E+00	1.32E+01	8.90E+00	1.37E+01	8.47E+00	1.24E+01	1.81E+01	1.18E+01	1.08E+01	1.01E+01	2.10E+01	1.68E+01	1.15E+01	9.70E+00	8.56E+00	2.32E+01	8.21E+00	1.62E+01
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	1.43E+01	1.57E+01	7.53E+00	7.61E+00	9.77E+00	7.74E+00	1.39E+01	1.42E+01	1.62E+01	1.77E+01	7.62E+00	9.77E+00	1.34E+01	1.91E+01	5.62E+00	6.21E+00	2.71E+00	1.89E+01	4.72E+00	1.74E+01
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	9.25E+00	7.12E+00	5.44E+00	6.37E+00	5.78E+00	4.96E+00	6.55E+00	7.54E+00	1.19E+01	6.35E+00	6.88E+00	7.54E+00	9.92E+00	7.45E+00	3.31E+00	6.09E+00	3.58E+00	1.33E+01	3.85E+00	7.77E+00
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	4.55E+00	6.77E+00	3.88E+00	5.34E+00	3.56E+00	3.15E+00	4.14E+00	3.59E+00	8.36E+00	3.86E+00	4.20E+00	3.96E+00	5.95E+00	6.54E+00	2.73E+00	3.20E+00	2.38E+00	8.07E+00	1.97E+00	5.01E+00
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	5.49E+01	6.03E+01	4.99E+00	2.71E+01	6.31E+00	6.21E+00	6.69E+00	1.17E+01	1.05E+01	8.70E+00	9.29E+00	7.18E+00	8.90E+00	1.13E+01	6.48E+00	6.07E+00	4.64E+00	7.55E+01	4.86E+00	1.35E+01
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	1.54E+01	1.87E+01	7.19E+00	1.32E+01	4.77E+00	8.75E+00	7.05E+00	6.64E+00	1.10E+01	7.44E+00	8.82E+00	6.23E+00	1.07E+01	8.55E+00	4.94E+00	7.30E+00	6.92E+00	2.28E+01	5.41E+00	9.31E+00
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	2.72E+01	3.01E+01	8.09E+00	4.96E+00	6.34E+00	6.61E+00	6.79E+00	6.79E+00	1.55E+01	9.01E+00	8.19E+00	8.57E+00	1.39E+01	1.06E+01	6.24E+00	4.42E+00	2.94E+00	3.39E+01	5.21E+00	7.40E+00
LP6007591_vs_LP6007590__pv	1.11E+02	8.43E+01	7.70E+00	7.91E+01	1.81E+01	1.14E+01	2.07E+01	1.40E+01	2.96E+01	2.86E+01	1.45E+01	1.92E+01	2.32E+01	3.22E+01	1.26E+01	1.53E+01	1.03E+01	1.48E+02	9.00E+00	2.24E+01
LP6007592_vs_LP6007590__pv	8.03E+00	1.02E+01	6.27E+00	6.11E+00	5.31E+00	5.15E+00	5.15E+00	7.59E+00	1.40E+01	5.50E+00	7.46E+00	7.28E+00	1.15E+01	8.54E+00	3.97E+00	3.48E+00	1.96E+00	1.54E+01	3.61E+00	8.04E+00
LP6007594_vs_LP6007593__pv	6.00E+00	5.99E+00	9.89E+00	5.40E+00	1.18E+01	9.45E+00	9.87E+00	1.12E+01	2.61E+01	1.66E+01	2.10E+01	1.14E+01	2.45E+01	2.06E+01	6.26E+00	5.49E+00	3.01E+00	2.05E+01	5.74E+00	1.45E+01
LP6007595_vs_LP6007593__pv	1.06E+01	1.55E+01	5.67E+00	9.75E+00	6.43E+00	4.67E+00	6.59E+00	7.07E+00	1.12E+01	8.74E+00	6.37E+00	6.83E+00	9.77E+00	1.18E+01	3.71E+00	3.01E+00	1.25E+00	1.92E+01	4.00E+00	8.71E+00
LP6007597_vs_LP6007596__pv	5.24E+01	1.12E+02	8.17E+00	9.25E+01	9.76E+00	9.74E+00	9.68E+00	1.56E+01	1.82E+01	1.93E+01	2.99E+01	1.20E+01	1.50E+01	3.13E+01	5.74E+00	6.58E+00	3.16E+00	8.16E+01	1.27E+01	1.96E+01
LP6007598_vs_LP6007596__pv	1.45E+01	3.04E+01	4.04E+00	2.30E+01	4.29E+00	3.61E+00	4.07E+00	6.02E+00	7.45E+00	7.12E+00	9.92E+00	4.87E+00	5.82E+00	8.82E+00	3.07E+00	2.63E+00	1.42E+00	2.60E+01	3.80E+00	6.62E+00
LP6007600_vs_LP6007599__pv	2.20E+00	2.90E+00	7.22E+00	1.92E+00	4.43E+00	5.94E+00	7.03E+00	5.44E+00	1.66E+01	8.06E+00	7.50E+00	6.31E+00	1.19E+01	7.72E+00	3.20E+00	3.82E+00	1.58E+00	1.21E+01	3.01E+00	5.87E+00
LP6007602_vs_LP6007601__pv	1.72E+02	1.52E+02	1.09E+01	9.35E+01	6.39E+00	1.08E+01	8.13E+00	6.00E+00	1.38E+01	8.73E+00	2.25E+01	1.05E+01	1.59E+01	2.54E+01	1.47E+01	6.01E+00	6.25E+00	2.21E+02	7.17E+00	1.94E+01
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	8.21E+01	1.04E+02	1.02E+01	4.94E+01	6.66E+00	8.09E+00	7.34E+00	8.04E+00	1.72E+01	9.75E+00	1.13E+01	1.05E+01	1.83E+01	2.02E+01	5.00E+00	5.08E+00	2.67E+00	1.32E+02	6.48E+00	1.43E+01
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	1.30E+02	1.80E+02	1.28E+01	8.53E+01	7.51E+00	9.57E+00	7.69E+00	9.14E+00	2.26E+01	1.28E+01	2.19E+01	1.30E+01	2.34E+01	3.54E+01	1.89E+00	6.02E+00	3.45E+00	2.11E+02	8.77E+00	1.64E+01
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	6.84E+01	9.99E+01	9.74E+00	8.20E+01	8.94E+00	8.93E+00	1.01E+01	1.66E+01	1.76E+01	1.41E+01	1.98E+01	1.04E+01	1.20E+01	2.53E+01	6.12E+00	6.29E+00	3.24E+00	1.28E+02	5.96E+00	2.49E+01
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	1.99E+01	3.18E+01	8.89E+00	2.39E+01	1.12E+01	9.34E+00	1.38E+01	1.19E+01	2.17E+01	1.30E+01	1.06E+01	1.04E+01	1.59E+01	1.52E+01	7.37E+00	1.56E+01	1.35E+01	3.73E+01	6.33E+00	1.42E+01
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	1.07E+02	1.42E+02	1.11E+01	7.02E+01	6.72E+00	8.51E+00	6.93E+00	8.60E+00	1.90E+01	1.20E+01	1.51E+01	1.15E+01	2.30E+01	2.67E+01	2.39E+00	5.57E+00	3.22E+00	1.77E+02	7.69E+00	1.72E+01
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	7.94E+01	1.03E+02	9.04E+00	4.97E+01	7.31E+00	7.69E+00	7.64E+00	6.83E+00	1.75E+01	1.01E+01	1.26E+01	8.91E+00	1.49E+01	2.06E+01	4.92E+00	4.80E+00	2.57E+00	1.29E+02	6.24E+00	1.39E+01
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	7.08E+01	1.01E+02	1.00E+01	8.11E+01	9.28E+00	9.42E+00	1.05E+01	1.73E+01	1.77E+01	1.51E+01	2.00E+01	1.13E+01	1.28E+01	2.53E+01	6.03E+00	5.87E+00	3.42E+00	1.30E+02	6.87E+00	2.50E+01
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	1.15E+01	1.77E+01	4.93E+00	1.28E+01	5.01E+00	4.49E+00	5.02E+00	5.35E+00	9.81E+00	5.17E+00	5.92E+00	4.47E+00	8.70E+00	7.41E+00	3.36E+00	3.86E+00	2.90E+00	2.20E+01	3.06E+00	6.77E+00
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	1.65E+02	2.03E+02	1.41E+01	7.68E+01	7.68E+00	1.04E+01	9.09E+00	1.00E+01	2.59E+01	1.38E+01	1.97E+01	1.53E+01	2.70E+01	3.59E+01	7.11E+00	7.28E+00	4.02E+00	2.39E+02	8.89E+00	1.85E+01
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	6.62E+01	9.74E+01	9.80E+00	7.85E+01	8.60E+00	8.12E+00	9.60E+00	1.71E+01	1.61E+01	1.40E+01	1.94E+01	1.03E+01	1.12E+01	2.42E+01	6.34E+00	6.03E+00	3.04E+00	1.25E+02	6.34E+00	2.49E+01
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	6.94E+01	9.97E+01	9.15E+00	8.23E+01	8.29E+00	8.83E+00	9.60E+00	1.70E+01	1.59E+01	1.41E+01	1.96E+01	1.04E+01	1.15E+01	2.40E+01	5.83E+00	6.04E+00	3.27E+00	1.28E+02	6.10E+00	2.61E+01
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	1.54E-01	1.49E-01	5.17E-01	2.78E-02	2.94E-01	2.64E-01	3.72E-01	2.07E-01	3.13E-01	5.23E-01	1.52E-01	1.79E-01	5.67E-01	4.53E-01	9.51E-02	3.21E-01	2.20E-01	2.45E-01	1.55E-01	9.56E-02
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	1.16E+02	1.47E+02	1.18E+01	7.10E+01	7.61E+00	9.10E+00	7.64E+00	8.87E+00	2.18E+01	1.34E+01	1.53E+01	1.22E+01	2.22E+01	2.72E+01	5.78E+00	5.94E+00	3.29E+00	1.89E+02	7.08E+00	1.72E+01
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	6.95E+01	9.94E+01	9.71E+00	8.16E+01	9.13E+00	8.69E+00	1.05E+01	1.64E+01	1.66E+01	1.67E+01	2.04E+01	1.11E+01	1.27E+01	2.33E+01	6.57E+00	6.16E+00	3.26E+00	1.28E+02	8.34E+00	2.44E+01
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	2.04E+01	3.27E+01	8.15E+00	2.30E+01	9.39E+00	8.38E+00	9.30E+00	1.08E+01	1.95E+01	9.01E+00	1.01E+01	9.39E+00	1.83E+01	1.52E+01	6.10E+00	8.39E+00	7.11E+00	4.00E+01	5.22E+00	1.24E+01
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	1.47E+02	1.83E+02	1.53E+01	7.60E+01	7.46E+00	1.09E+01	8.98E+00	9.83E+00	2.64E+01	1.33E+01	2.23E+01	1.64E+01	2.86E+01	3.48E+01	5.82E+00	7.26E+00	3.93E+00	2.19E+02	9.31E+00	1.71E+01
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	6.99E+01	9.95E+01	1.01E+01	8.51E+01	1.07E+01	9.15E+00	1.04E+01	1.85E+01	2.04E+01	1.59E+01	2.14E+01	1.18E+01	1.45E+01	2.49E+01	6.92E+00	6.92E+00	3.58E+00	1.31E+02	1.27E+01	2.56E+01
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	1.96E+01	3.10E+01	7.56E+00	2.35E+01	8.54E+00	8.19E+00	8.71E+00	9.74E+00	1.86E+01	8.70E+00	1.03E+01	8.50E+00	1.77E+01	1.36E+01	6.24E+00	7.16E+00	5.07E+00	3.89E+01	4.94E+00	1.20E+01
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	8.62E+01	1.08E+02	1.10E+01	5.63E+01	9.02E+00	9.33E+00	8.52E+00	9.33E+00	1.85E+01	1.53E+01	1.38E+01	1.13E+01	1.85E+01	2.42E+01	4.22E+00	5.38E+00	3.17E+00	1.41E+02	8.29E+00	1.46E+01
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	7.23E+01	1.02E+02	1.00E+01	8.78E+01	8.74E+00	8.98E+00	9.71E+00	1.67E+01	1.63E+01	1.51E+01	2.07E+01	1.05E+01	1.20E+01	2.53E+01	6.32E+00	6.42E+00	3.33E+00	1.34E+02	7.39E+00	2.60E+01
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	1.50E+01	2.39E+01	5.96E+00	1.72E+01	6.66E+00	5.70E+00	8.07E+00	6.64E+00	1.33E+01	6.46E+00	7.67E+00	6.03E+00	1.07E+01	1.14E+01	4.52E+00	6.69E+00	5.67E+00	2.75E+01	4.08E+00	8.10E+00
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	9.50E+01	1.23E+02	1.12E+01	5.53E+01	7.04E+00	9.04E+00	8.04E+00	7.81E+00	1.87E+01	1.15E+01	1.36E+01	1.13E+01	1.94E+01	2.50E+01	5.52E+00	5.67E+00	2.94E+00	1.51E+02	6.68E+00	1.42E+01
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	7.81E+01	1.07E+02	1.15E+01	9.32E+01	1.05E+01	9.56E+00	1.06E+01	1.81E+01	1.83E+01	1.72E+01	2.16E+01	1.30E+01	1.38E+01	2.68E+01	7.16E+00	6.35E+00	4.00E+00	1.41E+02	1.21E+01	2.62E+01
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	2.04E+01	3.16E+01	7.51E+00	2.21E+01	9.35E+00	9.50E+00	1.02E+01	1.16E+01	1.92E+01	9.57E+00	1.01E+01	9.11E+00	1.73E+01	1.38E+01	5.89E+00	9.29E+00	8.16E+00	3.76E+01	5.53E+00	1.30E+01
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	1.19E+02	1.43E+02	1.39E+01	6.99E+01	7.70E+00	9.12E+00	8.63E+00	9.09E+00	2.24E+01	1.37E+01	1.96E+01	1.57E+01	2.48E+01	2.96E+01	5.77E+00	5.93E+00	3.62E+00	1.83E+02	8.41E+00	1.53E+01
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	6.87E+01	9.76E+01	1.10E+01	7.96E+01	1.01E+01	9.02E+00	9.93E+00	1.75E+01	1.82E+01	1.72E+01	1.91E+01	1.29E+01	1.25E+01	2.42E+01	6.37E+00	5.89E+00	3.64E+00	1.28E+02	1.00E+01	2.47E+01
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	2.52E+01	4.01E+01	9.14E+00	2.59E+01	1.06E+01	8.65E+00	1.32E+01	1.19E+01	1.97E+01	1.30E+01	1.04E+01	9.80E+00	1.37E+01	1.49E+01	6.86E+00	1.52E+01	1.34E+01	4.34E+01	6.49E+00	1.41E+01
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	1.15E+01	1.77E+01	1.18E+01	1.18E+01	6.71E+00	1.27E+01	7.93E+00	1.48E+01	1.87E+01	1.12E+01	1.20E+01	9.66E+00	1.86E+01	1.62E+01	6.83E+00	1.45E+01	1.19E+01	2.12E+01	6.82E+00	1.58E+01
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	1.46E+01	1.95E+01	1.10E+01	1.11E+01	1.31E+01	1.11E+01	2.07E+01	2.42E+01	2.80E+01	2.67E+01	1.37E+01	1.39E+01	1.88E+01	2.59E+01	7.26E+00	1.45E+01	1.00E+01	2.33E+01	6.20E+00	2.88E+01
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	6.10E+00	7.35E+00	5.47E+00	4.39E+00	5.39E+00	4.92E+00	7.20E+00	1.16E+01	1.02E+01	6.48E+00	7.00E+00	5.47E+00	7.80E+00	8.89E+00	3.40E+00	5.08E+00	2.89E+00	8.58E+00	3.51E+00	1.23E+01
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	4.73E+01	7.20E+01	7.40E+00	4.54E+01	1.00E+01	7.62E+00	7.49E+00	5.94E+00	2.13E+01	8.86E+00	1.67E+01	1.04E+01	2.04E+01	1.91E+01	7.62E+00	5.30E+00	3.81E+00	8.95E+01	5.18E+00	1.41E+01
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	1.65E+01	1.83E+01	5.59E+00	9.33E+00	5.45E+00	4.74E+00	6.39E+00	4.57E+00	1.24E+01	8.84E+00	6.08E+00	7.09E+00	1.08E+01	9.74E+00	4.25E+00	3.97E+00	2.59E+00	2.61E+01	3.46E+00	5.44E+00
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	7.36E+00	8.83E+00	2.03E+00	5.29E+00	9.66E+00	1.13E+01	9.15E+00	2.71E+01	1.56E+01	9.24E+00	1.37E+01	5.81E+00	1.41E+01	1.56E+01	5.29E+00	5.91E+00	3.10E+00	1.73E+01	6.41E+00	3.11E+01
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	2.93E+00	3.13E+00	7.08E+00	2.90E+00	6.84E+00	5.30E+00	6.51E+00	9.67E+00	1.35E+01	6.29E+00	6.82E+00	7.69E+00	1.20E+01	9.83E+00	3.21E+00	4.64E+00	3.59E+00	1.04E+01	3.57E+00	9.25E+00
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	2.37E+00	2.73E+00	4.30E+00	2.52E+00	3.24E+00	3.30E+00	4.55E+00	4.66E+00	7.75E+00	4.67E+00	4.14E+00	3.01E+00	7.24E+00	5.33E+00	2.51E+00	2.52E+00	1.29E+00	6.84E+00	2.32E+00	4.91E+00
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	3.36E+01	3.26E+01	9.49E+00	2.27E+01	1.09E+01	1.20E+01	1.14E+01	1.50E+01	2.18E+01	1.04E+01	1.61E+01	1.07E+01	1.89E+01	2.16E+01	5.80E+00	7.06E+00	4.82E+00	4.66E+01	6.09E+00	1.65E+01
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	1.92E+01	2.49E+01	8.62E+00	1.25E+01	9.70E+00	8.39E+00	9.19E+00	1.34E+01	2.32E+01	8.96E+00	1.42E+01	8.84E+00	2.18E+01	1.74E+01	7.88E+00	5.23E+00	3.02E+00	3.06E+01	5.39E+00	1.51E+01
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	4.00E-03	3.46E-02	3.57E-01	8.02E-02	4.80E-01	4.93E-01	2.11E-01	3.94E-01	5.34E-01	3.43E-01	2.05E-01	4.09E-01	4.95E-01	4.69E-01	2.52E-01	2.01E-01	1.33E-01	2.21E-01	2.91E-01	2.48E-01
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	1.16E+01	1.97E+01	6.45E+00	1.33E+01	4.08E+00	8.35E+00	7.72E+00	7.76E+00	1.05E+01	9.92E+00	7.24E+00	5.94E+00	1.11E+01	1.04E+01	4.15E+00	4.95E+00	3.26E+00	2.18E+01	5.13E+00	8.84E+00
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	2.10E+01	3.10E+01	7.69E+00	2.53E+01	8.09E+00	7.00E+00	6.19E+00	7.29E+00	1.71E+01	1.40E+01	1.50E+01	8.97E+00	1.31E+01	1.50E+01	4.80E+00	3.91E+00	2.67E+00	3.69E+01	4.56E+00	1.21E+01
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	4.89E+00	5.87E+00	7.67E+00	4.48E+00	6.06E+00	1.03E+01	1.20E+01	1.24E+01	1.28E+01	1.60E+01	9.90E+00	6.26E+00	1.33E+01	1.25E+01	4.34E+00	8.57E+00	4.21E+00	1.18E+01	5.28E+00	1.30E+01
