Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	7647	6203	932	3326	5897	1358	3132	1803	2820	5055	923	1223	1222
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	3256	927	1172	1021	1781	1802	1261	573	2707	1009	634	820	797
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	177	266	392	268	245	181	63	55	221	456	0	152	68
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	315	156	1238	777	1208	497	166	355	1779	2212	1372	550	0
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	1409	651	177	1189	1276	1141	713	1005	2720	2568	666	499	199
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	123	196	692	1810	1522	610	106	429	1665	391	1329	796	905
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	73	339	774	1743	282	189	205	535	559	582	192	367	666
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	6513	6876	1095	1401	1401	693	1733	898	2274	1606	1898	648	509
LP6005334-DNA_A02_vs_LP6005333-DNA_A02__pv	1255	1942	255	1297	2363	909	597	870	2560	2392	1456	618	309
LP6005334-DNA_A03_vs_LP6005333-DNA_A03__pv	5146	1830	599	1678	2530	1169	1171	863	1920	2819	1379	895	471
LP6005334-DNA_A04_vs_LP6005333-DNA_A04__pv	2080	1970	614	1542	1587	530	514	440	1155	1180	906	1674	727
LP6005334-DNA_B01_vs_SM-4JPUU__pv	605	578	413	494	1716	2253	182	305	1860	2277	434	606	178
LP6005334-DNA_B02_vs_LP6005333-DNA_B02__pv	2600	3364	910	1437	3788	1173	1743	525	2671	3733	947	681	580
LP6005334-DNA_C01_vs_LP6005333-DNA_C01__pv	205	590	781	5362	437	476	319	1005	1670	846	450	1717	2002
LP6005334-DNA_C02_vs_LP6005333-DNA_C02__pv	426	272	468	2266	641	45	484	550	1192	620	122	792	729
LP6005334-DNA_C03_vs_LP6005333-DNA_C03__pv	1088	1198	913	1423	3846	719	624	1096	2904	1127	835	983	437
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	0	97	149	68	48	0	7	65	7	53	184	0
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	4351	11447	569	3344	731	324	2053	697	839	1203	580	2886	804
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	223	127	215	2255	749	258	129	458	0	2213	530	2603	322
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	1015	917	878	2864	2325	843	77	1370	2686	2013	1656	1263	664
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	870	1470	256	95	430	200	448	0	673	201	444	330	216
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	1495	1006	978	5394	724	439	948	1116	1836	761	3283	1892	1738
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2125	1841	858	3504	2553	1637	634	1474	2188	5796	1235	1464	1167
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	5953	9585	598	2742	376	1564	7533	2562	3184	2687	736	329	1254
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	215	198	357	396	271	164	132	115	445	281	240	14	67
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	4076	3571	0	0	2559	3678	2281	603	5124	3621	0	6822	394
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	7617	6169	859	2801	1987	1090	2956	818	3621	2804	1303	1434	1018
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	2758	1065	457	1257	922	743	976	248	1866	1332	155	705	171
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	6036	2561	577	1589	1657	3719	3379	927	4166	3028	407	1718	573
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	16084	10767	851	2506	904	3289	7089	696	2841	3483	1220	288	613
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	6800	18691	0	1354	2275	988	3851	1322	3075	2792	2401	712	771
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	6026	2889	619	1176	1650	685	1263	617	1666	2300	422	511	315
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	33	67	441	0	792	1278	214	340	1554	823	0	1447	889
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1066	575	410	1956	525	817	112	472	1312	1235	935	461	952
