Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	3828	4459	182	1174	1236	1537	2497	817	1892	1548	898	422	4589
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	10534	8880	88	390	1813	1168	6043	676	3183	1649	1490	1167	234
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	121	174	579	2355	661	630	179	644	1021	229	1084	914	343
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	14338	18858	404	2854	2216	1335	9352	2018	4832	2595	1466	2232	695
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	9968	59429	2452	0	2393	1612	11056	1881	0	8197	19080	1408	2751
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	2157	1364	341	720	606	723	923	142	958	645	520	297	323
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	1753	1345	510	1193	1980	1592	897	393	2029	2005	453	1342	837
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	1443	864	383	1707	1137	1247	951	321	1963	571	245	657	728
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	5003	3901	524	1646	3321	1354	2252	765	2709	1359	1299	1197	441
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1144	467	798	1885	1724	748	274	354	2611	1466	379	79	526
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	855	1049	1112	4299	1571	602	348	830	2325	980	602	1024	1946
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	9934	9667	1100	6605	333	2393	6098	1094	1346	1944	203	1156	1615
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	875	413	495	1749	1426	608	244	742	1714	1954	412	279	536
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	101	160	449	485	792	353	121	147	592	680	243	123	325
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	436	566	545	1805	1901	983	340	637	2721	2979	612	234	492
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	4501	4509	779	0	1566	2570	2535	140	3828	2900	352	1669	568
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	6165	10508	1385	2839	1781	983	2846	562	2017	893	3134	1203	545
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	772	288	406	844	1111	744	361	472	1513	1191	629	973	352
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1180	149	357	646	684	771	431	335	1549	675	263	883	149
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	741	144	363	1158	537	344	224	459	990	603	440	2511	378
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	8987	4440	428	1018	1161	951	2993	893	2235	2021	826	923	237
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	3137	3490	602	986	2437	1031	750	529	1370	2522	993	275	423
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	3550	1949	743	5331	2438	413	1728	1762	1515	2421	4388	2974	1527
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	1684	2234	1020	1672	2137	1723	621	608	2201	3256	1089	393	474
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	625	1668	552	0	2039	1429	365	59	2000	1332	0	1030	569
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	931	630	245	30	456	524	572	280	1240	738	180	643	0
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	8392	9008	429	555	1899	1357	1539	689	1961	2180	1389	1628	521
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	2684	3105	620	2975	947	1157	1159	630	1837	1364	918	2263	597
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3259	3021	1131	1471	1954	1071	0	353	1575	1382	1334	514	1061
LP6007591_vs_LP6007590__pv	7030	21865	0	195	4244	4050	6557	405	5716	2115	1846	2990	1298
LP6007592_vs_LP6007590__pv	1450	1044	786	654	2099	611	399	171	1214	1399	586	428	512
LP6007594_vs_LP6007593__pv	366	565	1139	1730	3117	968	449	1488	2814	2593	798	115	1173
LP6007595_vs_LP6007593__pv	2215	1571	459	860	1303	567	875	671	1188	1677	490	0	442
LP6007597_vs_LP6007596__pv	13245	587	342	1248	1899	1750	10091	819	1195	2349	531	249	3632
LP6007598_vs_LP6007596__pv	4989	10	235	254	730	443	2229	341	978	1155	227	133	563
LP6007600_vs_LP6007599__pv	143	64	1012	972	932	926	0	100	701	571	108	0	438
LP6007602_vs_LP6007601__pv	15382	33935	1067	1609	550	149	3937	639	506	0	4958	1117	1114
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	15051	12131	191	1685	1164	570	4412	1110	2388	1626	390	65	1362
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	29741	13917	0	1448	1039	396	6771	1201	1853	1734	0	244	1774
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	15546	13801	704	1761	1710	1573	7682	769	2045	3718	106	490	375
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	5412	3279	335	0	2114	2745	2499	838	5765	1971	0	4489	295
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	21143	15503	0	1657	1128	448	6247	982	2223	1590	0	150	1420
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	15104	11680	122	1533	945	441	4245	972	2330	1497	289	114	1208
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	15766	13993	711	2039	1832	1596	7578	975	1951	3755	0	533	853
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	2708	1647	409	385	856	709	1188	399	1792	1105	149	719	161
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	29506	20506	290	1827	947	408	4802	1185	2737	1623	151	262	2037
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	15254	13471	810	1721	1577	1513	7346	656	1739	3647	107	443	697
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	15445	13995	680	1747	1701	1572	7762	793	1878	3653	57	486	708
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	2	5	29	17	17	28	0	15	9	6	0	7	0
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	21569	17050	0	1846	1109	499	6378	964	2483	1737	299	53	1313
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	15479	13793	769	2025	1671	1599	7971	776	1986	3717	273	499	1566
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	5118	3320	881	869	2347	1611	2154	826	3461	2104	474	2429	670
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	27571	19327	512	1798	925	367	5278	1276	2256	1661	0	353	2535
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	15102	13837	642	1744	1541	1887	8262	735	1855	3670	75	522	3563
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	4952	3206	598	634	1885	1449	2180	824	3615	2005	294	1681	615
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	15841	13713	0	1974	1040	420	5128	1304	2362	1866	27	143	2352
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	15778	14548	554	1931	1667	1628	8560	804	2157	3715	135	471	1409
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	3713	2334	445	0	1043	1283	1601	318	2748	1301	136	1804	255
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	18198	13225	90	1876	1169	555	4621	1195	2560	1630	341	84	1328
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	16765	15648	682	2120	1591	1646	8900	1103	1982	3832	22	811	3081
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	5215	3129	564	758	2007	1754	2177	823	4073	2300	331	2745	785
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	21715	18147	261	1962	1017	409	5899	1097	2210	1756	0	222	2096
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	15402	13733	720	2122	1589	1521	7394	819	1736	3706	71	598	2494
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	6878	3309	426	0	2128	2802	2629	861	5450	1944	0	4520	392
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	2622	1540	1513	5015	728	250	1327	2040	750	2089	2330	4267	1253
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	2915	2062	855	3484	2755	3480	1052	1822	2658	5438	1434	3063	408
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	988	575	673	536	1690	1321	378	362	1640	2270	269	730	537
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	11070	6519	159	966	1562	829	3561	377	3042	1151	919	894	246
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2150	2440	640	831	1523	942	404	197	1089	762	558	617	376
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	797	768	261	1926	2142	1096	384	984	2042	4826	460	475	1136
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	138	323	979	1174	2072	719	195	354	1507	1761	135	1027	466
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	158	189	566	587	640	610	175	117	453	901	249	54	209
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	4098	6769	727	3087	3847	1819	1685	1268	3286	3129	436	1434	945
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	4114	2190	1017	1702	2826	1106	970	395	2213	2770	1819	152	950
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	0	9	15	86	0	1	0	26	22	3	5	14
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	3037	1212	332	2292	654	1380	1086	666	1126	1503	578	513	857
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	4548	3543	590	1323	1625	281	2759	1021	2257	1685	489	445	612
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	593	398	797	2942	1100	2524	339	553	1770	2380	593	1046	772
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	6411	1065	6884	0	6945	0	2315	26627	11208	2955	1830	0	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	8598	3158	676	2276	1674	2431	2632	757	2148	5268	501	417	748
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	5888	5562	6298	0	11114	2315	4047	49425	6605	1856	0	600	1255
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	2695	2217	766	1725	1585	948	1338	640	1710	2461	448	332	564
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	1693	1591	266	575	817	727	2045	0	882	327	151	202	152
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	9022	7991	1574	4033	3571	1922	2483	954	3394	1964	1685	977	1329
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	3865	3821	273	1431	1193	709	2354	559	1878	1180	1884	560	614
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	1479	777	859	3064	1277	1240	347	1055	2100	1653	969	913	726
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	6262	1205	1514	5649	136	291	2810	1465	4002	2816	7389	1784	3117
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	3850	3426	736	1211	2915	1130	1215	1156	3985	1377	977	341	675
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	550	1402	3776	0	8126	1854	305	25068	5017	2472	440	369	1454
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	10017	18742	3927	669	10697	3810	4332	22445	1453	1178	44	178	0
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	149	1	635	725	1103	1068	25	0	1750	1247	0	1384	462
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	2041	1500	615	1285	1269	1189	980	644	1876	1110	465	201	645
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	5878	25898	1276	3630	977	313	3168	1857	1375	1503	4795	1742	770
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	3628	5541	365	1308	662	1870	5079	587	1953	634	437	178	660
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	3682	2779	650	584	3514	1412	1626	603	2553	3713	518	1491	742
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	5537	24950	1158	3398	1069	332	2860	1454	1055	1235	5123	1615	712
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	4244	3808	503	1302	2345	1272	2539	801	3100	1789	904	675	449
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	2047	4435	1728	1970	1013	759	397	521	1713	637	3086	779	1151
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	5811	25808	1470	3809	1084	264	3290	2060	1947	1439	5681	1704	737
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	4373	3015	1076	2369	3073	1020	1413	1097	3717	3665	1664	472	907
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	5117	25210	459	3302	1149	529	3029	1512	1717	1902	3616	1662	897
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	2704	2009	1679	2951	1592	1310	1232	715	2334	1201	1814	9	858
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	1408	1343	548	74	1497	781	354	270	1733	2583	2057	4	11007
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	5675	25108	1062	2941	1102	542	3010	1506	1407	1403	4211	1466	835
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	4348	2120	963	1992	2533	1729	836	429	2511	1944	795	238	336
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	1522	668	1237	9115	1716	306	994	2084	1984	2194	2011	2501	2223
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	5619	24954	1025	2623	1241	492	3043	1420	1375	1232	4280	1508	793
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	934	2644	711	1999	548	617	1079	1072	2061	631	742	3461	289
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	315	81	303	481	1023	337	143	218	736	945	123	229	238
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	5823	25191	1097	3044	979	556	3137	2016	1838	1441	5094	1489	777
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	5661	24984	1028	3252	1080	322	2972	1530	1436	1245	4137	1576	794
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	5055	7110	766	2848	1222	928	2386	1091	1382	1840	1577	417	2184
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	4887	6239	765	2280	904	799	2059	920	1573	1623	1145	370	1945
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	3388	3703	791	2095	722	278	1972	1124	0	4373	1007	4218	2441
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	5291	7143	1058	2697	1242	980	1956	1020	1215	1959	1465	432	2836
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	4205	4804	542	1495	681	623	1672	819	1058	1083	1313	305	1119
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	5833	7635	871	2271	1288	1140	5493	1344	2285	850	1216	316	1175
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	4845	5714	716	2578	1186	867	2047	902	1513	1676	1443	288	1087
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	3859	11122	1172	2587	1065	696	2192	1480	1145	1490	1632	515	2326
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	5846	7598	841	2383	1326	1202	5424	1345	2206	763	1231	287	731
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	4865	4945	954	2359	1327	1121	1732	902	1323	1749	1641	262	1091
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	4620	7000	745	2495	1052	781	2150	1325	1383	1555	1546	365	1744
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	6165	4354	267	774	935	564	2794	402	1050	1089	498	248	116
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	3948	10792	1104	2839	1030	688	2371	1884	974	1607	1788	607	1955
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	5271	6861	716	2649	1209	970	2169	1261	1506	1773	1286	431	2492
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	5146	7310	860	2715	1188	1036	2386	1410	1315	1684	1725	421	2208
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	5347	4938	868	2499	1387	1162	2054	886	1275	2083	1508	283	738
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	5239	6780	832	2885	1204	1017	2465	1322	1664	1938	1448	463	2611
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	3431	2659	115	136	192	153	1622	141	388	243	235	27	0
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	5251	5991	692	2534	1052	932	2260	1267	1615	1758	1333	388	1895
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	3392	3674	819	2268	801	221	1947	1162	0	4478	946	4260	2551
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	7620	1762	762	1533	4769	1689	1537	614	2301	3544	1195	836	563
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	53134	12216	2371	245	1079	1248	0	475	2522	4288	5828	207	1521
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	3716	3265	380	485	683	351	1304	263	567	415	374	211	152
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	3343	5055	924	562	2005	2809	2238	33	2713	1570	406	1186	109
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	3236	915	494	1539	1911	3287	1280	524	1513	3018	450	0	427
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	2909	2558	755	594	2047	482	1001	189	1586	1645	591	4	441
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	3160	2398	596	822	1875	1295	1188	848	1845	3101	699	938	91
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	15093	20364	1295	2340	2702	1907	4884	1317	1897	2957	2369	118	1221
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	1428	755	798	2903	1294	1173	351	1052	2079	1629	935	921	691
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	1331	2847	217	8449	1078	0	604	2339	0	2259	3769	9661	1003
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	9678	31423	62	3408	655	597	5051	1771	537	0	8170	6470	1051
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	3018	3165	1069	1870	2103	802	1285	925	1855	1729	4425	1193	704
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	5158	5455	855	2959	1765	1831	3289	916	88	1335	1524	1488	760
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	2765	2027	821	2904	550	1012	1662	763	1412	587	532	703	921
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	13782	20834	734	1847	728	1695	7023	728	2133	1874	2109	842	1202
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	786	470	745	771	1968	2291	205	465	1971	1165	234	590	504
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	7364	7419	61	760	1593	1169	4010	772	2595	2309	1223	816	566
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	666	428	977	3464	691	565	671	851	1903	894	1252	503	1038
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	1800	759	263	1095	1328	2008	521	716	2052	5058	312	699	936
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	3944	5548	536	3282	3448	1233	4681	865	2287	3096	178	119	1003
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	2467	3167	555	2566	3196	945	2179	688	1950	2856	36	155	723
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	3681	5130	535	3163	3247	1155	4279	884	2042	3055	166	129	1001
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	1601	1775	220	837	826	296	1754	144	750	1039	132	0	122
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	7359	6329	555	3866	3458	1231	7149	1063	2422	3203	203	94	1142
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	13622	7606	1053	3735	3135	767	11516	1281	2290	3123	0	206	1461
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	6085	7012	340	3636	3278	1175	6983	962	2388	3112	125	40	1333
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	6009	5911	539	3643	3296	1159	6445	1035	2276	3139	41	106	1378
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	5818	5617	502	3437	3259	1098	6248	914	2347	3052	126	90	1105
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	5874	5682	418	3523	3112	1072	6246	984	2408	3018	116	77	1138
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	138	248	47	83	107	1	155	0	153	155	0	11	78
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	6920	6525	559	4020	3354	1306	7046	1040	2387	3161	155	62	1370
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	4607	4932	437	3271	3330	1059	5076	906	2234	3037	118	156	852
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	5995	5829	545	3543	3269	1134	6352	976	2405	3114	76	61	1199
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	5209	4958	565	3183	2692	1006	5560	701	2098	2715	67	59	951
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	7899	6880	555	3712	3197	1051	7657	978	2373	3041	85	83	1377
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	2473	1833	93627	34568	16918	28341	2346	3149	5945	3126	6119	2416	2286
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	12506	17918	1916	1125	1417	1129	6457	238	1420	313	0	2363	43
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	135	34	182	1808	195	0	78	254	0	750	750	1489	65
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	7138	10595	200	4162	1017	1153	4580	1490	2391	2587	1853	2154	741
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	2465	2464	685	1396	3126	1309	2263	1272	2400	3400	604	467	3818
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	55	3513	45	190	103	84	241	0	157	24	221	102	14
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	5169	4996	17577	8374	4253	6141	864	1195	3857	2903	2694	1730	1179
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	1155	679	495	433	1013	733	665	898	1971	1253	422	574	216
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	3280	2926	367	953	1883	1243	1564	782	1373	1406	1530	138	2375
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	17	335	40446	14388	7030	11458	617	879	2779	1407	2729	1038	7
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	1077	1081	629	2762	2410	635	251	784	2660	2263	645	1109	861
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	4502	3044	92	1037	356	867	2655	690	1626	1195	0	2928	480
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	4693	6332	552	583	1436	1138	1615	2991	904	2685	3799	1711	18415
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	2114	1375	2194	1109	1613	1730	823	254	1545	1317	304	164	308
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	139	209	31706	12484	5193	9911	836	854	2216	1963	3025	1111	29
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	1861	943	1014	1337	1990	2326	1039	474	1261	1628	682	274	429
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	387	508	4669	2147	1722	1857	454	1728	1954	3690	427	309	274
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	7780	5109	1158	2978	606	839	3688	764	1554	1027	658	1101	970
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	4132	6531	11591	5403	3345	4717	4858	581	2534	1446	1074	645	64
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	4140	2016	812	1280	1078	1295	2013	711	2951	894	637	1329	461
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	29	602	709	1074	383	0	279	1067	795	319	339	377
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	19577	14644	411	1620	1820	1289	9080	1102	2832	1740	1393	1160	1149
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	3	5	109	40	75	28	0	0	76	48	42	84	48
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	1	45	9	3	0	0	6	17	0	14	0	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	16	17	515	745	1199	429	2	551	1261	1317	362	376	359
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	4753	4963	121	91	2788	3724	1723	1442	2866	2113	977	733	2793
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	0	32	592	611	1207	389	14	371	1290	703	392	274	267
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	25	577	558	1235	407	0	380	1242	707	354	280	279
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	0	20	567	670	1206	402	24	396	1200	649	460	317	273
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	0	42	539	548	1056	343	14	321	1145	512	334	327	266
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	4619	4882	149	136	2738	3668	1648	1471	2602	2126	929	625	2670
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	15082	9608	522	65	1378	970	4037	353	1795	1194	434	767	324
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	170	599	1477	3072	1959	142	933	1433	2764	5108	858	369	1331
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1387	650	839	1571	2946	1113	203	426	2462	3277	534	464	553
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	2991	3035	911	6038	1121	575	1526	1421	2345	1059	2278	409	2524
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	0	92	342	329	259	112	64	81	194	325	153	215	95
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	1117	2753	881	2014	639	956	1079	373	1440	845	978	1129	330
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	5523	2931	870	1599	1934	2680	1206	428	1308	1540	821	202	1055
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	8900	9109	646	1945	2242	620	3535	1636	2839	1406	3063	2580	249
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	215	135	517	1103	1396	404	23	232	827	711	94	297	614
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	1379	1162	388	2031	1198	924	772	503	1739	1509	878	762	963
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	5555	4855	1652	4028	3380	4668	3330	683	1148	2784	2290	1383	836
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	5639	3775	660	2044	1148	148	1386	831	1395	1759	762	3051	147
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	7028	14576	1986	1366	1344	1810	3175	696	3037	191	2827	664	926
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	13891	6753	324	1676	525	1177	10740	918	1781	915	312	0	584
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	13718	9303	816	1226	1084	728	5501	559	1874	1071	1213	567	96
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	11791	10960	1652	2388	2036	3332	3892	918	2108	1719	1878	246	547
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	2160	1007	957	2791	617	1093	1487	772	2000	1085	488	257	964
