Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP2101146-DNA_A01_vs_LP2101147-DNA_A01__pv	601	555	1581	1098	301	1189	2345	1087	2344	42	2327	917	335	723	647	606
LP2101148-DNA_A01_vs_LP2101149-DNA_A01__pv	444	0	1511	511	554	4769	363	649	575	1813	533	684	1476	2144	462	535
LP2101151-DNA_A01_vs_LP2101152-DNA_A01__pv	2001	1829	372	823	612	2283	862	1547	2807	2073	2143	572	1455	2146	1237	797
LP2101153-DNA_A01_vs_LP2101154-DNA_A01__pv	14340	10503	2991	2462	6352	4307	1915	1090	1109	1576	4712	2548	1419	4043	988	525
LP2101156-DNA_A01_vs_LP2101157-DNA_A01__pv	274	549	134	13837	2395	0	2624	40741	1017	2986	3248	7368	0	1175	343	0
LP2101158-DNA_A01_vs_LP2101159-DNA_A01__pv	7129	5942	1060	5114	3263	2780	1186	1004	4699	2143	1598	1975	967	818	988	875
LP2101160-DNA_A01_vs_LP2101161-DNA_A01__pv	3007	880	1149	1536	1265	1094	1112	477	892	1344	1367	657	353	680	1381	566
LP2101162-DNA_B01_vs_LP2101163-DNA_B01__pv	160	252	368	226	69	340	135	52	414	28	176	45	98	0	124	57
LP2101164-DNA_A01_vs_LP2101165-DNA_A01__pv	302	152	1164	1046	184	637	783	36	1907	0	2815	160	793	615	31	0
LP2101166-DNA_A01_vs_LP2101167-DNA_A01__pv	1279	609	419	965	719	1044	1041	291	2292	380	2492	880	500	375	617	310
LP2101168-DNA_A01_vs_LP2101169-DNA_A01__pv	103	172	665	1328	76	1143	568	297	341	1399	1116	423	813	1055	449	626
LP2101170-DNA_A01_vs_LP2101511-DNA_A01__pv	40	301	796	199	222	1327	169	311	564	1018	37	400	396	154	128	444
LP2101512-DNA_A01_vs_LP2101513-DNA_A01__pv	6203	6675	1061	1191	1859	739	637	636	1458	1385	1975	672	672	1520	509	353
