Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2032	713	689	1414	250	319	3314	492	993	923	615	336	380	993	648	179
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	8355	8329	1662	1374	2246	1643	1168	914	1591	1219	1087	904	839	6344	733	929
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	4580	4545	348	743	2309	678	515	151	883	129	745	453	261	463	224	280
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	381	740	703	1533	211	1048	785	442	1918	1751	1119	710	223	268	403	293
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	1123	943	250	477	482	57	173	167	677	671	474	15	50	139	100	81
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	5504	5534	97	2135	5784	1512	2145	737	2294	2069	1836	1159	565	652	1688	500
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	1171	670	751	2562	263	860	427	587	1166	1749	1289	355	294	983	535	425
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	3888	2977	690	1902	1854	574	773	365	1921	1409	1851	257	184	700	467	330
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	242	232	421	1382	176	944	707	582	1838	710	1593	531	525	447	367	301
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	1506	876	1035	1985	424	1824	2402	438	2107	1135	2220	572	646	285	978	297
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	4523	2578	2700	448	1322	3186	467	844	574	1576	2592	1437	549	1784	598	728
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	15236	9982	972	379	5468	0	599	847	660	3832	178	0	1506	2144	4110	305
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	873	1066	771	1209	999	1523	673	596	1055	1100	1753	363	100	313	481	402
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	4482	1527	916	766	2747	4662	861	778	864	3398	693	716	1165	357	627	985
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	4706	1525	848	765	2574	4942	772	775	849	3170	641	772	1231	346	457	969
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	28053	20491	0	243	11148	0	298	1639	1424	969	1900	237	8631	1862	1540	208
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	179	174	820	367	88	220	359	0	186	424	134	0	110	89	17	188
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	3344	1228	715	2642	730	1430	1564	776	3137	384	2226	727	369	681	747	582
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	15413	13501	0	421	6361	0	198	496	120	3320	546	176	1667	2411	647	847
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	3629	4413	273	942	2477	1153	1353	411	1438	848	1636	814	472	592	524	4104
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	9738	8896	63	1600	6141	22	834	609	1450	1216	2663	555	808	1268	1281	171
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	102	139	675	488	199	1464	755	231	179	1115	846	538	1104	710	182	207
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	13157	18698	652	1771	9454	2326	1036	1225	2262	1850	3919	1650	1793	1103	1713	586
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	9441	58595	1883	2382	10050	2788	0	2853	8022	0	0	2405	468	17323	1887	2130
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	2011	1348	265	566	936	521	531	241	587	755	599	69	219	460	433	178
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	1608	1312	450	1758	826	397	1135	400	1901	2021	813	533	908	497	1296	474
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	1292	830	432	934	906	1004	856	155	548	1991	604	609	463	302	904	387
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	4659	3810	545	2921	2309	1485	1141	508	1144	869	2255	800	978	1002	988	357
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1044	408	767	1521	273	1188	739	199	1306	1584	1957	340	220	239	370	300
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	728	975	849	1500	325	3200	420	1117	928	3225	810	108	967	586	674	1131
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	9172	9541	1090	172	6258	3994	2282	720	1877	4545	0	903	1561	0	567	806
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	809	359	528	1222	254	955	707	419	1809	1292	1353	497	448	236	194	365
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	90	150	430	706	111	281	351	91	632	408	441	173	152	179	128	248
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	356	523	596	1639	285	1128	906	298	2759	1551	1976	625	295	475	539	300
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	4062	4501	463	1577	2361	346	1144	946	2701	2117	1486	0	367	893	2808	145
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	5840	10355	1328	1548	2915	1608	1179	353	757	1608	2224	628	1517	2347	312	342
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	705	267	450	949	354	755	577	269	1069	473	1152	417	755	486	684	294
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1071	127	414	562	437	784	457	180	578	398	967	361	552	245	820	119
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	682	125	422	430	258	504	366	222	530	597	906	308	2092	212	919	319
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	8449	4294	542	921	3222	643	737	424	1853	1083	1673	844	712	663	844	209
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	3008	3374	532	2188	783	607	1015	413	2321	736	1371	471	335	747	323	321
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	3339	1908	785	2044	1826	2421	935	1035	2347	3635	1253	1251	3290	3387	360	923
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	1589	2157	945	1894	560	673	1493	466	3058	2021	1406	612	415	914	726	183
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	560	1594	576	1782	275	626	755	58	1195	331	903	567	339	212	1413	482
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	831	643	215	424	555	142	325	308	637	130	1044	43	385	154	622	11
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	8017	8664	320	1725	1659	794	729	817	2020	1008	1128	596	932	1337	1485	316
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	2484	3012	663	795	1204	2259	1002	396	1214	1383	1337	486	1972	613	1061	375
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3223	2822	1057	1734	0	1033	856	315	1297	1460	896	538	472	1143	545	735
LP6007591_vs_LP6007590__pv	6295	21570	0	3726	6002	0	2015	824	2014	4499	1696	1660	1208	2165	4228	409
LP6007592_vs_LP6007590__pv	1376	1002	678	1925	406	400	560	228	1291	717	935	233	351	495	395	361
LP6007594_vs_LP6007593__pv	270	569	861	2943	389	1647	939	1690	2301	863	2745	24	202	563	395	914
LP6007595_vs_LP6007593__pv	2101	1508	463	1104	905	415	731	299	1545	764	1132	515	40	393	79	324
LP6007597_vs_LP6007596__pv	12103	1001	252	1687	10356	646	1658	686	2233	1406	1059	425	361	382	497	3185
LP6007598_vs_LP6007596__pv	4654	48	200	648	2367	0	398	259	1081	676	771	179	119	166	264	457
LP6007600_vs_LP6007599__pv	141	32	857	883	0	236	863	222	567	1425	121	66	66	116	220	152
LP6007602_vs_LP6007601__pv	14863	33021	972	412	4059	1296	0	638	41	1488	427	1281	1024	4277	405	759
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	14277	11763	141	955	4755	459	433	891	1565	2994	1281	838	120	342	477	854
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	28299	13236	0	773	7734	924	246	689	1655	2372	1008	1182	168	0	435	1397
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	14485	13589	845	1393	7977	1266	1388	207	3448	1367	1577	1195	432	22	758	331
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	4827	3322	404	1976	2421	671	596	1472	1803	1582	2538	507	1931	551	4877	264
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	20049	15020	0	882	6785	250	357	650	1555	3299	1040	1041	190	0	466	907
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	14347	11319	80	767	4615	381	382	759	1424	2665	1442	712	191	214	402	780
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	14710	13730	892	1459	7880	1481	1398	279	3506	1561	1294	1433	460	0	761	738
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	2494	1635	311	812	1196	202	422	533	999	912	1177	65	404	200	839	26
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	28266	19492	369	614	5709	911	165	567	1591	3420	1211	1578	170	138	607	1473
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	14246	13251	924	1285	7646	1206	1355	145	3404	1378	1309	1128	413	27	662	602
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	14390	13780	840	1366	8046	1196	1382	195	3411	1467	1334	1281	425	3	743	618
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	0	5	20	16	0	0	17	19	3	39	0	0	4	0	12	0
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	20470	16528	0	844	6913	401	427	580	1675	3391	1346	1127	170	201	425	802
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	14434	13603	909	1334	8252	1364	1449	181	3488	1714	1427	1278	507	152	690	1342
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	4708	3271	725	2167	2162	794	890	1038	1892	1548	2142	362	1465	573	2134	393
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	26322	18388	632	591	6128	1782	26	607	1607	2439	898	1651	128	0	637	2023
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	14080	13646	873	1126	8498	1548	1601	0	3471	1385	1179	1573	435	8	810	3202
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	4533	3169	441	1758	2163	671	681	1086	1809	1645	2111	268	814	503	1964	322
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	15009	13307	0	765	5481	700	336	864	1814	3195	1146	1167	205	20	431	1730
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	14658	14381	688	1341	8810	1294	1387	271	3487	1868	1413	1265	402	94	830	1168
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	3393	2318	320	1003	1573	225	524	630	1163	1036	1506	81	879	356	1887	87
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	17303	12746	72	931	5090	627	411	882	1568	3167	1345	978	137	299	495	821
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	15618	15417	876	1211	9182	1832	1364	396	3620	1664	1204	1558	632	0	911	2698
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	4772	3086	418	1859	2146	651	817	1093	2092	2016	2235	358	1541	567	2583	427
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	20628	17456	429	667	6470	1463	234	386	1693	2520	942	1613	171	0	486	1633
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	14413	13459	952	1190	7699	1781	1359	24	3488	1401	1155	1539	550	0	663	2232
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	6250	3342	533	1995	2638	608	586	1534	1807	1379	2303	522	1902	541	4949	450
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	2435	1496	1536	548	1486	2427	778	1368	2001	2708	849	849	4199	1529	694	821
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	2798	1959	1029	2288	1087	1392	3646	872	4989	1568	3258	1165	3167	545	1245	418
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	909	560	527	1582	321	407	949	545	2108	949	1002	139	400	305	937	329
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	10458	6369	165	1336	3827	63	772	165	985	1607	2627	479	807	657	823	155
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2069	2332	612	1331	411	139	772	123	735	1340	417	485	505	509	574	175
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	694	743	36	2037	278	1042	798	1219	4609	2559	838	230	291	570	804	549
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	97	287	950	1843	167	602	650	204	1638	1146	909	487	825	99	662	284
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	143	192	484	609	157	222	607	181	845	545	412	0	147	154	98	112
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	3797	6567	588	3481	1644	2416	1433	1285	2841	2323	2110	734	1091	383	1342	495
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	3933	2125	690	2682	1002	591	1084	743	2616	2294	1680	45	335	1536	386	482
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	0	8	79	0	2	0	0	21	28	8	13	3	5	5	9
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	2861	1152	329	540	1144	1484	1226	496	1412	1573	594	390	614	412	435	574
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	4144	3555	472	1506	2823	1217	234	1035	1490	855	2005	191	360	367	477	447
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	545	357	715	988	280	2039	2182	536	2191	1827	1127	250	1049	360	927	434
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	5889	561	8273	4698	2768	0	0	19079	2607	2867	8136	10027	0	941	394	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	8113	3029	537	1517	2784	949	2002	721	5009	2987	994	528	371	477	991	275
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	5143	5156	6746	8929	4384	0	950	42303	1536	756	4955	11457	71	0	921	1658
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	2492	2164	724	1392	1345	734	847	476	2338	1994	889	547	363	392	480	252
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	1475	1666	240	747	2005	54	572	24	315	1083	326	148	140	193	440	0
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	8547	7720	1282	3274	2641	2876	1662	1150	1750	3106	2316	512	1012	1363	965	723
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	3578	3822	252	1018	2347	325	634	403	1124	1984	1244	546	626	1589	504	325
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	1377	675	969	1012	383	2318	1080	547	1509	1696	1263	864	940	722	625	479
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	5817	1269	1173	180	2811	3116	0	1611	2912	6342	1241	639	1694	6737	1234	1664
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	3616	3256	986	2369	1254	822	944	325	1182	1331	2934	1443	301	764	842	625
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	313	1350	2703	7738	258	194	1332	24437	1976	0	5842	2367	167	345	585	1226
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	9473	18162	3520	9447	4454	0	3333	20257	899	607	1798	4989	295	0	258	0
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	71	0	554	1054	0	593	519	189	1182	1458	498	87	762	82	1338	162
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	1889	1469	548	1131	971	867	981	610	991	1202	1336	284	211	360	538	432
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	5602	25398	1250	812	3067	3701	378	1602	1267	220	2313	1032	1832	3752	299	657
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	3131	5724	304	567	4936	71	1466	647	616	2467	810	393	186	434	880	270
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	3419	2706	641	3108	1610	157	1063	385	3458	1363	1655	894	938	539	1379	552
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	5326	24484	1153	875	2762	3117	537	1159	1036	291	2187	1023	1868	3973	87	620
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	3905	3784	572	2004	2555	615	1190	404	1567	1278	2681	759	675	602	773	367
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	1999	4326	1544	908	358	773	597	585	655	2443	880	465	842	2666	522	673
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	5538	25364	1450	895	3192	3739	491	1706	1161	88	3250	1032	1990	4379	137	692
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	4095	2900	1039	2719	1469	1637	987	765	3364	1915	2977	799	552	1343	657	643
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	4874	24780	461	927	2841	2026	663	1247	1730	1838	2013	1082	1806	2814	424	575
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	2512	1947	1558	1416	1264	2403	1118	629	1067	1847	1600	460	253	1463	370	501
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	1587	1273	495	1079	239	0	596	0	2674	2280	627	1186	52	1764	278	9529
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	5428	24649	1007	934	2873	2603	569	1364	1218	731	2055	940	1562	3328	359	648
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	4140	1977	871	2255	896	984	1477	358	1799	2277	1480	567	298	671	720	4
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	1306	533	1377	1369	1165	7577	681	1213	1981	3128	1242	1193	2854	1295	161	1480
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	5378	24487	1041	1019	2917	2544	539	1142	1036	241	2189	1077	1578	3350	351	716
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	755	2647	649	506	1037	1110	383	1059	533	1502	1403	241	2714	561	1629	59
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	284	62	312	894	137	382	278	110	874	401	455	282	162	114	253	172
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	5563	24747	1057	819	3012	3094	599	1783	1190	127	2871	956	1647	3988	320	709
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	5411	24503	1049	870	2863	2881	444	1218	1061	665	2118	1087	1710	3218	272	647
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	4758	6908	812	974	2435	2499	742	702	1753	1701	620	1016	499	1320	361	1706
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	4604	6068	767	729	2111	1816	614	672	1550	1722	760	756	396	1007	424	1513
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	3176	3665	733	585	2013	468	336	762	4240	1992	0	743	3439	735	1333	1892
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	5043	6870	1130	960	2033	2558	744	547	1892	1603	313	1192	456	1265	386	2302
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	3979	4682	525	556	1728	1077	510	636	1036	1234	602	567	365	1108	274	840
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	5225	7712	826	1125	5485	2114	937	1203	692	1115	1939	541	386	930	553	934
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	4547	5545	729	984	2109	2089	698	619	1578	1694	772	795	383	1222	359	739
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	3638	10741	1285	803	2169	3536	259	986	1400	567	260	1369	295	1494	553	1926
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	5232	7660	827	1142	5416	2145	965	1152	617	1227	1741	641	355	968	574	521
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	4618	4800	897	1141	1810	1576	1030	698	1650	1737	853	653	465	1330	260	753
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	4343	6808	769	846	2187	2203	578	989	1478	1533	648	928	406	1337	369	1339
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	5769	4298	284	805	2936	510	571	226	979	486	1046	360	300	339	233	114
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	3698	10423	1273	749	2372	3927	276	1237	1486	221	289	1495	411	1571	491	1668
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	4982	6647	773	952	2230	2181	762	850	1703	1824	624	1047	471	1117	429	2002
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	4853	7098	913	933	2433	2358	796	976	1620	1714	486	1125	481	1479	403	1736
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	5037	4796	825	1199	2144	1738	1023	676	1969	1806	686	689	437	1252	329	422
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	4923	6585	869	950	2507	2424	740	924	1865	2095	595	1093	472	1276	517	2033
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	3211	2652	72	190	1697	42	148	194	207	164	461	0	47	180	77	0
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	4937	5825	696	857	2323	1994	733	970	1677	1862	787	840	445	1149	430	1443
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	3180	3632	774	661	2001	638	331	789	4346	1942	0	745	3503	686	1288	2003
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	7231	1532	893	4013	1741	1190	1385	0	3283	1358	1237	1817	624	1023	945	453
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	51649	10542	1818	1063	1425	0	205	1032	4252	4846	567	756	0	5348	999	632
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	3520	3178	409	561	1394	124	357	84	385	563	433	384	247	268	144	115
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	3004	5039	656	1933	2082	483	1784	667	1389	1565	1267	0	457	629	1998	0
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	3099	882	389	1716	1268	563	3025	472	2778	1366	1432	271	242	188	636	267
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	2753	2482	733	1811	1049	282	544	18	1499	665	1441	441	90	434	188	372
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	2950	2327	573	1665	1202	606	1002	674	2869	866	1380	572	649	590	921	10
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	14368	19865	1036	2474	5102	1896	1600	1486	2727	1809	1691	770	235	1984	556	865
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	1323	661	893	1036	378	2125	1007	583	1492	1741	1225	828	920	715	646	436
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	1117	2918	250	834	831	2366	376	1834	2055	5338	2083	646	10434	1096	754	625
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	9242	30885	216	363	4912	1776	387	1273	40	1863	908	1928	5536	6724	2082	738
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	2869	3119	1061	1823	1313	1831	721	594	1551	425	2041	813	1208	3619	524	631
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	4834	5385	969	1436	3388	1735	1927	341	1246	1254	235	1050	1710	973	335	605
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	2509	1971	791	440	1674	2027	653	646	596	2466	0	581	593	572	711	429
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	12900	20550	494	697	7051	923	1058	1112	1813	3026	873	593	544	2011	1277	609
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	746	421	693	1749	131	812	1692	492	1024	835	1122	421	293	239	1147	348
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	6848	7384	74	1366	4059	0	1023	546	2116	1437	2220	630	713	953	856	432
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	535	407	920	577	650	2340	388	713	873	2778	566	508	582	1124	452	490
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	1698	723	195	1211	473	730	1689	646	4728	1044	1738	259	525	203	939	746
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	3442	5577	647	2949	4613	1644	1279	304	2932	3026	1044	1314	377	132	396	544
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	2207	3094	680	2732	2165	1568	1022	124	2667	1907	1102	1142	332	0	287	454
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	3220	5161	584	2813	4219	1592	1211	453	2896	2904	930	1116	379	118	344	527
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	1413	1815	224	716	1744	287	375	8	977	892	508	277	91	91	74	4
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	6540	6429	685	2944	7169	2280	1277	421	3020	3178	1134	1423	385	141	394	654
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	12237	7855	1153	2672	11719	2452	828	621	2946	3003	1085	1430	386	0	422	986
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	5337	7144	425	2809	6932	1681	1276	442	2963	3543	1088	1272	384	71	345	757
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	5294	6002	646	2813	6422	2129	1175	463	2979	3154	916	1352	349	35	408	840
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	5124	5718	616	2781	6233	1865	1170	335	2883	3022	1137	1290	368	71	362	638
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	5175	5784	503	2669	6226	1896	1132	470	2856	3182	1135	1209	356	76	372	627
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	121	250	32	100	150	0	28	0	145	159	118	0	28	0	2	43
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	6131	6624	670	2858	7045	2350	1342	442	2992	3354	1030	1385	380	103	383	816
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	4040	4998	531	2869	5048	1769	1153	384	2856	2765	1182	1176	417	48	338	441
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	5285	5922	644	2795	6333	1988	1171	420	2947	3149	1083	1301	324	52	395	689
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	4585	5059	594	2335	5543	1727	1046	346	2569	2875	977	942	306	36	341	483
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	7031	6998	672	2713	7681	1974	1119	369	2897	3428	981	1392	370	64	375	824
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	2442	1099	87610	16627	3965	25485	25711	5637	2457	18330	0	2068	5556	3294	2866	0
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	11579	17526	1833	1273	6619	2575	334	347	158	0	702	770	1312	0	1789	28
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	83	57	227	187	150	423	84	258	774	1165	57	68	1832	326	0	49
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	6593	10489	356	763	4669	2886	1348	849	2313	1656	2564	928	2293	1138	667	549
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	2247	2466	676	2694	2191	1043	1099	911	3197	1632	1657	1021	344	507	730	3254
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	53	3449	53	89	187	151	48	8	16	132	106	92	76	198	91	0
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	5012	4689	16317	4151	1209	4942	5806	1811	2620	6071	2472	343	2417	1707	1174	191
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	1035	669	538	863	661	705	529	662	1074	10	1778	381	371	307	654	270
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	3143	2881	355	1614	1572	621	1189	547	1305	824	1326	623	316	1169	245	2090
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	0	93	37677	7128	1244	9003	10579	2437	1053	8348	351	0	2550	1648	1019	0
