Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6005334-DNA_D01_vs_LP6005333-DNA_D01__pv	0	215	119	7	40	297
LP6005334-DNA_D02_vs_LP6005333-DNA_D02__pv	6445	2403	0	15957	1275	3748
LP6005334-DNA_D03_vs_LP6005333-DNA_D03__pv	184	1544	0	297	4377	3680
LP6005334-DNA_E01_vs_LP6005333-DNA_E01__pv	435	4331	3643	2143	5369	2650
LP6005334-DNA_E02_vs_LP6005333-DNA_E02__pv	1286	712	395	2019	611	610
LP6005334-DNA_E03_vs_LP6005333-DNA_E03__pv	2214	10208	365	1713	3673	3437
LP6005334-DNA_F01_vs_LP6005333-DNA_F01__pv	2699	4168	1840	2535	12346	2888
LP6005334-DNA_F02_vs_LP6005333-DNA_F02__pv	15323	7470	479	8816	5826	1189
LP6005334-DNA_F03_vs_LP6005333-DNA_F03__pv	293	944	483	295	715	165
LP6005334-DNA_G01_vs_LP6005333-DNA_G01__pv	7359	0	2784	3078	7627	11881
LP6005334-DNA_G02_vs_LP6005333-DNA_G02__pv	12250	4511	1694	6253	6987	2782
LP6005334-DNA_G03_vs_LP6005333-DNA_G03__pv	4467	1670	1207	414	3299	1598
LP6005334-DNA_H01_vs_LP6005333-DNA_H01__pv	11519	3794	2896	117	7192	4819
LP6005334-DNA_H02_vs_LP6005333-DNA_H02__pv	28456	5220	0	7520	7674	1761
LP6005334-DNA_H03_vs_LP6005333-DNA_H03__pv	9812	2434	0	26694	5028	1064
LP6005335-DNA_A01_vs_LP6005333-DNA_A03__pv	8902	929	1969	2150	5189	1000
LP6005409-DNA_A01_vs_LP6005408-DNA_A01__pv	295	858	1605	0	2159	2961
LP6005409-DNA_A02_vs_LP6005408-DNA_A02__pv	1368	3651	295	782	3426	1306
LP6005409-DNA_A03_vs_LP6005408-DNA_A03__pv	17153	0	15167	11222	5489	1111
LP6005409-DNA_A04_vs_LP6005408-DNA_A04__pv	5854	2563	571	4632	3007	2804
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	43294	1156	0	17942	7983	245
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	225	1675	4101	1991	5354	1910
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	0	3410	911	1409	718	4950
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	945	147	3500	1125	2027	1883
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	1279	476	681	520	2712	359
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	384	5248	921	541	2499	1452
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	12326	5190	1282	15831	3663	2077
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	8082	6187	3696	11888	4830	3915
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	16613	2919	0	25200	1968	1858
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	0	2370	2335	955	2754	1967
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	1489	1184	2401	991	2702	1491
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	5636	7330	1513	13349	4585	1665
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	14895	586	2077	1914	4755	45
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	5059	450	1891	968	5026	2313
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	0	1321	1527	399	1516	1135
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	10852	3101	845	2654	2187	1143
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	9061	1516	1098	11584	3086	920
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	0	1012	6166	594	2553	1260
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	7000	2753	1854	2722	4761	1033
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	4958	1974	717	2945	958	472
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	12018	15045	15966	0	1874	957
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	9682	91	3168	0	3700	3332
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	1612	3242	2033	1303	3825	2386
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	3007	6281	5340	5853	4914	1934
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	3080	4393	553	2348	3830	1926
