Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6008031-DNA_A04_vs_LP6008032-DNA_D03__pv	17823	1287	1875	5012	3514	1784
LP6008031-DNA_B01_vs_LP6008032-DNA_B01__pv	2509	1048	2091	3493	1988	1400
LP6008031-DNA_B02_vs_LP6008032-DNA_D02__pv	994	1799	1661	1125	10381	1337
LP6008031-DNA_B03_vs_LP6008032-DNA_F03__pv	0	961	3151	702	4063	1973
LP6008031-DNA_B04_vs_LP6008032-DNA_C02__pv	185	1130	899	339	1940	415
LP6008031-DNA_C01_vs_LP6008032-DNA_C01__pv	5215	2229	4782	9736	7403	3165
LP6008031-DNA_C02_vs_LP6008032-DNA_E02__pv	5429	2716	3600	2643	6860	976
LP6008031-DNA_C03_vs_LP6008032-DNA_G03__pv	0	0	113	0	60	8
LP6008031-DNA_D01_vs_LP6008032-DNA_D01__pv	5138	3518	682	436	3905	1557
LP6008031-DNA_D02_vs_LP6008032-DNA_F02__pv	8401	2183	2596	2905	4227	866
LP6008031-DNA_D03_vs_LP6008032-DNA_H03__pv	813	4597	1136	595	5581	3085
LP6008031-DNA_E01_vs_LP6008032-DNA_E01__pv	9713	13430	36699	0	6398	0
LP6008031-DNA_E02_vs_LP6008032-DNA_G02__pv	14194	2775	932	569	11143	1671
LP6008031-DNA_E03_vs_LP6008032-DNA_A04__pv	16380	11001	64901	259	2424	0
LP6008031-DNA_F01_vs_LP6008032-DNA_F01__pv	4412	2390	1849	2262	5496	1020
LP6008031-DNA_F02_vs_LP6008032-DNA_H02__pv	4020	1129	1432	1059	1006	782
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	12668	5334	4703	9752	5875	2567
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	6801	3493	1231	4165	3297	1334
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	1857	4837	1945	1092	4447	2281
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	10592	15962	0	0	8494	3392
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	5236	2169	5198	4429	4352	1610
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	2186	5473	36616	758	5345	455
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	15295	574	36302	24698	623	0
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	9	1223	1422	161	2983	2751
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	3348	2493	2266	1490	3079	1144
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	7153	5660	0	38815	0	1554
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	9611	4014	1282	4872	1747	1376
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	5403	0	4473	3126	8039	2826
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	6449	5107	0	37546	0	1396
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	7320	2143	3691	3937	4688	1952
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	1936	6627	729	7169	2175	1600
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	6929	7360	0	38976	209	1630
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	6130	3763	3991	3587	8835	1555
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	6145	3539	0	37919	810	1688
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	4053	6337	2724	2460	3779	1055
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	3669	7845	158	974	10694	319
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	6828	4482	0	37626	0	1332
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	5720	2301	3857	2298	5054	1544
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	2038	12137	1670	1292	7142	4276
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	6745	4122	0	37384	0	1354
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	1817	3827	619	3610	1535	5380
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	279	342	1541	228	2202	580
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	7106	5917	0	37808	184	1467
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	6827	4448	0	37362	0	1380
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	8263	5620	330	8906	4812	875
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	7997	4838	103	7500	4282	789
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	6996	2531	0	3078	8146	5361
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	8303	5742	242	8993	5193	821
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	6787	3573	281	5650	2811	617
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	12572	5659	2215	7602	2619	1050
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	7643	4590	693	6947	4201	788
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	5826	5771	0	15877	3198	609
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	12385	5454	2346	7659	2283	1056
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	7431	4556	1194	5894	4345	851
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	7438	5213	446	8961	3981	722
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	10682	1049	1056	3474	2507	488
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	6116	6118	0	15273	3370	710
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	8553	5321	566	8393	4850	911
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	8422	5848	638	9160	4445	891
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	8387	4217	1176	5521	4850	877
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	8847	6019	590	8116	5276	1020
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	6095	434	122	2169	522	0
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	8723	5145	636	6907	4654	903
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	6953	2666	0	3073	8442	5385
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	10267	0	7012	855	8486	2105
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	71548	730	0	1183	11673	0
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	5867	727	808	3414	1004	346
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	5641	1671	2723	6175	3411	3332
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	5302	1972	2833	0	6680	1807
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	4045	649	2739	3169	3890	310
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	4835	990	2244	2465	6358	1964
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	22169	4006	445	25783	5902	159
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	1795	4540	1993	1065	4365	2251
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	1160	8763	0	5157	4873	13604
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	14884	2899	0	43531	0	7559
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	3917	5920	2516	4859	4633	2298
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	9185	4320	2159	5925	3093	2741
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	5190	4982	988	1595	2184	1720
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	23865	3482	0	24612	2382	1190
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	765	1378	3731	853	3093	2345
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	13067	1906	1273	7501	5206	1704
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	1176	6418	1079	628	3172	1430
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	3009	1584	302	194	10430	2028
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	8518	2844	4590	5965	7370	933
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	4213	1423	4298	3972	6717	860
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	7871	2720	4280	5535	7199	862
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	3542	989	947	1554	2313	151
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	15969	3880	5021	4482	7893	829
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	29793	4861	5552	1266	7892	431
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	13976	3673	4369	6111	7615	725
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	13501	3662	4685	4599	7721	809
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	13009	3355	4634	4343	7475	797
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	13137	3540	4390	4382	7441	778
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	302	118	75	283	373	25
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	15277	4215	4729	4986	7869	829
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	10040	2692	4663	4425	7296	899
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	13359	3548	4653	4541	7632	765
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	11684	3338	3707	3722	6616	697
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	17377	3981	4540	4740	7587	663
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	1564	120982	62454	4829	0	13318
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	21182	1916	0	20829	0	2918
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	63	1852	0	220	1507	2098
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	12957	5743	0	12490	5361	3510
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	5290	3122	4526	2239	9073	1419
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	0	0	0	4749	0	0
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	6030	26027	11664	6893	5437	4881
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	2058	1473	2108	473	2986	1409
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	5542	3000	2709	3251	4428	890
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	0	50698	26073	943	0	5416
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	745	2899	3167	2128	5913	2315
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	8871	1718	98	1598	2627	4560
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	10673	14006	0	6516	13430	2229
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	3169	3037	3174	1360	2939	1171
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	0	42524	19577	974	1444	5157
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	2953	2325	3533	868	3856	1723
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	836	6689	4148	449	6851	1153
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	13983	5250	625	3530	2961	1883
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	8630	17044	9176	7101	2124	2846
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	7419	3307	2280	868	2819	2924
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	1095	1836	98	2099	845
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	34681	3249	1708	11809	4610	1760
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	0	152	127	17	126	136
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	70	23	2	0	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	1064	1967	88	3114	916
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	7611	1949	4689	5715	5991	3132
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	0	995	2251	116	1969	811
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	858	2312	96	1961	817
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	0	1058	2269	111	1874	872
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	0	928	2008	127	1544	840
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	7354	1836	4626	5661	5887	2899
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	23539	0	1167	7929	2848	1046
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	703	5177	1727	785	11082	741
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1119	1175	3843	1342	7439	1507
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	4724	10354	998	4029	4759	1369
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	0	669	374	171	690	357
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	1908	4010	410	3870	2085	2251
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	8085	2569	3009	2610	4131	1693
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	13806	4130	2590	10740	3625	3879
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	0	928	2282	461	2117	780
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	2183	3294	1352	1444	4093	1842
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	9244	6187	4851	5371	6568	4371
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	8405	1997	683	3689	3808	4163
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	10192	6522	423	20152	632	1705
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	29808	4673	2081	0	2766	268
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	23278	2646	1048	7293	2694	797
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	18226	5024	2415	11986	4059	1757
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	4345	5246	1263	199	3361	1264
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	4355	23510	28853	0	0	2085
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	12992	7451	3381	7569	5974	1014
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	0	3779	1449	231	1789	1681
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	4712	2759	1073	1859	8565	1342
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	594	684	848	852	1076	546
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	1702	0	4694	2256	2591	6029
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	1340	9047	770	2450	6034	2449
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	1521	481	603	1316	1205	264
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	32236	1387	2820	9283	5448	953
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	851	1948	2121	1364	4953	915
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	36521	2839	0	35104	447	770
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	11695	6389	2718	4827	5860	1858
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	15209	2763	3986	112	6201	2143
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	946	723	2991	878	2978	779
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	2308	4049	1415	750	2624	1685
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	2870	10539	4263	0	5521	8367
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	6041	2370	2763	2612	5504	1585
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	3192	5811	1532	1181	6420	1642
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	15512	4188	1208	9203	3293	1447
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	1196	4344	0	897	3982	9320
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	644	2391	4494	1567	5521	2389
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	0	933	1499	413	1719	526
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	92535	0	0	50351	0	0
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	1389	810	1571	1231	1932	520
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	1842	0	4101	2695	6391	1655
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	0	1512	2575	720	2778	1205
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	9351	1778	2421	2664	5470	1791
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	2144	1460	2774	1732	5617	1406
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	785	3507	2818	1839	6065	1498
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	1417	809	3156	1173	3273	867
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	418	1318	1559	1233	1309	398
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	13445	3100	1834	1536	5433	1433
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	26631	2739	5129	4209	6252	2121
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	0	3434	1708	223	2174	988
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	6973	1387	1101	858	2180	586
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	939	1142	4311	865	6079	1549
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	4346	5998	2370	2686	9743	2373
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	0	598564	405407	10072	0	63151
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	13482	1130	2171	8195	4847	723
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	1546	9366	784	1046	5592	967
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	2895	1920	4705	1054	5800	3067
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	9689	5560	511	10182	8122	1397
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	12835	2320	0	10068	1183	1236
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	2339	64	3768	3338	2386	642
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	2670	3571	3506	2497	4380	2562
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	3992	0	6411	2566	5623	1253
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	504	208	1751	470	1993	452
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	2573	2611	50071	2869	2862	661
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	2080	2144	2167	2429	3892	948
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	7200	1909	2157	6193	6935	1217
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	63845	0	0	47490	0	0
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	0	599977	409782	9967	0	64211
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	3535	6298	2811	4899	7001	2191
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	2794	2489	2314	761	5720	994
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	6728	1190	1859	7080	2740	2713
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	0	1424	3097	2611	3885	1021
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	27915	1339	691	10124	6773	748
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	176	2666	1684	382	1635	820
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	11425	13790	65696	0	10274	0
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	3815	4031	1285	3838	3066	1798
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	107	1641	1815	510	1297	885
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	9018	5275	1668	2996	5874	2151
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	668	753	1165	416	986	296
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	4094	3891	1639	1171	3919	1760
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	4227	2921	2601	0	6060	3086
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	621	673	2318	1352	4582	1454
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	1580	2511	2215	1122	3340	982
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	0	0	2954	278	721	535
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	14539	4487	1050	0	3938	1914
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	1245	2628	3632	1508	3656	1357
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	4072	1371	0	9313	160	89
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	2678	2030	2707	969	3104	1877
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	21144	1993	0	18168	3334	616
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	587	488	3405	1260	1672	738
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	15952	1204	1691	18997	3359	1998
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	9240	539	142	8864	1101	298
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	4210	3253	2666	2910	3165	1259
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	0	31	56	5	9	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	0	402	639	113	226	124
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	22603	2001	3072	9333	2719	1108
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	305	889	3155	3886	2389	1888
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	5436	5015	4662	1712	6881	3969
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	9617	4282	2824	832	4944	1947
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	4906	1431	0	12976	1829	939
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	1587	11769	0	2467	5431	5223
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	28315	9629	0	15440	0	3226
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	3136	2199	2086	2600	5425	1662
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	6221	2631	774	1149	2978	672
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	385	0	7836	2056	5566	2428
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	2083	5312	0	6601	1080	1890
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2464	897	996	279	1773	272
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	3458	831	1456	740	1344	441
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	3622	2837	35753	0	6904	735
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	0	277	3832	173	2557	807
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	375	376	2429	491	3524	4392
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	23	91	57	0	0	4
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	8980	3387	1650	5197	10511	949
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	30964	1987	2953	6264	5022	1371
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	13639	2936	1577	9941	1862	4040
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	3132	0	0	1155	11227	18746
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	12	116	93	0	0	8
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	1652	1492	3538	1468	2645	807
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	6077	985	825	4828	1331	206
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	10269	4482	1324	1658	2735	1861
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	0	107	208	10	33	26
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	3426	928	1903	2761	1400	777
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	12018	4148	2787	0	5730	1451
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	13758	4337	1700	11239	3893	3153
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	6324	1292	540	3354	1745	574
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	9907	0	5087	3432	9050	909
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	3317	937	10	7645	195	137
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	16372	10799	2422	2524	7288	2713
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	4172	2549	6257	4863	5548	1151
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	28132	1141	0	25127	1121	891
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	2698	1399	1576	2993	2707	821
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	4581	34	4338	2389	3697	517
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	434	451	173	679	25	41
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	398	1951	2001	384	3191	1105
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	670	1486	2986	792	3087	941
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	1779	976	2370	816	2098	1914
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	3390	741	3735	3165	4635	1057
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	0	591	924	127	861	287
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	1803	2023	3516	1419	5310	1118
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	16758	8121	0	10064	4425	3162
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	8467	543	5249	2044	4567	1230
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	4950	1201	2092	0	2522	553
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	14356	1513	0	8104	6294	907
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	113135	7006	579	18117	0	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	5755	2201	1932	4904	6657	9403
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	1982	3281	4727	2208	8289	1584
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	5455	2567	2825	3416	4580	1499
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	4941	3624	205	1891	5138	1189
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	43843	10212	116209	34371	9764	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	4056	2966	3212	2042	5930	1773
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	3428	2753	1008	3995	9607	6586
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	1903	6265	4857	6416	3923	2181
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	5200	1850	2143	752	4007	1922
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	7625	8414	486	9061	5017	2491
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	18033	6779	0	3491	19836	1772
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	3010	734	323	3281	678	1482
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	5745	3636	1563	1909	5417	1367
