Samples	SBS96A	SBS96B	SBS96C
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	8315	1836	2015
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	10144	4200	8609
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	4578	4786	9230
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	6165	4322	4315
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	6168	3913	8775
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	42528	6342	9594
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	2678	4139	9192
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	5729	0	27828
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	52314	0	16559
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	8185	5645	10313
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	13815	4666	8942
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	6686	3092	6881
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	43797	2287	9447
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	1284	4563	6318
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	18188	3904	8565
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	1949	3758	8196
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2646	2443	12458
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	12723	8050	9447
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	6943	6693	7847
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	11772	7581	9114
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	4569	2084	2843
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	18461	9296	10317
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	28848	10783	10164
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	18032	8504	9933
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	16271	8696	10010
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	15557	8452	9604
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	15763	8250	9655
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	513	227	436
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	18336	9086	10483
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	12774	8032	9209
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	16079	8609	9810
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	13910	7181	8673
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	20074	8880	9934
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	8869	125179	69099
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	37288	3055	6502
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	287	0	5453
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	23224	2850	13987
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	6545	7714	11410
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	4381	0	368
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	13487	24032	23413
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	2202	3130	5175
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	7953	5115	6752
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	1712	52825	28593
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	2441	5122	9604
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	9268	609	9595
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	16763	7159	22932
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	4147	5148	5555
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	1714	40948	27014
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	3340	5169	6749
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	1241	8165	10720
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	16699	3421	8112
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	15957	17698	13266
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	7621	3847	8149
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	15	2555	3403
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	42261	6122	9434
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	12	185	361
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	4	64	27
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	1	2815	4333
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	11447	6900	10740
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	18	2953	3171
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	2951	3093
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	19	2963	3202
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	42	2586	2819
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	11171	6815	10277
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	28006	3510	5013
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	1350	5575	13290
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	1938	5645	8842
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	8996	5672	11565
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	150	698	1413
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	5434	2009	7091
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	9586	5148	7363
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	21974	5543	11253
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	332	3007	3229
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	3316	3097	7795
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	13181	8468	14943
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	10603	1873	10269
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	27760	4589	7277
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	28739	5720	5137
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	28079	4122	5555
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	27535	6615	9317
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	4556	3735	7387
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	4607	45019	9177
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	19348	8362	10671
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	246	2889	5794
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	5776	3696	10838
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	1259	1323	2018
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	3038	4336	9898
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	3873	4609	13608
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	2483	1173	1734
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	37285	6829	8013
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1895	3805	6452
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	64036	4381	7264
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	15469	6725	11153
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	13828	6715	9871
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1478	3935	3882
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	2975	3185	6671
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	2726	7090	21744
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	7649	4952	8274
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	4196	4636	10946
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	22654	4551	7646
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	1791	0	17948
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	1808	6211	8987
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	327	2180	2583
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	141071	103	1712
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	2264	2397	2792
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	3595	5475	7614
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	572	3570	4648
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	10587	4533	8355
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	3254	4429	7450
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	2305	5202	9005
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	2143	4220	4332
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	1480	2461	2294
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	13745	4491	8545
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	27884	8897	10300
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	213	3366	4948
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	7195	2360	3530
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	1386	5830	7669
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	6453	6130	14933
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	16197	750237	310760
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	19053	4879	6616
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	2857	5075	11369
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	3256	6284	9901
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	18036	4885	12540
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	20820	1626	5196
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	4690	4746	3101
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	4597	5569	9020
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	5326	8038	6481
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	763	2256	2359
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	3980	55278	2389
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	3984	3887	5789
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	11628	4875	9108
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	104388	982	5965
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	15746	753335	314856
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	7795	6475	12465
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	3149	4359	7564
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	11897	3248	7165
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	2155	4485	5398
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	33972	4630	8988
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	546	3002	3815
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	9457	80542	11186
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	7132	3361	7340
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	543	2650	3062
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	11169	4814	10999
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	961	1734	1589
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	4928	3697	7849
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3637	4424	10834
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1559	3329	6112
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	2436	3866	5448
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	119	3131	1238
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	13846	3563	8519
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	2415	5403	6208
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	11941	1159	1905
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	3192	3981	6192
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	34917	3728	6610
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	1494	4069	2587
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	30243	5008	7950
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	15913	1764	2507
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	6524	4783	6156
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	4	80	17
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	91	896	517
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	28782	6270	5784
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	3448	3999	5065
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	6368	7524	13783
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	9719	5535	9192
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	15509	1808	4764
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	4243	3515	18719
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	42070	5042	9498
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	4995	3968	8145
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	6937	2502	4986
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	1756	8823	7692
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	8430	1813	6723
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2480	1824	2377
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	3785	2271	2214
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	2585	40703	6563
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	12	4411	3223
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	572	2381	8634
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	26	113	36
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	12527	5562	12585
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	33717	6604	8240
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	21005	3642	9348
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	2983	0	31277
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	13	186	30
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	2691	4881	4030
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	9744	2187	2321
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	11396	3609	7324
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	3	282	99
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	5437	2894	2864
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	11071	5932	9131
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	22472	4941	10667
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	8753	1812	3264
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	11241	7824	9320
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	9625	1214	1402
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	18405	7945	15768
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	7819	9025	7696
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	47279	3000	6133
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	5002	2878	4314
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	5838	5679	4039
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	1073	422	308
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	670	3214	5146
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	1220	4173	4569
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	2183	2971	4799
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	5502	5314	5907
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	89	1326	1375
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	2750	5395	7044
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	25317	3956	13257
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	9023	7050	6027
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	4462	3317	3539
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	19873	2693	8608
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	126322	12431	84
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	8872	2591	19389
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	3582	7627	10862
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	7864	5012	7466
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	6360	2453	8175
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	68441	137218	8740
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	5372	5529	9078
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	6180	2756	18441
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	7685	8282	9578
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	5257	3552	7065
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	15870	4697	12527
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	19793	4121	25997
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	5485	826	3197
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	7029	4031	8577
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	7120	7825	13587
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	779	6603	8636
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	9094	3021	5645
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	874	5465	6211
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	2039	1805	2518
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	7152	3432	7646
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	3423	5276
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	3026	4092	6234
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	3475	6514	9848
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	14773	4850	11598
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	378	4412	7921
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	20	3193	3243
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	125	1369	3123
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	834	2788	4996
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	3907	3852	3553
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	75	1134	611
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	884	2940	12376
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3858	1508	2665
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	1287	3832	7661
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	3761	59700	6860
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	5	140	26
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	20435	4164	13457
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	13154	3971	9053
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	38124	4342	5923
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	815	2213	2197
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	2198	2041	8201
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1932	4621	21186
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2561	3959	5450
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	7091	3000	6147
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	5314	3809	14197
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	5378	5001	13094
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	1	125	5
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	919	1675	12326
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	2313	1479	2354
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	2450	2327	4389
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	7160	2883	7883
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	2433	1480	1926
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	7181	4669	10323
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	0	0	12855
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	660	1998	2154
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	2819	2383	3200
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	17445	776244	319111
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	5281	2138	2956
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	3975	5645	11619
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	8589	5203	6927
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	177	3073	4344
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	7429	5443	6374
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	9057	1646	3009
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	5816	2650	5775
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	706	2777	2296
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	734	1201	1125
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	2076	4735	5197
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	1142	1087	1821
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	221	2344	2394
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	46010	6381	19437
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	8985	2688	3426
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	5474	3205	4290
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	9271	3287	7851
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	4941	2656	2379
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	387	924	1265
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	5448	4614	7075
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	5198	2438	4522
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	14457	7988	6721
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	7847	7781	14729
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	25677	3319	5005
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	4435	5598	7364
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	7064	2673	4212
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	11060	4109	7434
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	4704	4441	3004
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	3925	2309	4093
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	24049	6252	6471
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	941	2370	1946
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	84056	4607	9358
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	3044	3377	3214
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	9202	2231	3432
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	29971	3528	10503
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	6714	4481	5244
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	26161	770479	322144
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	23617	1963	8734
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	1486	2536	2189
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	9921	3546	5295
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	24251	7351	13153
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	9	150	69
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	7779	1146	3704
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	15122	2657	5740
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	5081	2621	4385
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	4652	4001	7065
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	6731	5821	6716
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	1536	2551	2690
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	21614	6745	16003
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	7393	2160	2980
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	5278	6398	5405
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	11430	5286	6919
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	6977	2967	10454
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	3218	7260	8061
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	1352	6894	5723
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	8191	8262	13460
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	1332	3871	6534
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	24652	669487	291258
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	3696	3492	19184
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	326	2225	4930
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	5250	3840	4071
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	4700	105160	1204
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	21753	882	8781
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	950	1994	7979
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	3336	4248	5680
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	2372	2966	5881
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	767	3940	14355
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	3326	7121	17035
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	5387	5035	9449
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	16416	5101	7616
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	7811	7465	20150
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	55731	4422	5171
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	6238	6841	13670
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	12225	88651	0
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	5558	4852	8935
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	18536	5073	8980
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	5405	4026	7002
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	7337	2765	3293
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	15425	3901	7269
PD44724a_vs_PD44724b__pv	14955	6563	10549
