Samples	SBS96A	SBS96B
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	16897	16771
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	625	551
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	18414	19491
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	16395	13620
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	17396	17102
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	14956	14808
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	17591	21297
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	191990	11157
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	7301	39544
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	5379	361
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	15001	25060
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	18551	7118
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	0	4749
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	46325	14607
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	8090	2417
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	11302	8518
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	80514	2616
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	14423	2744
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	9326	10146
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	28553	18301
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	10386	4464
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	67213	2463
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	11615	3643
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	18646	1480
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	10385	17847
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	29971	16950
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	11385	8232
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	5902	71
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	13083	44734
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	540	18
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	90	5
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	7085	64
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	16775	12312
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	6063	79
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	5991	53
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	6104	80
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	5350	97
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	16255	12008
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	6923	29606
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	18612	1603
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	14231	2194
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	16477	9756
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	2081	180
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	8597	5937
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	11838	10259
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	15258	23512
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	6157	411
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	10551	3657
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	22354	14238
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	11196	11549
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	10133	29493
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	9394	30202
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	8088	29668
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	14238	29229
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	10725	4953
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	53557	5246
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	17794	20587
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	8591	338
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	13977	6333
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	3230	1370
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	13875	3397
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	17753	4337
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	2734	2656
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	12753	39374
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	10040	2112
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	7968	67713
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	16781	16566
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	15645	14769
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	7665	1630
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	9563	3268
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	28378	3182
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	12632	8243
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	15143	4635
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	10770	24081
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	17597	2142
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	14944	2062
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	4699	391
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	0	142886
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	5015	2438
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	12748	3936
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	8106	684
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	12114	11361
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	11560	3573
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	13923	2589
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	8359	2336
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	4635	1600
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	12089	14692
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	17571	29510
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	8225	302
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	5427	7658
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	13291	1594
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	20416	7100
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	1049007	28187
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	10318	20230
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	16098	3203
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	15829	3612
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	16062	19399
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	5472	22170
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	7565	4972
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	14162	5024
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	14129	5716
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	4530	848
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	56953	4694
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	9343	4317
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	13120	12491
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	1011	110324
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	1056135	27802
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	18244	8491
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	11615	3457
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	9533	12777
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	9663	2375
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	11543	36047
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	6723	640
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	90605	10580
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	10121	7712
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	5626	629
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	14922	12060
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	3244	1040
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	11107	5367
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	14869	4026
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	9249	1751
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	9081	2669
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	4313	175
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	11093	14835
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	11366	2660
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	2346	12659
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	9881	3484
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	8258	36997
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	6528	1622
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	11071	32130
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	3347	16837
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	10466	6997
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	96	5
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	1394	110
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	10498	30338
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	8768	3744
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	20694	6981
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	14007	10439
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	5527	16554
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	21660	4817
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	12044	44566
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	11665	5443
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	6988	7437
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	16263	2008
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	7830	9136
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	4024	2657
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	4254	4016
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	46681	3170
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	7553	93
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	10875	712
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	147	28
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	17149	13525
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	12905	35656
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	11511	22484
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	30447	3813
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	214	15
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	8698	2904
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	3955	10297
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	10131	12198
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	376	8
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	5422	5773
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	14299	11835
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	14052	24028
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	4513	9316
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	16370	12015
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	2058	10183
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	22341	19777
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	16183	8357
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	6366	50046
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	6825	5369
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	9369	6187
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	673	1130
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	8242	788
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	8594	1368
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	7559	2394
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	10818	5905
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	2670	120
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	12163	3026
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	15352	27178
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	12524	9576
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	6566	4752
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	9905	21269
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	7003	131834
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	20979	9873
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	18101	3970
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	11894	8448
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	10064	6924
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	143634	70765
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	14133	5846
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	20453	6924
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	17252	8293
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	10173	5701
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	15977	17117
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	28258	21653
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	3593	5915
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	12028	7609
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	20757	7775
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	15052	966
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	8034	9726
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	11515	1035
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	4165	2197
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	10497	7733
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	8663	36
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	10048	3304
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	15993	3844
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	15288	15933
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	12203	508
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	6372	84
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	4446	171
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	7657	961
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	7129	4183
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	1723	97
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	15125	1075
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3904	4127
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	11299	1481
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	65749	4572
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	164	7
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	16047	22009
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	12084	14094
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	8058	40331
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	4326	899
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	9969	2471
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	25422	2317
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	9173	2797
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	8600	7638
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	17424	5896
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	17543	5930
LP6008336-DNA_H02_vs_LP6008333-DNA_H02__pv	128	3
LP6008336-DNA_H03_vs_LP6008333-DNA_H03__pv	13818	1102
LP6008337-DNA_A01_vs_LP6008338-DNA_A01__pv	3658	2488
LP6008337-DNA_A02_vs_LP6008338-DNA_A02__pv	6491	2675
LP6008337-DNA_A03_vs_LP6008338-DNA_A03__pv	10158	7768
LP6008337-DNA_A04_vs_LP6008338-DNA_A04__pv	3238	2601
LP6008337-DNA_A06_vs_LP6008338-DNA_G05__pv	14367	7806
LP6008337-DNA_A07_vs_LP6008338-DNA_E06__pv	12855	0
LP6008337-DNA_B02_vs_LP6008338-DNA_B02__pv	4076	736
LP6008337-DNA_B03_vs_LP6008338-DNA_B03__pv	5368	3034
LP6008337-DNA_B04_vs_LP6008338-DNA_B04__pv	1082961	29839
LP6008337-DNA_B05_vs_LP6008338-DNA_A05__pv	4747	5628
LP6008337-DNA_B07_vs_LP6008338-DNA_F06__pv	16837	4402
LP6008337-DNA_C01_vs_LP6008338-DNA_C01__pv	11523	9196
LP6008337-DNA_C02_vs_LP6008338-DNA_C02__pv	7338	256
LP6008337-DNA_C03_vs_LP6008338-DNA_C03__pv	11303	7943
LP6008337-DNA_C04_vs_LP6008338-DNA_C04__pv	4063	9649
LP6008337-DNA_C05_vs_LP6008338-DNA_B05__pv	7964	6277
LP6008337-DNA_D01_vs_LP6008338-DNA_D01__pv	4991	788
LP6008337-DNA_D02_vs_LP6008338-DNA_D02__pv	2267	793
LP6008337-DNA_D03_vs_LP6008338-DNA_D03__pv	9726	2282
LP6008337-DNA_D04_vs_LP6008338-DNA_D04__pv	2810	1240
LP6008337-DNA_D05_vs_LP6008338-DNA_C05__pv	4681	278
LP6008337-DNA_D06_vs_LP6008338-DNA_A06__pv	22651	49177
LP6008337-DNA_E01_vs_LP6008338-DNA_E01__pv	5569	9530
LP6008337-DNA_E03_vs_LP6008338-DNA_E03__pv	7117	5852
LP6008337-DNA_E04_vs_LP6008338-DNA_E04__pv	10420	9989
LP6008337-DNA_E05_vs_LP6008338-DNA_D05__pv	4741	5235
LP6008337-DNA_F01_vs_LP6008338-DNA_F01__pv	2145	431
LP6008337-DNA_F02_vs_LP6008338-DNA_F02__pv	11248	5889
LP6008337-DNA_F03_vs_LP6008338-DNA_F03__pv	6569	5589
LP6008337-DNA_F04_vs_LP6008338-DNA_F04__pv	13875	15291
LP6008337-DNA_F05_vs_LP6008338-DNA_E05__pv	21782	8575
LP6008337-DNA_F06_vs_LP6008338-DNA_C06__pv	6840	27161
LP6008337-DNA_G01_vs_LP6008338-DNA_G01__pv	12583	4814
LP6008337-DNA_G02_vs_LP6008338-DNA_G02__pv	6414	7535
LP6008337-DNA_G03_vs_LP6008338-DNA_G03__pv	10755	11848
LP6008337-DNA_G04_vs_LP6008338-DNA_G04__pv	7175	4974
LP6008337-DNA_G05_vs_LP6008338-DNA_F05__pv	6103	4224
LP6008337-DNA_G06_vs_LP6008338-DNA_C06__pv	11377	25395
LP6008337-DNA_H01_vs_LP6008338-DNA_H01__pv	4230	1027
LP6008337-DNA_H02_vs_LP6008338-DNA_H02__pv	9173	88848
LP6008337-DNA_H03_vs_LP6008338-DNA_H03__pv	6377	3258
LP6008337-DNA_H04_vs_LP6008338-DNA_H04__pv	5075	9790
LP6008337-DNA_H06_vs_LP6008338-DNA_D06__pv	11977	32025
LP6008341-DNA_A01_vs_LP6008340-DNA_A01__pv	9262	7177
LP6008341-DNA_A03_vs_LP6008340-DNA_F02__pv	1080103	38681
LP6008341-DNA_B01_vs_LP6008340-DNA_B01__pv	9005	25309
LP6008341-DNA_B03_vs_LP6008340-DNA_G02__pv	4608	1603
LP6008341-DNA_C01_vs_LP6008340-DNA_C01__pv	8191	10571
LP6008341-DNA_D01_vs_LP6008340-DNA_D01__pv	18854	25901
LP6008341-DNA_D02_vs_LP6008340-DNA_A02__pv	216	12
LP6008341-DNA_E01_vs_LP6008340-DNA_E01__pv	4281	8348
LP6008341-DNA_E02_vs_LP6008340-DNA_B02__pv	7412	16107
LP6008341-DNA_F01_vs_LP6008340-DNA_F01__pv	6628	5459
LP6008341-DNA_F02_vs_LP6008340-DNA_C02__pv	10662	5056
LP6008341-DNA_G01_vs_LP6008340-DNA_G01__pv	12052	7216
LP6008341-DNA_G02_vs_LP6008340-DNA_D02__pv	5109	1668
LP6008341-DNA_H01_vs_LP6008340-DNA_H01__pv	21094	23268
LP6008341-DNA_H02_vs_LP6008340-DNA_E02__pv	4662	7871
LP6008460-DNA_A01_vs_LP6008340-DNA_A02__pv	11427	5654
LP6008460-DNA_A02_vs_LP6008340-DNA_C04__pv	11447	12188
LP6008460-DNA_A03_vs_LP6008340-DNA_G04__pv	12768	7630
LP6008460-DNA_A04_vs_LP6008340-DNA_D05__pv	14998	3541
LP6008460-DNA_B01_vs_LP6008340-DNA_A03__pv	12421	1548
LP6008460-DNA_B02_vs_LP6008340-DNA_D02__pv	21011	8902
LP6008460-DNA_B03_vs_LP6008340-DNA_H03__pv	10222	1515
LP6008460-DNA_B04_vs_LP6008340-DNA_F02__pv	949745	35652
LP6008460-DNA_C01_vs_LP6008340-DNA_B03__pv	22155	4217
LP6008460-DNA_C02_vs_LP6008340-DNA_D03__pv	7071	410
LP6008460-DNA_C03_vs_LP6008340-DNA_H05__pv	7558	5603
LP6008460-DNA_C04_vs_LP6008340-DNA_F03__pv	105072	5992
LP6008460-DNA_D01_vs_LP6008340-DNA_E02__pv	7935	23481
LP6008460-DNA_D02_vs_LP6008340-DNA_E03__pv	9813	1110
LP6008460-DNA_D03_vs_LP6008340-DNA_A05__pv	9637	3627
LP6008460-DNA_E01_vs_LP6008340-DNA_F04__pv	8604	2615
LP6008460-DNA_E02_vs_LP6008340-DNA_E04__pv	18090	972
LP6008460-DNA_E03_vs_LP6008340-DNA_B06__pv	23705	3777
LP6008460-DNA_E04_vs_LP6008340-DNA_H02__pv	13994	5877
LP6008460-DNA_F01_vs_LP6008340-DNA_B02__pv	11665	17468
LP6008460-DNA_F02_vs_LP6008340-DNA_E05__pv	26794	8632
LP6008460-DNA_F03_vs_LP6008340-DNA_C03__pv	6606	58718
LP6008460-DNA_F04_vs_LP6008340-DNA_H04__pv	19900	6849
LP6008460-DNA_G01_vs_LP6008340-DNA_B04__pv	87509	13367
LP6008460-DNA_G02_vs_LP6008340-DNA_G02__pv	13297	6048
LP6008460-DNA_G03_vs_LP6008340-DNA_C05__pv	12794	19795
LP6008460-DNA_H01_vs_LP6008340-DNA_C02__pv	10577	5856
LP6008460-DNA_H02_vs_LP6008340-DNA_G03__pv	5608	7787
LP6008460-DNA_H03_vs_LP6008340-DNA_D04__pv	10134	16461
PD44724a_vs_PD44724b__pv	16046	16021
PD44725a_vs_PD44725b__pv	9236	6226
PD44726a_vs_PD44726b__pv	5246	3061
PD44727a_vs_PD44727b__pv	12169	15768
PD44728a_vs_PD44728b__pv	15188	2666
PD44729a_vs_PD44729b__pv	12464	748
PD44730a_vs_PD44730b__pv	11356	8476
PD44731a_vs_PD44731b__pv	10076	1356
PD44732a_vs_PD44732b__pv	7554	389
PD44733a_vs_PD44733b__pv	88163	2541
PD44734a_vs_PD44734b__pv	15288	10733
PD44735a_vs_PD44735b__pv	16416	6081
PD44736a_vs_PD44736b__pv	14747	5990
PD44737a_vs_PD44737b__pv	15912	5420
PD44738a_vs_PD44738b__pv	19166	21964
PD44739a_vs_PD44739b__pv	11559	8851
PD44740a_vs_PD44740b__pv	15795	64887
PD44741a_vs_PD44741b__pv	11581	1713
PD44742a_vs_PD44742b__pv	18010	10515
PD44743a_vs_PD44743b__pv	11793	3322
PD44744a_vs_PD44744b__pv	13897	28036
PD44745a_vs_PD44745b__pv	22692	29059
PD44746a_vs_PD44746b__pv	6372	523
PD44747a_vs_PD44747b__pv	8145	7553
PD44749a_vs_PD44749b__pv	5158	6309
PD44751a_vs_PD44751b__pv	2686	1871
PD44752a_vs_PD44752b__pv	13275	2955
PD44753a_vs_PD44753b__pv	10222	1467
PD44758a_vs_PD44758b__pv	6485	10506
PD44759a_vs_PD44759b__pv	11348	5454
PD44760a_vs_PD44760b__pv	9354	5787
PD44761a_vs_PD44761b__pv	13908	1509
PD44762a_vs_PD44762b__pv	6655	399
PD44763a_vs_PD44763b__pv	12567	6027
PD44764a_vs_PD44764b__pv	10835	2109
PD44765a_vs_PD44765b__pv	12479	47873
PD44766a_vs_PD44766b__pv	88379	3368
PD44767a_vs_PD44767b__pv	10926	25687
PD44769a_vs_PD44769b__pv	8780	403
PD44770a_vs_PD44770b__pv	35538	7281
PD44772a_vs_PD44772b__pv	20320	5849
PD44773a_vs_PD44773b__pv	16456	7060
PD44774a_vs_PD44774b__pv	7670	428
PD44775a_vs_PD44775b__pv	106950	0
PD44776a_vs_PD44776b__pv	10243	31521
PD44777a_vs_PD44777b__pv	12793	1507
PD44778a_vs_PD44778b__pv	13295	9438
PD44780a_vs_PD44780b__pv	5710	171
PD44781a_vs_PD44781b__pv	15228	26975
PD44782a_vs_PD44782b__pv	11948	39300
PD44783a_vs_PD44783b__pv	14002	7118
PD44784a_vs_PD44784b__pv	18141	1634
PD44785a_vs_PD44785b__pv	10494	21221
PD44786a_vs_PD44786b__pv	4820	1500
PD44787a_vs_PD44787b__pv	13001	2347
PD44788a_vs_PD44788b__pv	16965	5345
PD44789a_vs_PD44789b__pv	17866	10206
PD44790a_vs_PD44790b__pv	8960	12879
PD44791a_vs_PD44791b__pv	3285	6521
PD44792a_vs_PD44792b__pv	8812	26880
PD44793a_vs_PD44793b__pv	8618	846
PD44794a_vs_PD44794b__pv	12727	863
PD44795a_vs_PD44795b__pv	5381	29807
PD44796a_vs_PD44796b__pv	19567	5849
PD44797a_vs_PD44797b__pv	22717	8267
PD44798a_vs_PD44798b__pv	8424	2297
PD44799a_vs_PD44799b__pv	11264	2640
PD44800a_vs_PD44800b__pv	13659	6112
PD44801a_vs_PD44801b__pv	10990	7896
PD44802a_vs_PD44802b__pv	4398	477
PD44803a_vs_PD44803b__pv	20928	11298
PD44804a_vs_PD44804b__pv	4254	2287
PD44805a_vs_PD44805b__pv	10193	38505
PD44807a_vs_PD44807b__pv	6779	674
PD44808a_vs_PD44808b__pv	13299	1636
PD44809a_vs_PD44809b__pv	12830	3618
PD44810a_vs_PD44810b__pv	17767	13464
PD44811a_vs_PD44811b__pv	8843	5595
PD44813a_vs_PD44813b__pv	9155	7600
PD44814a_vs_PD44814b__pv	14814	2009
PD44815a_vs_PD44815b__pv	9246	4750
PD44816a_vs_PD44816b__pv	13219	2736
PD44817a_vs_PD44817b__pv	12352	231
PD44818a_vs_PD44818b__pv	8080	14594
PD44819a_vs_PD44819b__pv	15777	37670
