Samples	SBS96A	SBS96B
LP6005409-DNA_B01_vs_LP6005408-DNA_B01__pv	11776	58844
LP6005409-DNA_B02_vs_LP6005408-DNA_B02__pv	13250	2006
LP6005409-DNA_B04_vs_LP6005408-DNA_B04__pv	9958	1440
LP6005409-DNA_C01_vs_LP6005408-DNA_C01__pv	7851	1776
LP6005409-DNA_C02_vs_LP6005408-DNA_C02__pv	4364	1663
LP6005409-DNA_C04_vs_LP6005408-DNA_C04__pv	9861	1184
LP6005409-DNA_D01_vs_LP6005408-DNA_D01__pv	13342	27027
LP6005409-DNA_D02_vs_LP6005408-DNA_D02__pv	19341	19257
LP6005409-DNA_D03_vs_LP6005408-DNA_D03__pv	9259	39299
LP6005409-DNA_E01_vs_LP6005408-DNA_E01__pv	9445	936
LP6005409-DNA_E02_vs_LP6005408-DNA_E02__pv	7952	2306
LP6005409-DNA_E03_vs_LP6005408-DNA_E03__pv	15297	18781
LP6005409-DNA_F01_vs_LP6005408-DNA_F01__pv	8365	15907
LP6005409-DNA_F02_vs_LP6005408-DNA_F02__pv	10197	5510
LP6005409-DNA_F03_vs_LP6005408-DNA_F03__pv	5513	385
LP6005409-DNA_G02_vs_LP6005408-DNA_G02__pv	7267	13515
LP6005409-DNA_G03_vs_LP6005408-DNA_G03__pv	8104	19161
LP6005409-DNA_H01_vs_LP6005408-DNA_H01__pv	11138	447
LP6005409-DNA_H02_vs_LP6005408-DNA_H02__pv	10674	9449
LP6005409-DNA_H03_vs_LP6005408-DNA_H03__pv	4184	7840
LP6005496-DNA_A01_vs_LP6005408-DNA_B03__pv	32749	13111
LP6005496-DNA_B01_vs_LP6005408-DNA_C03__pv	11079	8894
LP6005500-DNA_A01_vs_LP6005499-DNA_A01__pv	11485	2916
LP6005500-DNA_A02_vs_LP6005499-DNA_A02__pv	18576	8753
LP6005500-DNA_A03_vs_LP6005499-DNA_A03__pv	10492	5638
LP6005500-DNA_B01_vs_LP6005499-DNA_B01__pv	10068	7328
LP6005500-DNA_B02_vs_LP6005499-DNA_B02__pv	17819	17280
LP6005500-DNA_B03_vs_LP6005499-DNA_B03__pv	9864	10333
LP6005500-DNA_C01_vs_LP6005499-DNA_C01__pv	8616	3600
LP6005500-DNA_C02_vs_LP6005499-DNA_C02__pv	19971	4249
LP6005500-DNA_C03_vs_LP6005499-DNA_C03__pv	10482	14920
LP6005500-DNA_D01_vs_LP6005499-DNA_D01__pv	9583	5902
LP6005500-DNA_D02_vs_LP6005499-DNA_D02__pv	15855	10647
LP6005500-DNA_D03_vs_LP6005499-DNA_D03__pv	10521	7847
