Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LP6008031-DNA_F03_vs_LP6008032-DNA_H01__pv	19496	5434	5988	6884	3097
LP6008031-DNA_G01_vs_LP6008032-DNA_G01__pv	9508	3797	1785	3652	1579
LP6008031-DNA_G02_vs_LP6008032-DNA_A03__pv	2415	5041	1926	4701	2376
LP6008031-DNA_G03_vs_LP6008032-DNA_A02__pv	8755	18006	0	8124	3555
LP6008031-DNA_H01_vs_LP6008032-DNA_B02__pv	8381	2187	5628	4999	1799
LP6008031-DNA_H02_vs_LP6008032-DNA_B03__pv	2358	6743	36115	5412	205
LP6008031-DNA_H03_vs_LP6008032-DNA_C03__pv	35052	0	38839	2746	855
LP6008051-DNA_A01_vs_LP6008050-DNA_C02__pv	63	1251	1204	3217	2814
LP6008051-DNA_A02_vs_LP6008050-DNA_E01__pv	4141	2764	2382	3330	1203
LP6008051-DNA_A03_vs_LP6008050-DNA_G02__pv	40656	2805	651	5297	3773
LP6008051-DNA_B01_vs_LP6008138-DNA_B03__pv	12591	4552	2062	2021	1676
LP6008051-DNA_B02_vs_LP6008050-DNA_F01__pv	7429	46	4542	8914	2936
LP6008051-DNA_B03_vs_LP6008050-DNA_G02__pv	39012	2464	636	4784	3602
LP6008051-DNA_C01_vs_LP6008050-DNA_E02__pv	9761	2555	4073	5199	2143
LP6008051-DNA_C02_vs_LP6008050-DNA_G01__pv	7891	5718	1722	2849	2056
LP6008051-DNA_C03_vs_LP6008050-DNA_G02__pv	40549	4184	1093	5418	3860
LP6008051-DNA_D01_vs_LP6008050-DNA_F02__pv	8324	4193	4161	9574	1609
LP6008051-DNA_D03_vs_LP6008050-DNA_G02__pv	38999	731	288	6288	3795
LP6008051-DNA_E01_vs_LP6008050-DNA_A01__pv	5525	6536	3088	4073	1186
LP6008051-DNA_E02_vs_LP6008050-DNA_A02__pv	3740	8589	0	11193	137
LP6008051-DNA_E03_vs_LP6008050-DNA_G02__pv	39340	1549	836	5094	3449
LP6008051-DNA_F01_vs_LP6008050-DNA_B01__pv	6892	2746	4019	5510	1607
LP6008051-DNA_F02_vs_LP6008050-DNA_B02__pv	2557	12437	1699	7320	4542
LP6008051-DNA_F03_vs_LP6008050-DNA_G02__pv	39109	1118	1154	4736	3488
LP6008051-DNA_G01_vs_LP6008050-DNA_C01__pv	4688	3538	912	1792	5858
LP6008051-DNA_G02_vs_LP6008050-DNA_B02__pv	399	381	1446	2391	555
LP6008051-DNA_G03_vs_LP6008050-DNA_G02__pv	39695	2928	982	5276	3601
LP6008051-DNA_H03_vs_LP6008050-DNA_G02__pv	39163	1691	811	4818	3534
LP6008139-DNA_A01_vs_LP6008140-DNA_A01__pv	14940	5382	1521	5651	1312
LP6008139-DNA_A02_vs_LP6008140-DNA_A01__pv	13481	4790	1117	4963	1158
LP6008139-DNA_A03_vs_LP2000102-DNA_A01__pv	8673	3440	0	8377	5622
LP6008139-DNA_B01_vs_LP6008140-DNA_A01__pv	15043	5502	1434	6067	1248
LP6008139-DNA_B02_vs_LP6008140-DNA_A01__pv	10824	3637	1078	3265	915
LP6008139-DNA_B03_vs_LP6005408-DNA_H03__pv	17556	6163	3431	3072	1495
LP6008139-DNA_C01_vs_LP6008140-DNA_A01__pv	12685	4569	1630	4849	1129
LP6008139-DNA_C02_vs_LP6008140-DNA_A01__pv	19040	4260	1656	4905	1420
LP6008139-DNA_C03_vs_LP6005408-DNA_H03__pv	17450	5906	3579	2738	1510
LP6008139-DNA_D01_vs_LP6008140-DNA_A01__pv	11561	4678	1982	4914	1136
LP6008139-DNA_D02_vs_LP6008140-DNA_A01__pv	14291	4844	1657	4798	1171
LP6008139-DNA_D03_vs_LP6008140-DNA_A01__pv	12331	1968	1611	2677	669
LP6008139-DNA_E01_vs_LP6008140-DNA_A01__pv	18751	4629	1825	4884	1498
LP6008139-DNA_E02_vs_LP6008140-DNA_A01__pv	14740	5223	1676	5638	1317
LP6008139-DNA_F01_vs_LP6008140-DNA_A01__pv	15302	5596	1883	5270	1353
LP6008139-DNA_F02_vs_LP6008140-DNA_A01__pv	12063	4549	1898	5387	1131
LP6008139-DNA_G01_vs_LP6008140-DNA_A01__pv	14732	6031	1664	6027	1414
LP6008139-DNA_G02_vs_LP6008140-DNA_A01__pv	7218	909	522	579	114
LP6008139-DNA_H01_vs_LP6008140-DNA_A01__pv	13572	5327	1563	5263	1243
LP6008139-DNA_H02_vs_LP2000102-DNA_A01__pv	8626	3564	0	8687	5642
LP6008141-DNA_A01_vs_LP6008138-DNA_A01__pv	9648	951	6966	9083	2077
LP6008141-DNA_A02_vs_LP6008138-DNA_A02__pv	63116	11287	219	10512	0
LP6008141-DNA_A03_vs_LP6008138-DNA_F01__pv	8112	950	1330	1239	535
LP6008141-DNA_B01_vs_LP6008138-DNA_B01__pv	10309	1414	3355	4179	3696
LP6008141-DNA_B02_vs_LP6008138-DNA_B02__pv	4467	2849	2554	7024	1700
LP6008141-DNA_B03_vs_LP6008138-DNA_H01__pv	6272	696	3045	4409	380
LP6008141-DNA_C01_vs_LP6008138-DNA_C01__pv	6296	1405	2253	6879	2023
LP6008141-DNA_C02_vs_LP6008138-DNA_C02__pv	42070	2728	4034	8234	1398
LP6008141-DNA_C03_vs_LP6008032-DNA_A03__pv	2345	4738	1965	4618	2343
LP6008141-DNA_D01_vs_LP6008138-DNA_D01__pv	5341	8476	0	5049	14691
LP6008141-DNA_D02_vs_LP6008138-DNA_D02__pv	52516	3297	0	1908	11152
LP6008141-DNA_E01_vs_LP6008138-DNA_E01__pv	7537	5746	3070	5165	2625
LP6008141-DNA_E02_vs_LP6008138-DNA_E02__pv	13129	4594	2974	3560	3166
LP6008141-DNA_F01_vs_LP6008138-DNA_F01__pv	5799	5488	1265	2221	1886
LP6008141-DNA_F02_vs_LP6008138-DNA_F02__pv	42552	4295	770	5340	2574
LP6008141-DNA_G01_vs_LP6008138-DNA_G01__pv	1328	1368	3618	3460	2391
LP6008141-DNA_G02_vs_LP6008138-DNA_G02__pv	17944	2557	2205	5871	2080
LP6008141-DNA_H01_vs_LP6008138-DNA_H01__pv	1399	6586	1152	3253	1513
LP6008141-DNA_H02_vs_LP6008138-DNA_H02__pv	2613	2187	0	10901	1846
LP6008143-DNA_A01_vs_LP6008144-DNA_A01__pv	12560	3121	5190	8254	1095
LP6008143-DNA_A02_vs_LP6008144-DNA_A01__pv	7072	1429	4550	7519	913
LP6008143-DNA_B01_vs_LP6008144-DNA_A01__pv	11619	2986	4820	8039	1003
LP6008143-DNA_B02_vs_LP6008144-DNA_A01__pv	4417	1254	1125	2513	187
LP6008143-DNA_C01_vs_LP6008144-DNA_A01__pv	17698	5454	5600	8378	944
LP6008143-DNA_C02_vs_LP6008144-DNA_A01__pv	26866	8865	6083	7538	443
LP6008143-DNA_D01_vs_LP6008144-DNA_A01__pv	17424	4699	5122	8314	910
LP6008143-DNA_D02_vs_LP6008144-DNA_A01__pv	15663	4884	5226	8286	918
LP6008143-DNA_E01_vs_LP6008144-DNA_A01__pv	15015	4541	5139	8020	898
LP6008143-DNA_E02_vs_LP6008144-DNA_A01__pv	15160	4747	4908	7969	884
LP6008143-DNA_F01_vs_LP6008144-DNA_A01__pv	509	116	102	418	31
LP6008143-DNA_F02_vs_LP6008144-DNA_A01__pv	17539	5614	5369	8416	967
LP6008143-DNA_G01_vs_LP6008144-DNA_A01__pv	12517	3452	5099	7951	996
LP6008143-DNA_G02_vs_LP6008144-DNA_A01__pv	15491	4755	5189	8192	871
LP6008143-DNA_H01_vs_LP6008144-DNA_A01__pv	13323	4436	4156	7064	785
LP6008143-DNA_H02_vs_LP6008144-DNA_A01__pv	19159	5703	5210	8016	800
LP6008202-DNA_A01_vs_LP6008201-DNA_A01__pv	2964	118148	67267	0	14768
LP6008202-DNA_A02_vs_LP6008201-DNA_A02__pv	37024	1311	3222	1014	4274
LP6008202-DNA_A03_vs_LP6008201-DNA_A03__pv	191	1880	0	1447	2222
LP6008202-DNA_B01_vs_LP6008201-DNA_B01__pv	22210	6145	642	6750	4314
LP6008202-DNA_B02_vs_LP6008201-DNA_B02__pv	6395	3733	4438	9748	1355
LP6008202-DNA_B03_vs_LP6008201-DNA_B03__pv	4335	0	0	134	280
LP6008202-DNA_C01_vs_LP6008201-DNA_C01__pv	10751	25413	13172	6106	5490
LP6008202-DNA_C02_vs_LP6008201-DNA_C02__pv	2136	1772	2018	3150	1431
LP6008202-DNA_C03_vs_LP6008201-DNA_C03__pv	7587	3317	3044	4871	1001
LP6008202-DNA_D01_vs_LP6008201-DNA_D01__pv	0	49263	27897	0	5970
LP6008202-DNA_D02_vs_LP6008201-DNA_D02__pv	2381	2767	3131	6486	2402
LP6008202-DNA_D03_vs_LP6008201-DNA_D03__pv	9069	2790	184	2571	4858
LP6008202-DNA_E01_vs_LP6008201-DNA_E01__pv	14609	15164	402	14238	2441
LP6008202-DNA_E02_vs_LP6008201-DNA_E02__pv	3856	3239	3320	3215	1220
LP6008202-DNA_E03_vs_LP6008201-DNA_D01__pv	0	41612	21080	1331	5653
LP6008202-DNA_F02_vs_LP6008201-DNA_F02__pv	3224	2620	3499	4174	1741
LP6008202-DNA_G01_vs_LP6008201-DNA_G01__pv	884	6909	4022	7237	1074
LP6008202-DNA_G02_vs_LP6008201-DNA_G02__pv	15162	6633	1312	2938	2187
LP6008202-DNA_H01_vs_LP6008201-DNA_H01__pv	13442	16746	10686	2665	3382
LP6008202-DNA_H02_vs_LP6008201-DNA_H02__pv	7117	4239	2365	2809	3087
LP6008208-DNA_A01_vs_LP6008203-DNA_A01__pv	0	1134	1736	2264	839
LP6008208-DNA_A02_vs_LP6005979-DNA_A01__pv	40551	6073	3745	4963	2485
LP6008208-DNA_B01_vs_LP6008203-DNA_A01__pv	8	151	123	134	142
LP6008208-DNA_B02_vs_LP6005979-DNA_A01__pv	0	69	26	0	0
LP6008208-DNA_C01_vs_LP6008203-DNA_A01__pv	0	1132	1799	3334	884
LP6008208-DNA_C02_vs_LP6005979-DNA_A01__pv	11568	2188	5117	6832	3382
LP6008208-DNA_D01_vs_LP6008203-DNA_A01__pv	13	1031	2157	2136	805
LP6008208-DNA_E01_vs_LP6008203-DNA_A01__pv	0	895	2211	2130	808
LP6008208-DNA_F01_vs_LP6008203-DNA_A01__pv	12	1089	2179	2030	874
LP6008208-DNA_G01_vs_LP6008203-DNA_A01__pv	38	945	1935	1680	849
LP6008208-DNA_H01_vs_LP6005979-DNA_A01__pv	11302	2043	5055	6727	3136
LP6008221-DNA_A01_vs_LP6008220-DNA_A01__pv	27601	1639	2574	3182	1533
LP6008221-DNA_A02_vs_LP6008220-DNA_A02__pv	1042	5514	1359	11748	552
LP6008221-DNA_A03_vs_LP6008220-DNA_A03__pv	2017	1244	3620	8116	1428
LP6008221-DNA_A04_vs_LP6008050-DNA_H01__pv	7412	10484	1624	5081	1632
LP6008221-DNA_B01_vs_LP6008220-DNA_B01__pv	121	660	367	742	371
LP6008221-DNA_B02_vs_LP6008220-DNA_B02__pv	4990	3659	865	2474	2546
LP6008221-DNA_B03_vs_LP6008220-DNA_B03__pv	9237	3269	3301	4483	1807
LP6008221-DNA_C01_vs_LP6008220-DNA_C01__pv	21439	4252	4032	4407	4640
LP6008221-DNA_C02_vs_LP6008220-DNA_C02__pv	338	870	2231	2349	780
LP6008221-DNA_C03_vs_LP6008220-DNA_C03__pv	3053	3456	1384	4388	1927
LP6008221-DNA_D01_vs_LP6008220-DNA_D01__pv	12583	6577	5402	7298	4732
LP6008221-DNA_D02_vs_LP6008220-DNA_D02__pv	10509	2606	1027	4051	4552
LP6008221-DNA_D03_vs_LP6008220-DNA_D03__pv	26640	4434	3325	2372	2855
LP6008221-DNA_E01_vs_LP6008220-DNA_E01__pv	25804	8826	2714	1899	353
LP6008221-DNA_E02_vs_LP6008220-DNA_E02__pv	26651	4606	2410	2830	1259
LP6008221-DNA_E03_vs_LP6008220-DNA_E03__pv	26361	5487	4213	4993	2413
LP6008221-DNA_F01_vs_LP6008220-DNA_F01__pv	3802	5915	1302	3362	1297
LP6008221-DNA_F02_vs_LP6008220-DNA_F02__pv	3121	25262	28357	0	2063
LP6008221-DNA_F03_vs_LP6008220-DNA_F03__pv	17821	8174	4446	6569	1371
LP6008221-DNA_G01_vs_LP6008220-DNA_G01__pv	85	3776	1429	1887	1752
LP6008221-DNA_G02_vs_LP6008220-DNA_G02__pv	5586	3365	958	9105	1296
LP6008221-DNA_G03_vs_LP6008220-DNA_H02__pv	1242	631	912	1224	591
LP6008221-DNA_H01_vs_LP6008220-DNA_H01__pv	3389	0	4544	3038	6301
LP6008221-DNA_H02_vs_LP6008220-DNA_H02__pv	3067	9007	975	6402	2639
LP6008221-DNA_H03_vs_LP6008220-DNA_D03__pv	2468	477	749	1376	320
LP6008267-DNA_A01_vs_LP6008266-DNA_A01__pv	36208	4255	4439	5771	1454
LP6008267-DNA_A02_vs_LP6008266-DNA_G01__pv	1838	1929	2083	5403	899
LP6008267-DNA_B01_vs_LP6008266-DNA_B01__pv	62914	2781	3547	3662	2777
LP6008267-DNA_B02_vs_LP6008266-DNA_H01__pv	14260	7366	3379	6195	2147
LP6008267-DNA_C01_vs_LP6008266-DNA_C01__pv	13191	4928	3976	6191	2128
LP6008267-DNA_C02_vs_LP6008266-DNA_H01__pv	1533	715	2972	3302	773
LP6008267-DNA_D01_vs_LP6008201-DNA_F01__pv	2553	4323	1468	2710	1777
LP6008267-DNA_D02_vs_LP6008266-DNA_A02__pv	2149	11191	3834	5838	8548
LP6008267-DNA_E01_vs_LP6008266-DNA_D01__pv	7460	2917	2918	5899	1681
LP6008267-DNA_E02_vs_LP6008266-DNA_A02__pv	3621	6313	1477	6692	1675
LP6008267-DNA_F01_vs_LP6008266-DNA_E01__pv	21553	4778	2631	3894	1995
LP6008267-DNA_G01_vs_LP6008266-DNA_F01__pv	1678	4484	0	3756	9821
LP6008267-DNA_H01_vs_LP6008266-DNA_G01__pv	1806	2354	4362	6051	2433
LP6008269-DNA_A02_vs_LP6008268-DNA_C02__pv	312	878	1476	1903	521
LP6008269-DNA_A03_vs_LP6008268-DNA_C03__pv	139045	0	1149	1072	1620
LP6008269-DNA_A04_vs_LP6008268-DNA_C04__pv	2255	805	1666	2171	556
LP6008269-DNA_A05_vs_LP6008268-DNA_C05__pv	3868	0	4037	7137	1642
LP6008269-DNA_A06_vs_LP6008268-DNA_B06__pv	555	1450	2511	3046	1228
LP6008269-DNA_A08_vs_LP6008268-DNA_A08__pv	10403	2698	2644	5847	1883
LP6008269-DNA_A09_vs_LP6008268-DNA_A09__pv	3290	1562	2733	6139	1409
LP6008269-DNA_A10_vs_LP6008268-DNA_A10__pv	2146	3432	2793	6627	1514
LP6008269-DNA_B02_vs_LP6008268-DNA_D02__pv	2204	838	3153	3630	870
LP6008269-DNA_B03_vs_LP6008268-DNA_D03__pv	1407	1165	1691	1522	450
LP6008269-DNA_B05_vs_LP6008268-DNA_D05__pv	12939	4816	2061	5463	1502
LP6008269-DNA_B06_vs_LP6008268-DNA_C06__pv	26789	5818	5859	6268	2347
LP6008269-DNA_B07_vs_LP6008268-DNA_B07__pv	67	3439	1690	2322	1009
LP6008269-DNA_B08_vs_LP6008268-DNA_B08__pv	6773	2234	1267	2171	640
LP6008269-DNA_B09_vs_LP6008268-DNA_B09__pv	1453	1197	4106	6642	1487
LP6008269-DNA_B10_vs_LP6008268-DNA_B10__pv	5930	6629	2250	10303	2404
LP6008269-DNA_C04_vs_LP6008268-DNA_E04__pv	0	578717	429277	0	69200
LP6008269-DNA_C05_vs_LP6008268-DNA_E05__pv	18939	1708	3238	5560	1103
LP6008269-DNA_C06_vs_LP6008268-DNA_D06__pv	1999	9559	916	5830	997
LP6008269-DNA_C07_vs_LP6008268-DNA_C07__pv	3306	2192	4525	6333	3085
LP6008269-DNA_C08_vs_LP6008268-DNA_C08__pv	17297	5412	1675	9248	1829
LP6008269-DNA_C09_vs_LP6008268-DNA_C09__pv	20053	2773	871	2078	1867
LP6008269-DNA_C10_vs_LP6008268-DNA_C10__pv	4900	0	4020	2883	734
LP6008269-DNA_D02_vs_LP6008268-DNA_F02__pv	4400	3594	3641	4834	2717
LP6008269-DNA_D03_vs_LP6008268-DNA_F03__pv	5666	0	6554	6359	1266
LP6008269-DNA_D04_vs_LP6008268-DNA_F04__pv	817	208	1714	2205	434
LP6008269-DNA_D05_vs_LP6008268-DNA_F05__pv	4674	4021	49522	2910	520
LP6008269-DNA_D06_vs_LP6008268-DNA_E06__pv	3868	2105	2339	4325	1023
LP6008269-DNA_D07_vs_LP6008268-DNA_D07__pv	11654	2004	2732	7796	1425
LP6008269-DNA_D08_vs_LP6008268-DNA_D08__pv	103517	0	875	5225	1718
LP6008269-DNA_D09_vs_LP6008268-DNA_D09__pv	0	580256	433358	0	70323
LP6008269-DNA_D10_vs_LP6008268-DNA_D10__pv	7212	6208	3197	7695	2423
LP6008269-DNA_E01_vs_LP6008268-DNA_E01__pv	2977	2939	2173	6042	941
LP6008269-DNA_E02_vs_LP6008268-DNA_G02__pv	12086	951	2671	3450	3152
LP6008269-DNA_E03_vs_LP6008268-DNA_G03__pv	2215	1029	3233	4467	1094
LP6008269-DNA_E04_vs_LP6008268-DNA_G04__pv	33201	3573	2252	7327	1237
LP6008269-DNA_E06_vs_LP6008268-DNA_F06__pv	407	2661	1693	1761	841
LP6008269-DNA_E07_vs_LP6008268-DNA_E07__pv	9403	16576	65147	10059	0
LP6008269-DNA_E08_vs_LP6008268-DNA_E08__pv	6614	4005	1727	3436	2051
LP6008269-DNA_E09_vs_LP6008268-DNA_E09__pv	484	1581	1825	1440	925
LP6008269-DNA_E10_vs_LP6008268-DNA_E10__pv	10321	6143	2001	6198	2319
LP6008269-DNA_F01_vs_LP6008268-DNA_H01__pv	919	768	1201	1090	306
LP6008269-DNA_F02_vs_LP6008268-DNA_H02__pv	4465	4370	1698	4107	1834
LP6008269-DNA_F03_vs_LP6008268-DNA_H03__pv	3463	3714	2314	6343	3061
LP6008269-DNA_F04_vs_LP6008268-DNA_H04__pv	1652	594	2233	5055	1466
LP6008269-DNA_F06_vs_LP6008268-DNA_G06__pv	2268	2573	2269	3625	1015
LP6008269-DNA_F07_vs_LP6008268-DNA_F07__pv	183	0	2907	858	540
LP6008269-DNA_F08_vs_LP6008268-DNA_F08__pv	12494	6566	1228	3629	2011
LP6008269-DNA_F09_vs_LP6008268-DNA_F09__pv	2306	2619	3669	4025	1407
LP6008269-DNA_G01_vs_LP6008268-DNA_A02__pv	11795	557	889	1178	586
LP6008269-DNA_G02_vs_LP6008268-DNA_A03__pv	3093	2261	2706	3372	1933
LP6008269-DNA_G03_vs_LP6008268-DNA_A04__pv	34478	1930	2487	4788	1572
LP6008269-DNA_G04_vs_LP6008268-DNA_A05__pv	1585	336	3479	1971	779
LP6008269-DNA_G06_vs_LP6008268-DNA_H06__pv	30696	90	4273	5124	3018
LP6008269-DNA_G07_vs_LP6008268-DNA_G07__pv	15896	281	1429	1809	769
LP6008269-DNA_G08_vs_LP6008268-DNA_G08__pv	6139	3395	3001	3521	1407
LP6008269-DNA_G09_vs_LP6008268-DNA_G09__pv	3	29	58	11	0
LP6008269-DNA_H01_vs_LP6008268-DNA_B02__pv	82	365	658	271	128
LP6008269-DNA_H02_vs_LP6008268-DNA_B03__pv	27892	3475	4628	3210	1631
LP6008269-DNA_H03_vs_LP6008268-DNA_B04__pv	3659	260	3492	2980	2121
LP6008269-DNA_H05_vs_LP6008268-DNA_A06__pv	6034	5619	4605	7326	4091
LP6008269-DNA_H06_vs_LP6008268-DNA_A07__pv	8954	5609	2900	4975	2008
LP6008269-DNA_H07_vs_LP6008268-DNA_H07__pv	15762	103	1368	3245	1603
LP6008269-DNA_H08_vs_LP6008268-DNA_H08__pv	3232	11906	115	5579	5645
LP6008269-DNA_H09_vs_LP6008268-DNA_H09__pv	38272	11240	2712	0	4386
LP6008280-DNA_A01_vs_LP6008264-DNA_A01__pv	4924	2321	2180	5944	1739
LP6008280-DNA_A02_vs_LP6008264-DNA_A02__pv	6347	3369	947	3028	734
LP6008280-DNA_A03_vs_LP6008264-DNA_A03__pv	2002	0	7578	6306	2385
LP6008280-DNA_A04_vs_LP6008264-DNA_H03__pv	7559	4684	629	1711	2383
LP6008280-DNA_A05_vs_LP6008264-DNA_H04__pv	2349	1212	1013	1843	264
LP6008280-DNA_A07_vs_LP6008264-DNA_H06__pv	3631	1195	1560	1406	478
LP6008280-DNA_B01_vs_LP6008264-DNA_B01__pv	2973	4691	34913	6880	394
LP6008280-DNA_B02_vs_LP6008264-DNA_B02__pv	69	272	3702	2841	762
LP6008280-DNA_B03_vs_LP6008264-DNA_B03__pv	679	411	2133	3805	4559
LP6008280-DNA_B04_vs_LP6008264-DNA_A04__pv	17	92	61	0	5
LP6008280-DNA_B05_vs_LP6008264-DNA_A05__pv	12255	3986	2021	11388	1024
LP6008280-DNA_C01_vs_LP6008264-DNA_C01__pv	32392	5178	4177	5055	1759
LP6008280-DNA_C02_vs_LP6008264-DNA_C02__pv	20620	3094	2975	2524	4782
LP6008280-DNA_C03_vs_LP6008264-DNA_C03__pv	3603	0	0	11011	19646
LP6008280-DNA_C04_vs_LP6008264-DNA_B04__pv	6	116	99	0	8
LP6008280-DNA_C05_vs_LP6008264-DNA_B05__pv	2665	1469	3647	2972	849
LP6008280-DNA_C06_vs_LP6008264-DNA_B06__pv	9548	986	1535	1733	450
LP6008280-DNA_D02_vs_LP6008264-DNA_D02__pv	10287	5674	1661	2676	2031
LP6008280-DNA_D03_vs_LP6008264-DNA_H01__pv	3	102	214	39	26
LP6008280-DNA_D05_vs_LP6008264-DNA_E04__pv	5400	897	2267	1703	928
LP6008280-DNA_E01_vs_LP6008264-DNA_E01__pv	10189	5887	2889	5773	1396
LP6008280-DNA_E02_vs_LP6008264-DNA_E02__pv	21835	4313	3247	4829	3856
LP6008280-DNA_E03_vs_LP6008264-DNA_D03__pv	8436	1614	1030	1997	752
LP6008280-DNA_E04_vs_LP6008264-DNA_D04__pv	11730	231	5470	10002	952
LP6008280-DNA_E05_vs_LP6008264-DNA_D05__pv	9663	38	1091	911	538
LP6008280-DNA_F01_vs_LP6008264-DNA_F01__pv	16172	12792	2931	7302	2921
LP6008280-DNA_F02_vs_LP6008264-DNA_F02__pv	7816	2343	6706	6372	1303
LP6008280-DNA_F03_vs_LP6008264-DNA_E03__pv	46774	1450	2426	3461	2301
LP6008280-DNA_F05_vs_LP6008264-DNA_E05__pv	4947	1310	1873	3120	944
LP6008280-DNA_F06_vs_LP6008264-DNA_E06__pv	6054	252	4543	4150	557
LP6008280-DNA_G01_vs_LP6008264-DNA_G01__pv	976	387	283	76	81
LP6008280-DNA_G02_vs_LP6008264-DNA_G02__pv	595	2047	1888	3396	1104
LP6008280-DNA_G03_vs_LP6008264-DNA_F03__pv	1200	1496	2936	3402	928
LP6008280-DNA_G04_vs_LP6008264-DNA_F04__pv	2213	1110	2337	2314	1979
LP6008280-DNA_G05_vs_LP6008264-DNA_F05__pv	5682	711	3956	5237	1137
LP6008280-DNA_G06_vs_LP6008264-DNA_F06__pv	78	574	907	948	283
LP6008280-DNA_H01_vs_LP6008264-DNA_H01__pv	2706	2155	3456	5775	1097
LP6008280-DNA_H02_vs_LP6008264-DNA_H02__pv	23317	9085	1184	5061	3883
LP6008280-DNA_H04_vs_LP6008264-DNA_G04__pv	9105	1374	5423	4924	1274
LP6008280-DNA_H05_vs_LP6008264-DNA_G05__pv	4244	1911	2089	2543	531
LP6008280-DNA_H06_vs_LP6008264-DNA_G06__pv	19612	2414	743	7132	1273
LP6008334-DNA_A01_vs_LP6008335-DNA_A01__pv	114264	19657	4916	0	0
LP6008334-DNA_A03_vs_LP6008335-DNA_E02__pv	9223	2419	1926	7302	9982
LP6008334-DNA_A04_vs_LP6008335-DNA_E03__pv	3491	3402	4625	8992	1561
LP6008334-DNA_B01_vs_LP6008335-DNA_B01__pv	7663	2783	3147	5138	1611
LP6008334-DNA_B02_vs_LP6008335-DNA_F01__pv	5845	4132	338	5420	1253
LP6008334-DNA_B03_vs_LP6008335-DNA_F02__pv	68641	13724	119853	12181	0
LP6008334-DNA_C01_vs_LP6008335-DNA_C01__pv	5193	3300	3257	6404	1825
LP6008334-DNA_C02_vs_LP6008335-DNA_G01__pv	6334	2827	834	10541	6841
LP6008334-DNA_C03_vs_LP6008335-DNA_G02__pv	7163	5530	5590	4689	2573
LP6008334-DNA_D01_vs_LP6008335-DNA_D01__pv	5098	2519	2109	4170	1978
LP6008334-DNA_D02_vs_LP6008335-DNA_H01__pv	14475	8105	1681	5765	3068
LP6008334-DNA_D03_vs_LP6008335-DNA_H02__pv	18450	9609	0	20245	1607
LP6008334-DNA_E01_vs_LP6008335-DNA_A01__pv	5512	579	743	935	1739
LP6008334-DNA_E02_vs_LP6008335-DNA_A02__pv	6553	4255	1682	5724	1423
LP6008334-DNA_E03_vs_LP6008335-DNA_A03__pv	6450	7440	3939	8226	2477
LP6008334-DNA_F01_vs_LP6008335-DNA_B01__pv	897	0	4487	10020	614
LP6008334-DNA_F02_vs_LP6008335-DNA_B02__pv	8820	2249	1496	4351	844
LP6008334-DNA_F03_vs_LP6008335-DNA_B03__pv	913	1146	3907	5566	1018
LP6008334-DNA_G01_vs_LP6008335-DNA_C01__pv	1976	963	1062	2021	340
LP6008334-DNA_G02_vs_LP6008335-DNA_C02__pv	6628	4116	1611	4001	1874
LP6008334-DNA_G03_vs_LP6008335-DNA_C03__pv	0	1302	2648	2694	2055
LP6008334-DNA_H01_vs_LP6008335-DNA_D01__pv	2799	3039	2232	4256	1026
LP6008334-DNA_H02_vs_LP6008335-DNA_D02__pv	3021	5954	3417	5724	1721
LP6008334-DNA_H03_vs_LP6008335-DNA_D03__pv	14566	3493	3487	4856	4819
LP6008336-DNA_A01_vs_LP6008333-DNA_A01__pv	188	4209	1900	5396	1018
LP6008336-DNA_A02_vs_LP6008333-DNA_A02__pv	18	1104	2395	2009	930
LP6008336-DNA_A03_vs_LP6008333-DNA_A03__pv	64	1429	578	1923	623
LP6008336-DNA_B01_vs_LP6008333-DNA_B01__pv	787	1684	1779	2915	1453
LP6008336-DNA_B02_vs_LP6008333-DNA_B02__pv	4130	16	3571	1862	1733
LP6008336-DNA_B03_vs_LP6008333-DNA_B03__pv	68	429	847	324	152
LP6008336-DNA_C01_vs_LP6008333-DNA_C01__pv	664	4314	166	8889	2167
LP6008336-DNA_C02_vs_LP6008333-DNA_C02__pv	3708	1179	686	2202	256
LP6008336-DNA_C03_vs_LP6008333-DNA_C03__pv	1207	2604	2397	4215	2357
LP6008336-DNA_D01_vs_LP6008333-DNA_D01__pv	3809	13675	48612	3088	1137
LP6008336-DNA_D02_vs_LP6008333-DNA_D02__pv	0	100	70	0	1
LP6008336-DNA_D03_vs_LP6008333-DNA_D03__pv	19052	7628	856	8004	2516
LP6008336-DNA_E01_vs_LP6008333-DNA_E01__pv	11826	6860	1281	4469	1742
LP6008336-DNA_E02_vs_LP6008333-DNA_E02__pv	37953	997	3420	4326	1693
LP6008336-DNA_E03_vs_LP6008333-DNA_E03__pv	735	1354	1508	1016	612
LP6008336-DNA_F02_vs_LP6008333-DNA_F02__pv	2002	3248	806	3532	2852
LP6008336-DNA_F03_vs_LP6008333-DNA_F03__pv	1975	4147	3801	6406	11410
LP6008336-DNA_G01_vs_LP6008333-DNA_G01__pv	2352	2820	2242	3690	866
LP6008336-DNA_G02_vs_LP6008333-DNA_G02__pv	5990	5960	1161	1511	1616
LP6008336-DNA_G03_vs_LP6008333-DNA_G03__pv	4607	7422	57	9296	1938
LP6008336-DNA_H01_vs_LP6008333-DNA_H01__pv	5058	4871	1716	9786	2042
