NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
461	1497.788	8.662	228.061	7.474	0.014	0.99	100000.0
462	1495.365	8.749	227.316	7.516	0.015	0.989	60000.0
463	1500.119	8.718	228.773	7.523	0.015	0.99	80000.0
464	1501.095	8.675	228.73	7.475	0.015	0.99	120000.0
465	1497.293	8.694	228.402	7.49	0.015	0.99	170000.0
466	1495.595	8.672	227.646	7.501	0.015	0.99	140000.0
467	1498.838	8.697	228.719	7.507	0.015	0.99	80000.0
468	1500.36	8.72	228.483	7.513	0.015	0.99	90000.0
469	1496.336	8.663	228.351	7.509	0.015	0.99	110000.0
470	1494.702	8.662	228.125	7.468	0.015	0.99	80000.0
471	1493.922	8.696	227.41	7.471	0.015	0.99	70000.0
472	1499.936	8.679	229.107	7.501	0.015	0.99	100000.0
473	1497.203	8.688	228.324	7.487	0.015	0.99	60000.0
474	1494.38	8.682	226.952	7.482	0.015	0.99	70000.0
475	1499.395	8.704	228.202	7.509	0.015	0.989	110000.0
476	1494.755	8.699	227.824	7.496	0.015	0.99	70000.0
477	1495.219	8.685	227.504	7.475	0.015	0.99	110000.0
478	1500.183	8.723	228.967	7.507	0.015	0.99	90000.0
479	1501.027	8.737	228.938	7.524	0.016	0.989	70000.0
480	1494.464	8.705	228.22	7.52	0.015	0.99	50000.0
481	1494.89	8.694	228.365	7.507	0.015	0.989	70000.0
482	1492.575	8.645	227.418	7.44	0.015	0.99	80000.0
483	1492.572	8.639	227.779	7.474	0.015	0.99	80000.0
484	1499.82	8.692	229.056	7.489	0.015	0.99	120000.0
485	1492.169	8.64	227.467	7.449	0.015	0.99	70000.0
486	1489.849	8.659	226.686	7.436	0.015	0.99	90000.0
487	1498.434	8.676	228.223	7.49	0.015	0.99	90000.0
488	1492.081	8.661	227.783	7.471	0.015	0.99	60000.0
489	1495.523	8.664	227.079	7.47	0.015	0.99	90000.0
490	1497.748	8.691	227.844	7.479	0.015	0.99	100000.0
491	1496.596	8.752	228.238	7.535	0.015	0.989	100000.0
492	1496.505	8.701	227.631	7.481	0.015	0.99	70000.0
493	1493.893	8.654	227.504	7.455	0.015	0.99	130000.0
494	1494.655	8.714	227.87	7.523	0.015	0.989	80000.0
495	1490.846	8.67	226.952	7.476	0.015	0.99	60000.0
496	1486.497	8.629	226.279	7.438	0.015	0.99	50000.0
497	1492.443	8.67	227.699	7.464	0.015	0.99	90000.0
498	1501.212	8.689	229.491	7.528	0.015	0.99	180000.0
499	1494.286	8.67	227.824	7.465	0.015	0.99	90000.0
500	1496.461	8.729	228.425	7.54	0.015	0.989	80000.0
