NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
285	1498.136	8.728	227.964	7.511	0.015	0.99	70000.0
286	1499.973	8.736	228.581	7.513	0.015	0.99	80000.0
287	1493.905	8.675	228.485	7.468	0.015	0.99	60000.0
288	1500.02	8.679	228.514	7.487	0.015	0.99	150000.0
289	1498.091	8.687	227.992	7.484	0.015	0.99	120000.0
290	1498.865	8.721	228.396	7.536	0.015	0.989	100000.0
291	1500.056	8.724	228.28	7.514	0.015	0.99	80000.0
292	1490.936	8.671	227.881	7.482	0.015	0.99	70000.0
293	1492.44	8.688	227.283	7.499	0.015	0.989	60000.0
294	1500.561	8.669	228.931	7.483	0.015	0.99	80000.0
295	1501.335	8.693	228.65	7.492	0.015	0.99	90000.0
296	1494.217	8.688	227.257	7.47	0.015	0.99	160000.0
297	1500.311	8.652	228.687	7.452	0.014	0.99	80000.0
298	1502.037	8.717	229.142	7.505	0.015	0.99	200000.0
299	1495.765	8.683	227.787	7.505	0.015	0.99	80000.0
300	1498.838	8.737	228.542	7.537	0.015	0.989	50000.0
301	1508.285	8.769	230.492	7.563	0.015	0.99	90000.0
302	1498.222	8.684	227.466	7.484	0.015	0.99	70000.0
303	1498.616	8.639	228.447	7.464	0.014	0.99	110000.0
304	1494.534	8.667	228.008	7.498	0.015	0.99	80000.0
305	1493.122	8.637	227.934	7.461	0.015	0.99	200000.0
306	1505.903	8.74	229.903	7.57	0.015	0.989	60000.0
307	1496.176	8.694	228.701	7.489	0.015	0.99	50000.0
308	1492.116	8.639	226.903	7.446	0.015	0.99	60000.0
309	1494.066	8.702	227.252	7.475	0.015	0.99	70000.0
310	1498.425	8.708	228.375	7.518	0.015	0.989	110000.0
311	1502.136	8.698	229.127	7.512	0.015	0.99	130000.0
312	1497.669	8.713	228.179	7.487	0.015	0.99	90000.0
313	1494.311	8.669	227.503	7.487	0.015	0.99	50000.0
314	1494.959	8.703	227.632	7.497	0.015	0.989	90000.0
315	1497.965	8.702	227.931	7.489	0.015	0.99	80000.0
316	1493.72	8.654	227.536	7.461	0.015	0.99	70000.0
317	1495.236	8.73	227.48	7.529	0.015	0.989	90000.0
318	1503.459	8.68	229.507	7.481	0.015	0.99	80000.0
319	1492.375	8.661	228.095	7.466	0.015	0.99	80000.0
320	1507.414	8.716	231.469	7.535	0.015	0.99	60000.0
321	1494.508	8.662	226.957	7.441	0.015	0.99	60000.0
322	1500.512	8.737	229.964	7.551	0.015	0.99	90000.0
323	1493.608	8.624	227.594	7.455	0.015	0.99	80000.0
324	1495.366	8.625	227.957	7.44	0.014	0.99	60000.0
325	1491.993	8.694	227.416	7.502	0.015	0.99	100000.0
326	1494.161	8.673	226.936	7.471	0.015	0.99	80000.0
327	1501.208	8.676	229.482	7.482	0.015	0.99	80000.0
328	1498.577	8.738	228.279	7.508	0.015	0.989	100000.0
329	1497.379	8.688	227.163	7.477	0.015	0.99	80000.0
330	1497.465	8.698	228.973	7.484	0.015	0.99	110000.0
331	1492.869	8.693	227.701	7.487	0.015	0.99	70000.0
332	1502.946	8.781	229.379	7.579	0.016	0.989	70000.0
333	1499.729	8.68	229.086	7.523	0.015	0.99	80000.0
334	1504.658	8.669	230.864	7.503	0.015	0.99	70000.0
335	1492.981	8.66	227.242	7.454	0.015	0.99	100000.0
336	1499.299	8.69	229.002	7.491	0.015	0.99	100000.0
337	1501.857	8.704	229.78	7.537	0.015	0.99	60000.0
338	1499.761	8.732	229.079	7.526	0.015	0.99	50000.0
339	1496.989	8.689	228.343	7.476	0.015	0.99	90000.0
340	1497.571	8.7	227.461	7.482	0.015	0.99	60000.0
341	1494.437	8.707	227.093	7.482	0.015	0.99	80000.0
342	1498.514	8.708	228.494	7.499	0.015	0.99	60000.0
343	1491.371	8.619	227.747	7.441	0.015	0.99	50000.0
344	1497.598	8.669	227.88	7.482	0.015	0.99	70000.0
345	1500.295	8.719	228.872	7.509	0.015	0.99	120000.0
346	1491.61	8.653	226.913	7.45	0.015	0.99	90000.0
347	1499.603	8.71	229.27	7.53	0.015	0.989	70000.0
348	1499.71	8.743	228.366	7.53	0.016	0.989	70000.0
349	1501.733	8.732	229.912	7.579	0.015	0.989	100000.0
350	1496.086	8.702	228.412	7.512	0.015	0.99	130000.0
351	1495.035	8.687	227.328	7.499	0.015	0.99	130000.0
352	1491.248	8.685	226.42	7.464	0.015	0.99	110000.0
353	1502.612	8.731	228.894	7.51	0.015	0.99	90000.0
354	1500.383	8.672	229.251	7.509	0.015	0.99	100000.0
355	1490.309	8.682	227.35	7.499	0.015	0.99	80000.0
356	1494.787	8.717	228.51	7.529	0.015	0.989	70000.0
357	1504.939	8.737	229.704	7.528	0.015	0.99	80000.0
358	1495.446	8.654	227.742	7.474	0.015	0.99	70000.0
359	1491.559	8.656	227.21	7.483	0.015	0.99	60000.0
360	1502.694	8.723	230.077	7.568	0.015	0.989	140000.0
361	1492.139	8.633	227.264	7.452	0.014	0.99	110000.0
362	1494.503	8.667	227.536	7.458	0.015	0.99	80000.0
